lookback_period,initial_level,limit1_level,limit2_level,sl_level,tp_level,threshold_factor,actual_threshold,Total Trades,Win Rate,Profit Factor,Total Profit,Max Drawdown,Sharpe Ratio,Sortino Ratio
3,0.618,0.000,0.618,1.618,1.414,0.75,1.73,74,1.0000,inf,353.20,0.0000,0.0000,0.0000
3,0.618,0.000,1.618,1.618,1.414,0.75,1.73,74,1.0000,inf,353.20,0.0000,0.0000,0.0000
3,0.618,0.000,2.618,1.618,1.414,0.75,1.73,74,1.0000,inf,353.20,0.0000,0.0000,0.0000
3,0.618,0.618,0.618,1.618,1.414,0.75,1.73,74,1.0000,inf,353.20,0.0000,0.0000,0.0000
3,0.618,0.618,1.618,1.618,1.414,0.75,1.73,74,1.0000,inf,353.20,0.0000,0.0000,0.0000
3,0.618,0.618,2.618,1.618,1.414,0.75,1.73,74,1.0000,inf,353.20,0.0000,0.0000,0.0000
3,0.618,1.618,0.618,1.618,1.414,0.75,1.73,74,1.0000,inf,353.20,0.0000,0.0000,0.0000
3,0.618,1.618,1.618,1.618,1.414,0.75,1.73,74,1.0000,inf,353.20,0.0000,0.0000,0.0000
3,0.618,1.618,2.618,1.618,1.414,0.75,1.73,74,1.0000,inf,353.20,0.0000,0.0000,0.0000
2,0.382,0.000,0.618,1.618,1.618,0.75,1.90,37,1.0000,inf,198.42,0.0000,0.0000,0.0000
2,0.382,0.000,1.618,1.618,1.618,0.75,1.90,37,1.0000,inf,198.42,0.0000,0.0000,0.0000
2,0.382,0.000,2.618,1.618,1.618,0.75,1.90,37,1.0000,inf,198.42,0.0000,0.0000,0.0000
2,0.382,0.618,0.618,1.618,1.618,0.75,1.90,37,1.0000,inf,198.42,0.0000,0.0000,0.0000
2,0.382,0.618,1.618,1.618,1.618,0.75,1.90,37,1.0000,inf,198.42,0.0000,0.0000,0.0000
2,0.382,0.618,2.618,1.618,1.618,0.75,1.90,37,1.0000,inf,198.42,0.0000,0.0000,0.0000
2,0.382,1.618,0.618,1.618,1.618,0.75,1.90,37,1.0000,inf,198.42,0.0000,0.0000,0.0000
2,0.382,1.618,1.618,1.618,1.618,0.75,1.90,37,1.0000,inf,198.42,0.0000,0.0000,0.0000
2,0.382,1.618,2.618,1.618,1.618,0.75,1.90,37,1.0000,inf,198.42,0.0000,0.0000,0.0000
2,0.382,0.000,0.618,1.618,1.414,0.75,1.90,40,1.0000,inf,186.03,0.0000,0.0000,0.0000
2,0.382,0.000,1.618,1.618,1.414,0.75,1.90,40,1.0000,inf,186.03,0.0000,0.0000,0.0000
