Entry Time,Exit Time,Type,Entry Price,Exit Price,Size,P&L,Risk %,Profit Factor,Margin Used
2025-04-06T18:49:00Z,2025-04-06T20:41:00Z,Long,130.48,131.43,2.618212,2.48,10.00%,0.0725,17.08
2025-04-06T21:09:00Z,2025-04-06T22:23:00Z,Short,130.67,129.84,2.182282,1.81,10.00%,0.0635,14.26
2025-04-06T22:24:00Z,2025-04-06T23:35:00Z,Long,127.97,128.51,4.858256,2.62,10.00%,0.0421,31.09
2025-04-06T23:40:00Z,2025-04-07T00:18:00Z,Long,127.97,128.51,4.980079,2.68,10.00%,0.0421,31.87
2025-04-07T00:28:00Z,2025-04-07T01:38:00Z,Short,130.70,129.99,4.082641,2.88,10.00%,0.0540,26.68
2025-04-07T01:50:00Z,2025-04-07T13:51:00Z,Long,127.44,128.08,4.357323,2.81,10.00%,0.0506,27.76
2025-04-07T13:51:00Z,2025-04-07T13:54:00Z,Short,129.44,128.38,1.908735,2.03,10.00%,0.0822,12.35
2025-04-07T14:02:00Z,2025-04-07T14:23:00Z,Short,130.85,130.22,4.904331,3.08,10.00%,0.0480,32.09
2025-04-07T14:27:00Z,2025-04-09T02:08:00Z,Long,125.69,126.91,2.408633,2.96,10.00%,0.0976,15.14
2025-04-09T04:07:00Z,2025-04-09T07:34:00Z,Long,125.53,129.16,0.622991,2.26,10.00%,0.2890,3.91
2025-04-09T11:48:00Z,2025-04-09T13:44:00Z,Short,128.55,127.90,5.095074,3.30,10.00%,0.0503,32.75
2025-04-09T14:06:00Z,2025-04-09T17:20:00Z,Long,128.49,131.88,0.700961,2.38,10.00%,0.2642,4.50
2025-04-09T17:43:00Z,2025-04-09T17:59:00Z,Long,138.50,141.71,0.762802,2.45,10.00%,0.2321,5.28
2025-04-09T18:11:00Z,2025-04-09T19:14:00Z,Long,140.36,141.22,2.671267,2.30,10.00%,0.0614,18.75
2025-04-09T19:19:00Z,2025-04-10T05:07:00Z,Long,139.31,139.87,6.113824,3.41,10.00%,0.0401,42.59
2025-04-10T05:26:00Z,2025-04-10T08:32:00Z,Short,140.37,137.08,0.796985,2.62,10.00%,0.2341,5.59
2025-04-10T13:22:00Z,2025-04-10T15:17:00Z,Short,137.14,133.03,0.635169,2.61,10.00%,0.2999,4.36
2025-04-10T16:13:00Z,2025-04-10T16:37:00Z,Long,128.98,129.74,3.282334,2.49,10.00%,0.0589,21.17
2025-04-10T16:37:00Z,2025-04-10T18:15:00Z,Short,130.56,129.79,3.359285,2.60,10.00%,0.0594,21.93
2025-04-10T18:18:00Z,2025-04-11T01:19:00Z,Long,129.98,133.25,0.849500,2.78,10.00%,0.2515,5.52
2025-04-11T02:42:00Z,2025-04-11T08:12:00Z,Short,136.66,135.50,2.313079,2.69,10.00%,0.0850,15.80
2025-04-11T08:31:00Z,2025-04-11T10:50:00Z,Short,136.66,135.50,2.353839,2.74,10.00%,0.0850,16.08
2025-04-11T14:00:00Z,2025-04-11T14:46:00Z,Long,134.13,135.28,2.352869,2.69,10.00%,0.0854,15.78
2025-04-11T14:50:00Z,2025-04-11T21:37:00Z,Short,137.75,137.00,5.592106,4.22,10.00%,0.0548,38.52
2025-04-11T22:16:00Z,2025-04-13T03:34:00Z,Long,135.30,136.25,2.971327,2.83,10.00%,0.0703,20.10
2025-04-13T17:37:00Z,2025-04-13T20:14:00Z,Long,141.06,141.60,7.835440,4.21,10.00%,0.0381,55.26
2025-04-13T21:14:00Z,2025-04-14T07:15:00Z,Short,140.71,140.08,7.123724,4.51,10.00%,0.0450,50.12
2025-04-14T16:16:00Z,2025-04-15T00:37:00Z,Long,137.08,137.55,9.522226,4.44,10.00%,0.0340,65.27
2025-04-15T06:31:00Z,2025-04-15T08:34:00Z,Short,140.32,139.84,9.759680,4.73,10.00%,0.0345,68.48
2025-04-15T14:11:00Z,2025-04-16T08:17:00Z,Short,139.73,132.78,0.476817,3.31,10.00%,0.4974,3.33
2025-04-16T14:39:00Z,2025-04-16T18:26:00Z,Long,132.52,133.27,6.280907,4.71,10.00%,0.0566,41.62
2025-04-16T18:51:00Z,2025-04-16T19:23:00Z,Short,133.41,132.58,4.154010,3.42,10.00%,0.0618,27.71
2025-04-16T19:50:00Z,2025-04-17T18:04:00Z,Long,135.22,141.04,0.605102,3.52,10.00%,0.4303,4.09
2025-04-17T20:01:00Z,2025-04-18T14:33:00Z,Short,139.11,138.14,3.622497,3.54,10.00%,0.0703,25.20
2025-04-20T11:15:00Z,2025-04-20T22:20:00Z,Short,140.23,139.66,9.360727,5.34,10.00%,0.0407,65.63
2025-04-21T00:39:00Z,2025-04-22T01:19:00Z,Long,141.78,143.40,2.183323,3.54,10.00%,0.1145,15.48
2025-04-22T01:21:00Z,2025-04-22T14:45:00Z,Long,143.88,150.70,0.555067,3.79,10.00%,0.4743,3.99
