lookback_period,initial_level,limit1_level,limit2_level,sl_level,tp_level,threshold_factor,actual_threshold,Total Trades,Win Rate,Profit Factor,Total Profit,Max Drawdown,Sharpe Ratio,Sortino Ratio
8,0.618,0.786,1.000,0.618,1.000,0.75,0.05,45,0.6667,4.8180,538.61,0.1700,7.5532,-2.2010
8,0.500,0.786,1.000,0.618,1.000,0.75,0.05,45,0.6667,4.4603,369.68,0.1714,7.6508,-2.4177
8,0.618,0.618,1.000,0.500,1.000,0.75,0.05,49,0.6735,5.6046,339.66,0.1283,8.7738,-2.3860
8,0.382,0.786,1.000,0.618,1.000,0.75,0.05,45,0.6667,4.0725,257.17,0.1725,7.6273,-2.7014
8,0.500,0.618,1.000,0.500,1.000,0.75,0.05,49,0.6735,5.0053,244.10,0.1317,8.7475,-2.6746
8,0.618,0.786,1.000,0.500,1.000,0.75,0.05,49,0.6735,5.7914,201.45,0.1054,8.8230,-2.8766
8,0.382,0.618,1.000,0.500,1.000,0.75,0.05,49,0.6735,4.4111,175.05,0.1347,8.5714,-3.0573
8,0.618,0.786,1.272,0.618,1.000,0.75,0.05,45,0.6667,6.1676,172.68,0.0957,9.1170,-3.3278
8,0.500,0.786,1.000,0.500,1.000,0.75,0.05,49,0.6735,5.0655,152.41,0.1093,8.6357,-3.2490
8,0.618,0.618,1.272,0.500,1.000,0.75,0.05,49,0.6735,6.4657,143.72,0.0810,9.9351,-3.5208
8,0.500,0.786,1.272,0.618,1.000,0.75,0.05,45,0.6667,5.4156,135.54,0.0996,8.9290,-3.7131
8,0.618,0.786,1.414,0.618,1.000,0.75,0.05,45,0.6667,6.6070,127.83,0.0780,9.5651,-3.8797
2,0.618,0.786,1.000,0.618,1.000,0.75,0.03,48,0.5833,3.1595,121.52,0.1090,6.3345,-2.7030
8,0.382,0.786,1.000,0.500,1.000,0.75,0.05,49,0.6735,4.3815,114.05,0.1129,8.3118,-3.7378
8,0.500,0.618,1.272,0.500,1.000,0.75,0.05,49,0.6735,5.5766,112.70,0.0849,9.6736,-3.9868
8,0.618,0.618,1.414,0.500,1.000,0.75,0.05,49,0.6735,6.7906,111.78,0.0679,10.3226,-4.0593
8,0.382,0.786,1.272,0.618,1.000,0.75,0.05,45,0.6667,4.7193,105.40,0.1033,8.6328,-4.2033
8,0.618,0.618,1.000,0.500,1.618,0.75,0.05,35,0.8286,6.6919,103.21,0.0345,13.3184,-4.7586
8,0.618,0.786,1.000,0.618,1.618,0.75,0.05,30,0.8333,5.7144,102.98,0.0457,11.7425,-4.5734
8,0.500,0.786,1.414,0.618,1.000,0.75,0.05,45,0.6667,5.7392,102.94,0.0818,9.3140,-4.3359
