Entry Time,Exit Time,Type,Entry Price,Exit Price,Size,P&L,Risk %,Profit Factor,Margin Used
2025-04-06T23:52:00Z,2025-04-07T03:11:00Z,Short,4.39,4.34,39.655723,1.81,1.00%,1.0382,17.41
2025-04-07T03:17:00Z,2025-04-07T03:44:00Z,Short,4.33,4.15,10.093114,1.82,1.00%,4.1530,4.37
2025-04-07T04:30:00Z,2025-04-07T06:43:00Z,Short,4.27,4.00,13.381655,3.69,2.00%,3.2324,5.72
2025-04-07T07:17:00Z,2025-04-07T14:17:00Z,Long,4.03,4.50,8.115492,3.83,2.00%,5.8465,3.27
2025-04-07T15:15:00Z,2025-04-08T17:26:00Z,Short,4.56,4.35,19.447821,4.21,2.00%,2.3726,8.88
2025-04-08T17:35:00Z,2025-04-09T02:00:00Z,Long,4.29,4.37,53.828929,4.02,2.00%,0.8696,23.11
2025-04-09T12:52:00Z,2025-04-09T17:21:00Z,Long,4.29,4.49,10.967872,2.13,1.00%,4.5211,4.71
2025-04-10T16:45:00Z,2025-04-11T02:22:00Z,Long,4.51,4.70,11.071742,2.17,1.00%,4.3422,4.99
2025-04-13T11:30:00Z,2025-04-14T02:34:00Z,Long,4.89,4.98,48.116112,4.30,2.00%,0.9142,23.53
2025-04-15T06:58:00Z,2025-04-16T01:48:00Z,Long,4.63,4.68,45.272266,2.25,1.00%,1.0725,20.97
2025-04-16T08:37:00Z,2025-04-16T18:26:00Z,Long,4.56,4.61,45.235921,2.29,1.00%,1.1096,20.62
2025-04-21T16:17:00Z,2025-04-22T00:32:00Z,Long,4.98,4.89,36.669935,-3.62,1.00%,0.0000,18.28
2025-04-23T16:30:00Z,2025-04-23T19:26:00Z,Short,5.36,5.31,49.778667,2.32,1.00%,0.8714,26.68
2025-04-24T01:37:00Z,2025-04-24T08:27:00Z,Long,5.31,5.22,43.387133,-3.58,1.00%,0.0000,23.02
2025-04-24T16:00:00Z,2025-04-24T20:09:00Z,Long,5.44,5.48,46.906648,2.25,1.00%,0.8819,25.50
2025-04-26T11:26:00Z,2025-04-27T13:08:00Z,Short,5.61,5.38,10.013510,2.32,1.00%,4.1237,5.62
2025-04-28T02:15:00Z,2025-04-28T06:12:00Z,Long,5.30,5.49,12.223916,2.36,1.00%,3.6369,6.48
