lookback_period,initial_level,limit1_level,limit2_level,sl_level,tp_level,threshold_factor,actual_threshold,Total Trades,Win Rate,Profit Factor,Total Profit,Max Drawdown,Sharpe Ratio,Sortino Ratio
13,0.500,0.000,0.618,3.236,0.618,1.00,0.48,12,0.0000,0.0000,-0.01,0.0001,0.0000,0.0000
13,0.500,0.000,1.618,3.236,0.618,1.00,0.48,12,0.0000,0.0000,-0.01,0.0001,0.0000,0.0000
13,0.500,0.000,2.618,3.236,0.618,1.00,0.48,12,0.0000,0.0000,-0.01,0.0001,0.0000,0.0000
13,0.500,0.618,0.618,3.236,0.618,1.00,0.48,12,0.0000,0.0000,-0.01,0.0001,0.0000,0.0000
13,0.500,0.618,1.618,3.236,0.618,1.00,0.48,12,0.0000,0.0000,-0.01,0.0001,0.0000,0.0000
13,0.500,0.618,2.618,3.236,0.618,1.00,0.48,12,0.0000,0.0000,-0.01,0.0001,0.0000,0.0000
13,0.500,1.618,0.618,3.236,0.618,1.00,0.48,12,0.0000,0.0000,-0.01,0.0001,0.0000,0.0000
13,0.500,1.618,1.618,3.236,0.618,1.00,0.48,12,0.0000,0.0000,-0.01,0.0001,0.0000,0.0000
13,0.500,1.618,2.618,3.236,0.618,1.00,0.48,12,0.0000,0.0000,-0.01,0.0001,0.0000,0.0000
13,0.500,0.000,0.618,3.236,1.000,1.00,0.48,5,0.0000,0.0000,-0.03,0.0003,0.0000,0.0000
13,0.500,0.000,1.618,3.236,1.000,1.00,0.48,5,0.0000,0.0000,-0.03,0.0003,0.0000,0.0000
13,0.500,0.000,2.618,3.236,1.000,1.00,0.48,5,0.0000,0.0000,-0.03,0.0003,0.0000,0.0000
13,0.500,0.618,0.618,3.236,1.000,1.00,0.48,5,0.0000,0.0000,-0.03,0.0003,0.0000,0.0000
13,0.500,0.618,1.618,3.236,1.000,1.00,0.48,5,0.0000,0.0000,-0.03,0.0003,0.0000,0.0000
13,0.500,0.618,2.618,3.236,1.000,1.00,0.48,5,0.0000,0.0000,-0.03,0.0003,0.0000,0.0000
13,0.500,1.618,0.618,3.236,1.000,1.00,0.48,5,0.0000,0.0000,-0.03,0.0003,0.0000,0.0000
13,0.500,1.618,1.618,3.236,1.000,1.00,0.48,5,0.0000,0.0000,-0.03,0.0003,0.0000,0.0000
13,0.500,1.618,2.618,3.236,1.000,1.00,0.48,5,0.0000,0.0000,-0.03,0.0003,0.0000,0.0000
13,0.500,0.000,0.618,3.236,1.414,1.25,0.60,3,0.0000,0.0000,-0.06,0.0006,0.0000,0.0000
13,0.500,0.000,1.618,3.236,1.414,1.25,0.60,3,0.0000,0.0000,-0.06,0.0006,0.0000,0.0000
