Entry Time,Exit Time,Type,Entry Price,Exit Price,Size,P&L,Risk %,Profit Factor,Margin Used
2025-04-06T21:15:00Z,2025-04-06T22:10:00Z,Long,16.22,16.28,-0.017672,-0.00,2.00%,0.0000,-0.03
2025-04-06T22:19:00Z,2025-04-06T22:28:00Z,Long,16.21,16.27,-0.017802,-0.00,2.00%,0.0000,-0.03
2025-04-06T22:30:00Z,2025-04-07T01:19:00Z,Long,16.21,16.27,-0.017802,-0.00,2.00%,0.0000,-0.03
2025-04-07T01:50:00Z,2025-04-07T13:52:00Z,Long,16.21,16.27,-0.017802,-0.00,2.00%,0.0000,-0.03
2025-04-07T14:33:00Z,2025-04-07T17:19:00Z,Long,16.59,16.71,-0.020116,-0.00,2.00%,0.0000,-0.03
2025-04-08T12:41:00Z,2025-04-08T12:43:00Z,Long,17.22,17.30,-0.017310,-0.00,2.00%,0.0000,-0.03
2025-04-09T19:21:00Z,2025-04-09T21:00:00Z,Long,18.56,18.64,-0.015968,-0.00,2.00%,0.0000,-0.03
2025-04-09T21:07:00Z,2025-04-09T21:08:00Z,Long,18.56,18.64,-0.015968,-0.00,2.00%,0.0000,-0.03
2025-04-09T21:20:00Z,2025-04-09T21:24:00Z,Long,18.56,18.64,-0.015967,-0.00,2.00%,0.0000,-0.03
2025-04-10T04:08:00Z,2025-04-10T04:47:00Z,Long,18.05,18.10,-0.015695,-0.00,2.00%,0.0000,-0.03
2025-04-11T13:48:00Z,2025-04-11T14:36:00Z,Long,19.18,19.24,-0.014742,-0.00,2.00%,0.0000,-0.03
2025-04-11T15:46:00Z,2025-04-11T16:55:00Z,Long,19.22,19.29,-0.015011,-0.00,2.00%,0.0000,-0.03
