Entry Time,Exit Time,Type,Entry Price,Exit Price,Size,P&L,Risk %,Profit Factor,Margin Used
2025-04-06T18:50:00Z,2025-04-06T19:55:00Z,Long,273.88,275.16,0.895090,1.15,6.00%,0.0779,24.52
2025-04-06T20:03:00Z,2025-04-07T03:38:00Z,Short,276.11,265.21,0.178266,1.94,10.00%,0.3944,4.92
2025-04-07T04:08:00Z,2025-04-07T05:11:00Z,Long,265.71,266.91,0.984998,1.18,6.00%,0.0752,26.17
2025-04-07T05:21:00Z,2025-04-07T06:19:00Z,Short,267.13,261.26,0.238496,1.40,7.00%,0.3142,6.37
2025-04-07T06:33:00Z,2025-04-07T06:46:00Z,Short,259.64,252.74,0.264242,1.83,9.00%,0.2957,6.86
2025-04-07T06:56:00Z,2025-04-07T07:34:00Z,Short,254.39,252.47,1.083561,2.08,10.00%,0.0755,27.56
2025-04-07T07:51:00Z,2025-04-07T12:28:00Z,Long,252.44,263.91,0.183434,2.10,10.00%,0.4542,4.63
2025-04-07T13:00:00Z,2025-04-07T13:31:00Z,Long,263.59,264.10,1.915650,0.96,3.00%,0.0633,50.50
2025-04-07T13:31:00Z,2025-04-07T13:51:00Z,Short,267.28,266.17,2.351091,2.63,8.00%,0.0523,62.84
2025-04-07T14:05:00Z,2025-04-07T14:13:00Z,Long,269.47,276.67,0.276727,1.99,9.00%,0.2967,7.46
2025-04-07T14:23:00Z,2025-04-09T01:47:00Z,Long,264.49,267.10,1.255195,3.27,10.00%,0.0985,33.20
2025-04-09T01:53:00Z,2025-04-09T02:29:00Z,Short,269.74,269.15,2.392738,1.40,4.00%,0.0541,64.54
2025-04-09T03:03:00Z,2025-04-09T04:07:00Z,Short,268.85,267.98,1.075768,0.94,4.00%,0.0812,28.92
2025-04-09T04:13:00Z,2025-04-09T06:10:00Z,Long,269.32,274.26,0.286659,1.42,6.00%,0.3056,7.72
2025-04-09T07:02:00Z,2025-04-09T09:45:00Z,Long,273.09,273.92,1.147015,0.95,4.00%,0.0759,31.32
2025-04-09T09:56:00Z,2025-04-09T11:02:00Z,Short,273.39,270.39,0.240219,0.72,3.00%,0.3664,6.57
2025-04-09T11:11:00Z,2025-04-09T11:21:00Z,Short,270.54,269.75,1.233454,0.97,4.00%,0.0727,33.37
2025-04-09T12:00:00Z,2025-04-09T12:42:00Z,Long,267.64,268.58,1.034467,0.97,4.00%,0.0876,27.69
2025-04-09T14:23:00Z,2025-04-09T17:21:00Z,Long,274.24,279.10,0.303102,1.47,6.00%,0.2955,8.31
2025-04-09T18:26:00Z,2025-04-09T19:28:00Z,Long,307.40,308.51,1.119120,1.24,5.00%,0.0719,34.40
2025-04-09T19:29:00Z,2025-04-09T22:17:00Z,Long,305.96,306.89,2.406654,2.23,6.00%,0.0506,73.63
2025-04-10T00:08:00Z,2025-04-10T00:42:00Z,Short,302.58,301.63,1.082862,1.02,4.00%,0.0781,32.76
2025-04-10T03:39:00Z,2025-04-10T04:21:00Z,Short,297.51,297.01,2.341096,1.16,3.00%,0.0556,69.65
2025-04-10T04:47:00Z,2025-04-10T07:30:00Z,Short,298.77,298.00,2.519389,1.96,5.00%,0.0521,75.27
2025-04-10T07:34:00Z,2025-04-10T12:29:00Z,Long,295.20,295.69,2.395604,1.18,3.00%,0.0555,70.72
2025-04-10T12:30:00Z,2025-04-10T14:34:00Z,Long,293.86,294.88,2.694877,2.75,7.00%,0.0497,79.19
