lookback_period,initial_level,limit1_level,limit2_level,sl_level,tp_level,threshold_factor,actual_threshold,Total Trades,Win Rate,Profit Factor,Total Profit,Max Drawdown,Sharpe Ratio,Sortino Ratio
2,0.382,0.000,0.618,1.618,1.414,0.75,1.36,160,1.0000,inf,111.92,0.0000,0.0000,0.0000
2,0.382,0.000,1.618,1.618,1.414,0.75,1.36,160,1.0000,inf,111.92,0.0000,0.0000,0.0000
2,0.382,0.000,2.618,1.618,1.414,0.75,1.36,160,1.0000,inf,111.92,0.0000,0.0000,0.0000
2,0.382,0.618,0.618,1.618,1.414,0.75,1.36,160,1.0000,inf,111.92,0.0000,0.0000,0.0000
2,0.382,0.618,1.618,1.618,1.414,0.75,1.36,160,1.0000,inf,111.92,0.0000,0.0000,0.0000
2,0.382,0.618,2.618,1.618,1.414,0.75,1.36,160,1.0000,inf,111.92,0.0000,0.0000,0.0000
2,0.382,1.618,0.618,1.618,1.414,0.75,1.36,160,1.0000,inf,111.92,0.0000,0.0000,0.0000
2,0.382,1.618,1.618,1.618,1.414,0.75,1.36,160,1.0000,inf,111.92,0.0000,0.0000,0.0000
2,0.382,1.618,2.618,1.618,1.414,0.75,1.36,160,1.0000,inf,111.92,0.0000,0.0000,0.0000
2,0.382,0.000,0.618,1.618,1.414,1.25,2.26,88,1.0000,inf,94.11,0.0000,0.0000,0.0000
2,0.382,0.000,1.618,1.618,1.414,1.25,2.26,88,1.0000,inf,94.11,0.0000,0.0000,0.0000
2,0.382,0.000,2.618,1.618,1.414,1.25,2.26,88,1.0000,inf,94.11,0.0000,0.0000,0.0000
2,0.382,0.618,0.618,1.618,1.414,1.25,2.26,88,1.0000,inf,94.11,0.0000,0.0000,0.0000
2,0.382,0.618,1.618,1.618,1.414,1.25,2.26,88,1.0000,inf,94.11,0.0000,0.0000,0.0000
2,0.382,0.618,2.618,1.618,1.414,1.25,2.26,88,1.0000,inf,94.11,0.0000,0.0000,0.0000
2,0.382,1.618,0.618,1.618,1.414,1.25,2.26,88,1.0000,inf,94.11,0.0000,0.0000,0.0000
2,0.382,1.618,1.618,1.618,1.414,1.25,2.26,88,1.0000,inf,94.11,0.0000,0.0000,0.0000
2,0.382,1.618,2.618,1.618,1.414,1.25,2.26,88,1.0000,inf,94.11,0.0000,0.0000,0.0000
2,0.382,0.000,0.618,1.618,1.618,1.25,2.26,53,1.0000,inf,67.48,0.0000,0.0000,0.0000
2,0.382,0.000,1.618,1.618,1.618,1.25,2.26,53,1.0000,inf,67.48,0.0000,0.0000,0.0000
