Entry Time,Exit Time,Type,Entry Price,Exit Price,Size,P&L,Risk %,Profit Factor,Margin Used
2025-05-02 17:37:59.508686400 UTC,2025-04-06T19:19:00Z,Long,556.59,557.46,-0.048171,-0.04,2.00%,1.0000,-2.68
2025-05-02 17:37:59.508697400 UTC,2025-04-06T19:20:00Z,Long,556.59,557.48,-0.048171,-0.04,2.00%,1.0000,-2.68
2025-05-02 17:37:59.508703 UTC,2025-04-06T19:21:00Z,Long,556.59,558.10,-0.048171,-0.07,2.00%,1.0000,-2.68
2025-05-02 17:37:59.508707900 UTC,2025-04-06T19:22:00Z,Long,556.59,556.90,-0.048171,-0.02,2.00%,1.0000,-2.68
2025-05-02 17:37:59.508713800 UTC,2025-04-06T19:23:00Z,Long,556.59,555.80,-0.048171,0.04,2.00%,1.0000,-2.68
2025-05-02 17:37:59.508719200 UTC,2025-04-06T19:24:00Z,Long,556.59,555.44,-0.048171,0.06,2.00%,1.0000,-2.68
2025-05-02 17:37:59.508723500 UTC,2025-04-06T19:25:00Z,Long,556.59,555.46,-0.048171,0.05,2.00%,1.0000,-2.68
2025-05-02 17:37:59.508727800 UTC,2025-04-06T19:26:00Z,Long,556.59,555.47,-0.048171,0.05,2.00%,1.0000,-2.68
2025-05-02 17:37:59.508734600 UTC,2025-04-06T19:27:00Z,Long,556.59,555.32,-0.048171,0.06,2.00%,1.0000,-2.68
2025-05-02 17:37:59.508739500 UTC,2025-04-06T19:28:00Z,Long,556.59,554.57,-0.048171,0.10,2.00%,1.0000,-2.68
2025-05-02 17:37:59.508743800 UTC,2025-04-06T19:29:00Z,Long,556.59,555.03,-0.048171,0.08,2.00%,1.0000,-2.68
2025-05-02 17:37:59.508748 UTC,2025-04-06T19:30:00Z,Long,556.59,555.00,-0.048171,0.08,2.00%,1.0000,-2.68
2025-05-02 17:37:59.508752300 UTC,2025-04-06T19:31:00Z,Long,557.19,556.04,-0.065913,0.08,2.00%,1.0000,-3.67
2025-05-02 17:37:59.508756600 UTC,2025-04-06T19:33:00Z,Long,557.19,555.99,-0.065913,0.08,2.00%,1.0000,-3.67
2025-05-02 17:37:59.508760900 UTC,2025-04-06T19:34:00Z,Long,557.19,555.80,-0.065913,0.09,2.00%,1.0000,-3.67
2025-05-02 17:37:59.508767900 UTC,2025-04-06T19:35:00Z,Long,557.19,556.72,-0.065913,0.03,2.00%,1.0000,-3.67
2025-05-02 17:37:59.508772500 UTC,2025-04-06T19:36:00Z,Long,557.19,557.01,-0.065913,0.01,2.00%,1.0000,-3.67
2025-05-02 17:37:59.508778100 UTC,2025-04-06T19:37:00Z,Long,557.19,556.12,-0.065913,0.07,2.00%,1.0000,-3.67
2025-05-02 17:37:59.508783200 UTC,2025-04-06T19:38:00Z,Long,557.59,556.91,-0.087273,0.06,2.00%,1.0000,-4.87
2025-05-02 17:37:59.508787500 UTC,2025-04-06T19:39:00Z,Long,557.59,557.07,-0.087273,0.05,2.00%,1.0000,-4.87
2025-05-02 17:37:59.508791900 UTC,2025-04-06T19:40:00Z,Long,557.59,555.86,-0.087273,0.15,2.00%,1.0000,-4.87
2025-05-02 17:37:59.508796400 UTC,2025-04-06T19:41:00Z,Long,557.59,556.66,-0.087273,0.08,2.00%,1.0000,-4.87
2025-05-02 17:37:59.508818200 UTC,2025-04-06T19:51:00Z,Short,554.92,554.63,-0.081254,0.02,2.00%,1.0000,-4.51
2025-05-02 17:37:59.508824100 UTC,2025-04-06T19:52:00Z,Short,554.92,555.09,-0.081254,-0.01,2.00%,1.0000,-4.51
2025-05-02 17:37:59.508828700 UTC,2025-04-06T19:53:00Z,Short,554.92,555.87,-0.081254,-0.08,2.00%,1.0000,-4.51
2025-05-02 17:37:59.508833400 UTC,2025-04-06T19:54:00Z,Short,554.92,556.77,-0.081254,-0.15,2.00%,1.0000,-4.51
2025-05-02 17:37:59.508838500 UTC,2025-04-06T19:55:00Z,Short,554.92,557.60,-0.081254,-0.22,2.00%,1.0000,-4.51
2025-05-02 17:37:59.508843900 UTC,2025-04-06T19:56:00Z,Short,554.92,558.21,-0.081254,-0.27,2.00%,1.0000,-4.51
2025-05-02 17:37:59.508848300 UTC,2025-04-06T19:57:00Z,Short,554.92,558.25,-0.081254,-0.27,2.00%,1.0000,-4.51
2025-05-02 17:37:59.508857 UTC,2025-04-06T19:58:00Z,Short,554.92,558.36,-0.081254,-0.28,2.00%,1.0000,-4.51
2025-05-02 17:37:59.508861300 UTC,2025-04-06T19:59:00Z,Short,554.92,558.29,-0.081254,-0.27,2.00%,1.0000,-4.51
2025-05-02 17:37:59.508865400 UTC,2025-04-06T20:00:00Z,Short,554.92,558.06,-0.081254,-0.26,2.00%,1.0000,-4.51
