lookback_period,initial_level,limit1_level,limit2_level,sl_level,tp_level,threshold_factor,actual_threshold,Total Trades,Win Rate,Profit Factor,Total Profit,Max Drawdown,Sharpe Ratio,Sortino Ratio
13,0.382,0.000,0.618,2.618,1.000,1.25,1270.53,2,0.5000,0.0070,-1.99,0.0200,0.0000,0.0000
13,0.382,0.000,1.618,2.618,1.000,1.25,1270.53,2,0.5000,0.0070,-1.99,0.0200,0.0000,0.0000
13,0.382,0.000,2.618,2.618,1.000,1.25,1270.53,2,0.5000,0.0070,-1.99,0.0200,0.0000,0.0000
13,0.382,0.618,0.618,2.618,1.000,1.25,1270.53,2,0.5000,0.0070,-1.99,0.0200,0.0000,0.0000
13,0.382,0.618,1.618,2.618,1.000,1.25,1270.53,2,0.5000,0.0070,-1.99,0.0200,0.0000,0.0000
13,0.382,0.618,2.618,2.618,1.000,1.25,1270.53,2,0.5000,0.0070,-1.99,0.0200,0.0000,0.0000
13,0.382,1.618,0.618,2.618,1.000,1.25,1270.53,2,0.5000,0.0070,-1.99,0.0200,0.0000,0.0000
13,0.382,1.618,1.618,2.618,1.000,1.25,1270.53,2,0.5000,0.0070,-1.99,0.0200,0.0000,0.0000
13,0.382,1.618,2.618,2.618,1.000,1.25,1270.53,2,0.5000,0.0070,-1.99,0.0200,0.0000,0.0000
13,0.382,0.000,0.618,2.618,1.414,1.25,1270.53,2,0.5000,0.0070,-1.99,0.0200,0.0000,0.0000
13,0.382,0.000,1.618,2.618,1.414,1.25,1270.53,2,0.5000,0.0070,-1.99,0.0200,0.0000,0.0000
13,0.382,0.000,2.618,2.618,1.414,1.25,1270.53,2,0.5000,0.0070,-1.99,0.0200,0.0000,0.0000
13,0.382,0.618,0.618,2.618,1.414,1.25,1270.53,2,0.5000,0.0070,-1.99,0.0200,0.0000,0.0000
13,0.382,0.618,1.618,2.618,1.414,1.25,1270.53,2,0.5000,0.0070,-1.99,0.0200,0.0000,0.0000
13,0.382,0.618,2.618,2.618,1.414,1.25,1270.53,2,0.5000,0.0070,-1.99,0.0200,0.0000,0.0000
13,0.382,1.618,0.618,2.618,1.414,1.25,1270.53,2,0.5000,0.0070,-1.99,0.0200,0.0000,0.0000
13,0.382,1.618,1.618,2.618,1.414,1.25,1270.53,2,0.5000,0.0070,-1.99,0.0200,0.0000,0.0000
13,0.382,1.618,2.618,2.618,1.414,1.25,1270.53,2,0.5000,0.0070,-1.99,0.0200,0.0000,0.0000
13,0.382,0.000,0.618,2.618,1.618,1.25,1270.53,2,0.5000,0.0070,-1.99,0.0200,0.0000,0.0000
13,0.382,0.000,1.618,2.618,1.618,1.25,1270.53,2,0.5000,0.0070,-1.99,0.0200,0.0000,0.0000
