Entry Time,Exit Time,Type,Entry Price,Exit Price,Size,P&L,Risk %,Profit Factor,Margin Used
2025-04-06T19:01:00Z,2025-04-07T06:17:00Z,Short,79383.06,76567.94,0.000861,2.42,10.00%,0.3546,1.71
2025-04-07T07:07:00Z,2025-04-09T01:13:00Z,Short,75819.06,75508.10,0.011973,3.72,10.00%,0.0410,22.70
2025-04-09T01:21:00Z,2025-04-09T03:05:00Z,Short,75849.91,75518.38,0.011640,3.86,10.00%,0.0437,22.07
2025-04-09T03:38:00Z,2025-04-09T04:02:00Z,Long,75330.81,75576.02,0.010887,2.67,10.00%,0.0326,20.50
2025-04-09T04:12:00Z,2025-04-09T04:44:00Z,Long,75555.05,76567.95,0.002788,2.82,10.00%,0.1341,5.27
2025-04-09T05:06:00Z,2025-04-09T11:02:00Z,Short,77077.45,76151.97,0.003019,2.79,10.00%,0.1201,5.82
2025-04-09T11:03:00Z,2025-04-09T14:51:00Z,Short,77833.70,77212.28,0.006958,4.32,10.00%,0.0798,13.54
2025-04-09T15:25:00Z,2025-04-09T15:48:00Z,Long,77253.96,77454.00,0.014988,3.00,10.00%,0.0259,28.95
2025-04-09T15:49:00Z,2025-04-09T16:06:00Z,Long,77253.96,77454.00,0.015355,3.07,10.00%,0.0259,29.66
2025-04-09T16:07:00Z,2025-04-09T16:50:00Z,Long,77438.10,78269.90,0.003933,3.27,10.00%,0.1074,7.61
2025-04-09T17:19:00Z,2025-04-09T17:21:00Z,Long,78442.34,79989.66,0.002099,3.25,10.00%,0.1973,4.12
2025-04-09T17:50:00Z,2025-04-10T14:34:00Z,Long,80863.25,81565.70,0.004572,3.21,10.00%,0.0869,9.24
2025-04-10T14:47:00Z,2025-04-11T02:26:00Z,Long,80276.12,80739.33,0.010531,4.88,10.00%,0.0577,21.14
2025-04-11T05:27:00Z,2025-04-11T08:01:00Z,Short,81173.25,81021.17,0.034421,5.23,10.00%,0.0187,69.85
2025-04-11T08:31:00Z,2025-04-11T10:34:00Z,Long,81482.97,82952.03,0.002498,3.67,10.00%,0.1803,5.09
2025-04-11T10:58:00Z,2025-04-11T12:30:00Z,Long,82283.76,82441.73,0.034726,5.49,10.00%,0.0192,71.43
2025-04-11T13:22:00Z,2025-04-11T14:19:00Z,Short,82448.53,82308.25,0.041124,5.77,10.00%,0.0170,84.76
2025-04-11T14:21:00Z,2025-04-11T14:51:00Z,Short,82268.41,82055.86,0.018946,4.03,10.00%,0.0258,38.97
2025-04-11T14:57:00Z,2025-04-11T17:35:00Z,Long,82027.73,83179.27,0.003636,4.19,10.00%,0.1404,7.46
2025-04-11T18:11:00Z,2025-04-11T18:29:00Z,Long,83777.46,83994.15,0.019371,4.20,10.00%,0.0259,40.57
2025-04-11T18:30:00Z,2025-04-11T20:31:00Z,Long,83777.46,83994.15,0.019845,4.30,10.00%,0.0259,41.56
2025-04-11T20:32:00Z,2025-04-13T03:34:00Z,Long,83592.75,83735.14,0.045742,6.51,10.00%,0.0170,95.59
2025-04-13T05:29:00Z,2025-04-13T10:23:00Z,Short,84855.05,84684.32,0.021751,3.71,8.00%,0.0251,46.14
2025-04-13T12:12:00Z,2025-04-13T13:51:00Z,Short,84626.21,83655.79,0.004972,4.83,10.00%,0.1147,10.52
2025-04-13T14:19:00Z,2025-04-13T15:09:00Z,Short,83924.69,83661.15,0.018148,4.78,10.00%,0.0314,38.08
2025-04-13T15:33:00Z,2025-04-13T19:39:00Z,Short,84146.53,83972.13,0.041834,7.30,10.00%,0.0207,88.01
2025-04-13T19:50:00Z,2025-04-13T20:43:00Z,Long,83503.89,83617.10,0.053293,6.03,8.00%,0.0169,111.25
2025-04-13T20:43:00Z,2025-04-14T00:57:00Z,Short,84589.48,84216.01,0.020768,7.76,10.00%,0.0442,43.92
2025-04-14T01:15:00Z,2025-04-14T02:16:00Z,Long,84232.53,84429.16,0.027600,5.43,10.00%,0.0233,58.12
2025-04-14T02:23:00Z,2025-04-14T02:31:00Z,Long,84420.99,85217.01,0.006575,5.23,9.00%,0.1048,13.88
2025-04-14T02:50:00Z,2025-04-14T04:29:00Z,Long,84604.77,84814.11,0.039676,8.31,10.00%,0.0247,83.92
2025-04-14T04:57:00Z,2025-04-14T13:29:00Z,Short,85132.49,84929.78,0.029254,5.93,10.00%,0.0238,62.26
2025-04-14T13:30:00Z,2025-04-14T13:46:00Z,Short,84946.37,84105.63,0.007494,6.30,10.00%,0.0990,15.92
2025-04-14T14:00:00Z,2025-04-14T15:02:00Z,Short,85002.79,84758.21,0.037520,9.18,10.00%,0.0288,79.73
