lookback_period,initial_level,limit1_level,limit2_level,sl_level,tp_level,threshold_factor,actual_threshold,Total Trades,Win Rate,Profit Factor,Total Profit,Max Drawdown,Sharpe Ratio,Sortino Ratio
13,0.618,0.786,1.000,0.618,1.414,0.75,0.01,17,0.7059,6.7891,83.20,0.0496,10.7550,-2.0783
13,0.618,0.618,1.000,0.500,1.414,0.75,0.01,24,0.7917,7.7604,72.05,0.0393,10.4022,-2.7525
13,0.500,0.786,1.000,0.618,1.414,0.75,0.01,17,0.7059,5.9689,66.83,0.0500,10.4061,-2.3273
13,0.618,0.786,1.000,0.618,1.618,0.75,0.01,16,0.6875,5.3330,65.18,0.0551,9.5438,-2.2966
13,0.618,0.618,1.000,0.500,1.618,0.75,0.01,23,0.7826,6.2134,59.33,0.0437,9.5006,-3.0489
13,0.500,0.618,1.000,0.500,1.414,0.75,0.01,24,0.7917,6.6875,58.05,0.0401,10.0832,-3.0825
13,0.618,0.786,1.000,0.500,1.414,0.75,0.01,24,0.7917,7.7115,53.54,0.0332,9.8864,-3.2488
13,0.382,0.786,1.000,0.618,1.414,0.75,0.01,17,0.7059,5.1840,53.10,0.0505,9.9353,-2.6192
13,0.500,0.786,1.000,0.618,1.618,0.75,0.01,16,0.6875,4.7070,52.37,0.0553,9.1313,-2.5701
13,0.500,0.618,1.000,0.500,1.618,0.75,0.01,23,0.7826,5.3829,47.78,0.0443,9.1165,-3.4061
13,0.382,0.618,1.000,0.500,1.414,0.75,0.01,24,0.7917,5.6915,46.03,0.0408,9.6360,-3.4714
13,0.618,0.786,1.000,0.500,1.618,0.75,0.01,23,0.7826,6.1030,43.81,0.0369,8.9385,-3.6060
13,0.500,0.786,1.000,0.500,1.414,0.75,0.01,24,0.7917,6.5853,43.76,0.0341,9.5355,-3.6223
13,0.382,0.786,1.000,0.618,1.618,0.75,0.01,16,0.6875,4.1033,41.49,0.0554,8.6001,-2.8876
13,0.618,0.786,1.272,0.618,1.414,0.75,0.01,17,0.7059,6.8263,39.07,0.0304,10.6924,-3.7100
13,0.618,0.786,1.272,0.618,1.618,0.75,0.01,16,0.6875,6.2167,38.97,0.0338,10.2421,-3.6935
13,0.618,0.618,1.272,0.500,1.414,0.75,0.01,24,0.7917,7.5878,38.37,0.0262,10.5295,-4.5737
13,0.618,0.618,1.272,0.500,1.618,0.75,0.01,23,0.7826,6.8981,38.27,0.0291,10.0076,-4.5546
13,0.382,0.618,1.000,0.500,1.618,0.75,0.01,23,0.7826,4.6036,37.77,0.0449,8.6019,-3.8230
8,0.618,0.786,1.000,0.618,1.000,1.25,0.01,20,0.5500,3.2651,36.25,0.0609,6.1616,-3.5777
