Entry Time,Exit Time,Type,Entry Price,Exit Price,Size,P&L,Risk %,Profit Factor,Margin Used
2025-04-06T18:49:00Z,2025-04-06T22:04:00Z,Long,0.42,0.43,407.050162,1.96,10.00%,0.1139,17.22
2025-04-06T22:41:00Z,2025-04-07T01:38:00Z,Short,0.43,0.43,422.980921,2.12,10.00%,0.1154,18.39
2025-04-07T01:49:00Z,2025-04-07T08:35:00Z,Long,0.42,0.43,1223.214976,2.96,10.00%,0.0570,51.92
2025-04-07T08:48:00Z,2025-04-07T09:26:00Z,Long,0.43,0.43,497.389463,2.12,10.00%,0.0997,21.24
2025-04-07T09:33:00Z,2025-04-07T13:51:00Z,Long,0.43,0.45,126.808092,2.44,10.00%,0.4446,5.48
2025-04-07T14:30:00Z,2025-04-09T17:24:00Z,Long,0.45,0.51,34.341074,2.22,10.00%,1.4413,1.54
2025-04-09T18:02:00Z,2025-04-10T12:19:00Z,Long,0.51,0.51,563.424594,3.14,10.00%,0.1096,28.68
2025-04-10T12:20:00Z,2025-04-10T20:10:00Z,Long,0.50,0.51,195.601415,2.21,10.00%,0.2247,9.83
2025-04-10T20:24:00Z,2025-04-11T00:35:00Z,Long,0.52,0.57,51.355271,2.44,10.00%,0.9075,2.69
2025-04-11T00:47:00Z,2025-04-11T01:11:00Z,Long,0.57,0.57,472.512292,2.42,10.00%,0.0905,26.77
2025-04-11T01:12:00Z,2025-04-11T02:31:00Z,Long,0.57,0.60,120.482348,2.81,10.00%,0.4075,6.90
2025-04-11T03:00:00Z,2025-04-11T09:43:00Z,Long,0.59,0.62,116.147343,2.87,10.00%,0.4163,6.88
2025-04-11T10:11:00Z,2025-04-11T11:08:00Z,Long,0.61,0.63,137.290074,2.53,8.00%,0.3748,8.43
2025-04-11T11:13:00Z,2025-04-11T13:46:00Z,Long,0.61,0.62,278.922325,2.55,10.00%,0.1496,17.06
2025-04-11T13:47:00Z,2025-04-11T17:39:00Z,Long,0.61,0.62,284.304713,2.60,10.00%,0.1496,17.39
2025-04-11T17:40:00Z,2025-04-13T03:34:00Z,Long,0.60,0.61,652.029670,3.82,10.00%,0.0973,39.21
2025-04-13T04:46:00Z,2025-04-13T06:05:00Z,Long,0.63,0.63,592.187870,2.85,10.00%,0.0766,37.24
