lookback_period,initial_level,limit1_level,limit2_level,sl_level,tp_level,threshold_factor,actual_threshold,Total Trades,Win Rate,Profit Factor,Total Profit,Max Drawdown,Sharpe Ratio,Sortino Ratio
13,0.618,0.786,1.000,0.618,1.000,0.75,0.00,75,0.9467,44.5556,178819.61,0.0219,7.4966,-0.6326
13,0.500,0.786,1.000,0.618,1.000,0.75,0.00,75,0.9467,43.3323,58118.90,0.0217,8.3076,-0.6632
13,0.382,0.786,1.000,0.618,1.000,0.75,0.00,75,0.9467,41.5637,21419.02,0.0215,9.2767,-0.7063
13,0.618,0.786,1.272,0.618,1.000,0.75,0.00,75,0.9467,71.8947,4940.58,0.0105,12.6978,-0.8479
13,0.618,0.618,1.000,0.500,1.000,0.75,0.00,91,0.6813,3.4175,4439.88,0.2872,6.0763,-2.8741
13,0.618,0.786,1.000,0.618,1.618,0.75,0.00,41,0.9268,169.4910,3132.36,0.0317,11.1114,-10.0662
13,0.500,0.786,1.272,0.618,1.000,0.75,0.00,75,0.9467,64.6020,2972.89,0.0109,13.7678,-0.9171
13,0.500,0.618,1.000,0.500,1.000,0.75,0.00,91,0.6813,3.3077,2368.85,0.2922,6.3510,-2.9426
13,0.618,0.786,1.000,0.500,1.000,0.75,0.00,91,0.6813,4.0342,2011.57,0.2375,7.0794,-3.0408
13,0.618,0.786,1.414,0.618,1.000,0.75,0.00,75,0.9467,75.1990,1836.97,0.0083,15.2338,-1.0381
13,0.382,0.786,1.272,0.618,1.000,0.75,0.00,75,0.9467,57.4380,1836.68,0.0113,14.9819,-1.0073
13,0.500,0.786,1.000,0.618,1.618,0.75,0.00,41,0.9268,111.9104,1788.83,0.0306,12.2030,-11.5568
13,0.618,0.786,1.000,0.618,1.618,1.25,0.00,31,0.9355,236.7431,1530.25,0.0322,13.1808,-10.8712
13,0.618,0.786,1.000,0.618,1.618,1.00,0.00,31,0.9355,236.4187,1525.91,0.0322,13.1773,-11.0304
13,0.618,0.786,1.000,0.618,1.000,1.00,0.00,33,0.8788,37.3932,1494.14,0.0255,12.0099,-0.7421
13,0.618,0.786,1.000,0.618,1.000,1.25,0.00,33,0.8788,37.3932,1494.14,0.0255,12.0099,-0.7421
13,0.382,0.618,1.000,0.500,1.000,0.75,0.00,91,0.6813,3.1823,1317.00,0.2963,6.5907,-3.0534
13,0.500,0.786,1.414,0.618,1.000,0.75,0.00,75,0.9467,66.1890,1255.66,0.0087,16.3640,-1.1305
13,0.500,0.786,1.000,0.500,1.000,0.75,0.00,91,0.6813,3.8261,1225.00,0.2443,7.2945,-3.1478
13,0.618,0.618,1.000,0.500,1.618,0.75,0.00,44,0.9091,87.7751,1217.83,0.0253,13.4064,-11.4678
