Entry Time,Exit Time,Type,Entry Price,Exit Price,Size,P&L,Risk %,Profit Factor,Margin Used
2025-04-06T18:48:00Z,2025-04-06T18:50:00Z,Long,0.15,0.15,1249.258253,0.68,1.00%,0.3568,18.94
2025-04-06T19:01:00Z,2025-04-06T20:36:00Z,Short,0.15,0.15,233.128830,0.69,1.00%,1.9293,3.55
2025-04-06T20:47:00Z,2025-04-06T21:28:00Z,Short,0.15,0.15,1668.387775,1.40,2.00%,0.2752,25.37
2025-04-06T22:04:00Z,2025-04-06T22:44:00Z,Long,0.15,0.15,2133.433671,-1.03,1.00%,0.0000,31.63
2025-04-06T23:30:00Z,2025-04-06T23:39:00Z,Short,0.15,0.15,2904.136585,-1.02,1.00%,0.0000,43.03
2025-04-07T00:09:00Z,2025-04-07T00:56:00Z,Long,0.15,0.15,958.365073,0.68,1.00%,0.4837,14.03
2025-04-07T01:00:00Z,2025-04-07T01:24:00Z,Long,0.15,0.15,246.010846,0.69,1.00%,1.8926,3.65
2025-04-07T01:39:00Z,2025-04-07T03:32:00Z,Long,0.15,0.14,2590.381468,-2.04,2.00%,0.0000,37.73
2025-04-07T03:47:00Z,2025-04-07T06:19:00Z,Short,0.14,0.14,435.184087,1.36,2.00%,1.1054,6.16
2025-04-07T06:50:00Z,2025-04-07T08:24:00Z,Short,0.14,0.14,2948.535178,-2.03,2.00%,0.0000,40.29
2025-04-07T08:24:00Z,2025-04-07T09:56:00Z,Short,0.14,0.14,1556.792865,1.37,2.00%,0.3171,21.62
2025-04-07T10:25:00Z,2025-04-07T12:26:00Z,Long,0.14,0.14,1496.475258,1.35,2.00%,0.3275,20.66
2025-04-07T12:29:00Z,2025-04-07T13:47:00Z,Long,0.14,0.14,1842.354182,1.37,2.00%,0.2690,25.55
2025-04-07T13:48:00Z,2025-04-07T13:51:00Z,Long,0.14,0.14,466.789449,1.41,2.00%,1.0761,6.55
2025-04-07T14:06:00Z,2025-04-07T14:11:00Z,Long,0.15,0.15,431.585853,1.43,2.00%,1.1360,6.29
2025-04-07T14:23:00Z,2025-04-09T01:10:00Z,Long,0.14,0.14,1207.669852,-2.13,2.00%,0.0000,17.04
2025-04-09T04:07:00Z,2025-04-09T04:38:00Z,Long,0.14,0.14,265.479632,0.71,1.00%,1.9158,3.70
2025-04-09T05:32:00Z,2025-04-09T06:14:00Z,Long,0.14,0.15,322.634576,0.71,1.00%,1.5430,4.63
2025-04-09T06:18:00Z,2025-04-09T07:29:00Z,Long,0.14,0.15,296.389869,0.72,1.00%,1.6770,4.29
2025-04-09T11:00:00Z,2025-04-09T11:02:00Z,Long,0.15,0.15,2613.411059,1.07,1.00%,0.2826,37.95
2025-04-09T11:32:00Z,2025-04-09T12:55:00Z,Short,0.15,0.15,2899.847288,-1.07,1.00%,0.0000,42.39
2025-04-09T13:07:00Z,2025-04-09T15:05:00Z,Long,0.15,0.15,1161.499371,0.72,1.00%,0.4239,16.93
2025-04-09T17:19:00Z,2025-04-09T17:21:00Z,Long,0.15,0.15,344.923495,0.73,1.00%,1.4165,5.15
2025-04-09T17:43:00Z,2025-04-09T17:48:00Z,Long,0.16,0.16,347.272000,0.73,1.00%,1.3369,5.49
