lookback_period,initial_level,limit1_level,limit2_level,sl_level,tp_level,threshold_factor,actual_threshold,Total Trades,Win Rate,Profit Factor,Total Profit,Max Drawdown,Sharpe Ratio,Sortino Ratio
13,0.500,0.000,0.618,3.236,0.000,1.25,0.06,16,0.9375,0.0229,-1.95,0.0200,0.0000,0.0000
13,0.500,0.000,1.618,3.236,0.000,1.25,0.06,16,0.9375,0.0229,-1.95,0.0200,0.0000,0.0000
13,0.500,0.000,2.618,3.236,0.000,1.25,0.06,16,0.9375,0.0229,-1.95,0.0200,0.0000,0.0000
13,0.500,0.618,0.618,3.236,0.000,1.25,0.06,16,0.9375,0.0229,-1.95,0.0200,0.0000,0.0000
13,0.500,0.618,1.618,3.236,0.000,1.25,0.06,16,0.9375,0.0229,-1.95,0.0200,0.0000,0.0000
13,0.500,0.618,2.618,3.236,0.000,1.25,0.06,16,0.9375,0.0229,-1.95,0.0200,0.0000,0.0000
13,0.500,1.618,0.618,3.236,0.000,1.25,0.06,16,0.9375,0.0229,-1.95,0.0200,0.0000,0.0000
13,0.500,1.618,1.618,3.236,0.000,1.25,0.06,16,0.9375,0.0229,-1.95,0.0200,0.0000,0.0000
13,0.500,1.618,2.618,3.236,0.000,1.25,0.06,16,0.9375,0.0229,-1.95,0.0200,0.0000,0.0000
13,0.500,0.000,0.618,2.618,0.000,1.25,0.06,16,0.9375,0.0225,-1.96,0.0200,0.0000,0.0000
13,0.500,0.000,1.618,2.618,0.000,1.25,0.06,16,0.9375,0.0225,-1.96,0.0200,0.0000,0.0000
13,0.500,0.000,2.618,2.618,0.000,1.25,0.06,16,0.9375,0.0225,-1.96,0.0200,0.0000,0.0000
13,0.500,0.618,0.618,2.618,0.000,1.25,0.06,16,0.9375,0.0225,-1.96,0.0200,0.0000,0.0000
13,0.500,0.618,1.618,2.618,0.000,1.25,0.06,16,0.9375,0.0225,-1.96,0.0200,0.0000,0.0000
13,0.500,0.618,2.618,2.618,0.000,1.25,0.06,16,0.9375,0.0225,-1.96,0.0200,0.0000,0.0000
13,0.500,1.618,0.618,2.618,0.000,1.25,0.06,16,0.9375,0.0225,-1.96,0.0200,0.0000,0.0000
13,0.500,1.618,1.618,2.618,0.000,1.25,0.06,16,0.9375,0.0225,-1.96,0.0200,0.0000,0.0000
13,0.500,1.618,2.618,2.618,0.000,1.25,0.06,16,0.9375,0.0225,-1.96,0.0200,0.0000,0.0000
8,0.618,0.000,0.618,3.236,1.618,1.25,0.06,9,0.3333,0.0331,-1.96,0.0202,0.0000,0.0000
8,0.618,0.000,1.618,3.236,1.618,1.25,0.06,9,0.3333,0.0331,-1.96,0.0202,0.0000,0.0000
