Entry Time,Exit Time,Type,Entry Price,Exit Price,Size,P&L,Risk %,Profit Factor,Margin Used
2025-04-06T18:48:00Z,2025-04-06T19:01:00Z,Long,3.69,3.71,66.342910,1.53,5.00%,0.1248,24.47
2025-04-06T19:04:00Z,2025-04-06T20:39:00Z,Long,3.67,3.69,151.551863,2.27,5.00%,0.0815,55.65
2025-04-06T20:43:00Z,2025-04-06T21:06:00Z,Long,3.68,3.71,69.045878,2.46,8.00%,0.1210,25.38
2025-04-06T21:08:00Z,2025-04-06T23:40:00Z,Long,3.65,3.67,159.031543,3.70,8.00%,0.0796,58.06
2025-04-07T00:31:00Z,2025-04-07T01:38:00Z,Short,3.69,3.67,176.606291,2.54,5.00%,0.0780,65.10
2025-04-07T01:44:00Z,2025-04-07T02:22:00Z,Short,3.67,3.65,73.934161,1.75,5.00%,0.1290,27.15
2025-04-07T03:51:00Z,2025-04-07T06:17:00Z,Short,3.50,3.45,65.639572,3.42,10.00%,0.1487,23.00
2025-04-07T06:45:00Z,2025-04-07T07:54:00Z,Short,3.37,3.33,91.803168,3.21,9.00%,0.1153,30.92
2025-04-07T08:02:00Z,2025-04-08T23:11:00Z,Short,3.37,3.36,184.722822,3.30,6.00%,0.0883,62.32
2025-04-08T23:15:00Z,2025-04-09T01:38:00Z,Long,3.29,3.32,194.321894,5.33,10.00%,0.0834,63.90
2025-04-09T01:45:00Z,2025-04-09T11:42:00Z,Short,3.40,3.37,203.866043,5.83,10.00%,0.0842,69.30
2025-04-09T13:31:00Z,2025-04-09T15:17:00Z,Long,3.36,3.39,103.490822,2.46,6.00%,0.1176,34.80
2025-04-09T17:19:00Z,2025-04-09T17:24:00Z,Long,3.43,3.52,26.782488,2.27,5.00%,0.4945,9.20
2025-04-09T18:11:00Z,2025-04-09T19:25:00Z,Long,3.67,3.70,100.474338,2.94,7.00%,0.1138,36.88
2025-04-09T19:51:00Z,2025-04-13T03:34:00Z,Long,3.65,3.67,230.810145,4.40,7.00%,0.0747,84.24
2025-04-13T03:36:00Z,2025-04-13T13:42:00Z,Short,3.72,3.70,206.799597,3.38,5.00%,0.0880,76.90
2025-04-13T14:21:00Z,2025-04-13T17:41:00Z,Long,3.66,3.76,24.370438,2.45,5.00%,0.5487,8.93
2025-04-13T19:54:00Z,2025-04-13T21:22:00Z,Long,3.68,3.70,96.586254,2.76,6.00%,0.1296,35.50
2025-04-13T21:23:00Z,2025-04-13T21:55:00Z,Long,3.65,3.67,221.233843,4.12,6.00%,0.0850,80.86
2025-04-13T23:15:00Z,2025-04-14T00:22:00Z,Long,3.64,3.74,24.837880,2.59,5.00%,0.5720,9.04
2025-04-14T02:07:00Z,2025-04-14T03:12:00Z,Short,3.72,3.70,261.900663,4.47,6.00%,0.0766,97.39
2025-04-14T03:50:00Z,2025-04-14T06:54:00Z,Short,3.71,3.68,112.358454,4.06,8.00%,0.1218,41.70
2025-04-14T07:20:00Z,2025-04-14T09:24:00Z,Short,3.67,3.66,234.925937,3.18,4.00%,0.0920,86.33
2025-04-14T09:40:00Z,2025-04-14T23:42:00Z,Short,3.67,3.66,239.283374,3.24,4.00%,0.0920,87.93
2025-04-15T02:26:00Z,2025-04-15T04:26:00Z,Short,3.68,3.66,114.373592,2.25,4.00%,0.1336,42.07
2025-04-15T05:29:00Z,2025-04-15T07:07:00Z,Long,3.65,3.68,131.537056,3.27,6.00%,0.1135,48.08
2025-04-15T14:12:00Z,2025-04-16T00:18:00Z,Short,3.68,3.51,32.577102,5.65,10.00%,0.4712,11.99
2025-04-16T00:46:00Z,2025-04-16T04:15:00Z,Short,3.55,3.53,275.808313,4.33,5.00%,0.0885,97.92
2025-04-16T05:44:00Z,2025-04-16T15:59:00Z,Short,3.57,3.55,318.197069,6.15,7.00%,0.0773,113.73
2025-04-16T16:36:00Z,2025-04-16T18:10:00Z,Long,3.50,3.52,334.594088,6.14,7.00%,0.0749,117.06
2025-04-16T18:16:00Z,2025-04-16T18:42:00Z,Short,3.55,3.52,152.069624,4.41,7.00%,0.1167,53.97
2025-04-16T18:45:00Z,2025-04-16T23:31:00Z,Short,3.57,3.55,349.497682,6.69,7.00%,0.0766,124.76
2025-04-17T07:30:00Z,2025-04-17T14:34:00Z,Short,3.68,3.59,32.793759,2.89,4.00%,0.6000,12.05
2025-04-17T16:42:00Z,2025-04-18T04:39:00Z,Long,3.64,3.67,151.526576,4.59,7.00%,0.1189,55.14
2025-04-19T17:50:00Z,2025-04-19T22:03:00Z,Long,3.75,3.85,36.962887,3.66,5.00%,0.5281,13.86
2025-04-20T00:20:00Z,2025-04-20T03:56:00Z,Long,3.88,3.91,133.413023,3.46,5.00%,0.1336,51.79
2025-04-20T10:58:00Z,2025-04-21T16:47:00Z,Short,3.86,3.85,348.749961,6.35,6.00%,0.0785,134.73
2025-04-21T16:55:00Z,2025-04-21T19:20:00Z,Long,3.81,3.84,144.310073,4.28,6.00%,0.1297,54.99
2025-04-22T00:39:00Z,2025-04-22T02:31:00Z,Short,3.77,3.76,330.142382,5.55,5.00%,0.0890,124.60
2025-04-22T02:43:00Z,2025-04-22T07:32:00Z,Long,3.73,3.76,158.023890,5.16,7.00%,0.1251,58.87
2025-04-22T07:34:00Z,2025-04-22T15:01:00Z,Long,3.75,3.89,40.329542,5.54,7.00%,0.5233,15.13
2025-04-22T15:09:00Z,2025-04-22T16:21:00Z,Long,3.87,3.89,373.776096,5.77,5.00%,0.0798,144.71
2025-04-22T17:12:00Z,2025-04-22T18:13:00Z,Short,3.89,3.87,150.376843,3.32,4.00%,0.1420,58.45
2025-04-22T18:13:00Z,2025-04-22T21:49:00Z,Long,3.88,3.97,37.822880,3.54,4.00%,0.6035,14.66
2025-04-22T23:36:00Z,2025-04-23T01:55:00Z,Short,4.03,4.01,153.516503,3.42,4.00%,0.1380,61.88
2025-04-23T02:13:00Z,2025-04-23T08:15:00Z,Long,4.02,4.12,38.612695,3.65,4.00%,0.5876,15.53
2025-04-23T11:32:00Z,2025-04-23T13:08:00Z,Long,4.12,4.14,172.711040,4.26,5.00%,0.1198,71.09
2025-04-23T13:44:00Z,2025-04-24T03:35:00Z,Short,4.13,4.01,40.892038,4.61,5.00%,0.5469,16.87
2025-04-24T06:40:00Z,2025-04-24T09:58:00Z,Long,3.96,3.99,403.772540,9.99,8.00%,0.0781,159.91
