lookback_period,initial_level,limit1_level,limit2_level,sl_level,tp_level,threshold_factor,actual_threshold,Total Trades,Win Rate,Profit Factor,Total Profit,Max Drawdown,Sharpe Ratio,Sortino Ratio
2,0.618,0.618,1.000,0.500,1.000,0.75,0.08,105,0.5143,3.2076,142.36,0.0564,6.3318,-2.4458
3,0.618,0.618,1.000,0.500,1.000,0.75,0.09,78,0.5769,4.0026,139.25,0.0434,7.7953,-3.4905
2,0.500,0.618,1.000,0.500,1.000,0.75,0.08,105,0.5143,2.8998,122.92,0.0586,6.1813,-2.5670
3,0.500,0.618,1.000,0.500,1.000,0.75,0.09,78,0.5769,3.3831,104.64,0.0451,7.1806,-3.8582
2,0.618,0.786,1.000,0.500,1.000,0.75,0.08,105,0.5143,2.8880,96.62,0.0485,5.5823,-3.4901
2,0.618,0.618,1.272,0.500,1.000,0.75,0.08,105,0.5143,3.2757,95.06,0.0395,6.9245,-3.8704
8,0.618,0.786,1.000,0.618,1.618,0.75,0.12,38,0.5789,3.7483,92.95,0.2087,6.4955,-2.2827
2,0.618,0.618,1.000,0.500,1.414,0.75,0.08,69,0.5797,3.1023,92.19,0.0635,6.8541,-2.4495
8,0.618,0.786,1.000,0.618,1.618,1.00,0.17,37,0.5676,3.7340,91.86,0.2087,6.5494,-2.2780
8,0.618,0.786,1.000,0.618,1.414,1.25,0.21,38,0.5263,3.7799,91.27,0.2127,6.4838,-2.3062
8,0.618,0.786,1.000,0.618,1.618,1.25,0.21,36,0.5556,3.7199,91.00,0.2088,6.6147,-2.2780
2,0.382,0.618,1.000,0.500,1.000,0.75,0.08,105,0.5143,2.4471,89.93,0.0607,5.5518,-3.1550
8,0.618,0.786,1.000,0.618,1.414,0.75,0.12,42,0.5238,3.5493,89.26,0.2125,6.0311,-2.3041
8,0.618,0.786,1.000,0.618,1.414,1.00,0.17,41,0.5122,3.5344,88.19,0.2126,6.0694,-2.3021
5,0.618,0.618,1.000,0.500,1.618,0.75,0.21,26,0.8462,9.1420,86.67,0.0331,11.4064,-4.1153
5,0.618,0.618,1.000,0.500,1.414,0.75,0.21,27,0.8148,8.5935,81.00,0.0300,10.6915,-3.4265
2,0.618,0.618,1.000,0.500,1.618,0.75,0.08,63,0.5873,2.8634,80.65,0.0815,6.4270,-2.3872
2,0.500,0.618,1.000,0.500,1.414,0.75,0.08,69,0.5797,2.7931,77.52,0.0648,6.5091,-2.7434
3,0.382,0.618,1.000,0.500,1.000,0.75,0.09,78,0.5769,2.8392,76.65,0.0468,6.4216,-4.2354
2,0.618,0.618,1.414,0.500,1.000,0.75,0.08,105,0.5143,3.1972,75.32,0.0343,6.9147,-4.4853
