Entry Time,Exit Time,Type,Entry Price,Exit Price,Size,P&L,Risk %,Profit Factor,Margin Used
2025-04-03T10:46:00Z,2025-04-03T10:57:00Z,Long,15.00,14.86,-15.988455,2.35,2.00%,-0.0098,0.89
2025-04-03T10:59:00Z,2025-04-03T11:03:00Z,Long,15.00,14.86,-16.342841,2.40,2.00%,-0.0098,0.89
2025-04-03T11:08:00Z,2025-04-03T11:21:00Z,Long,15.00,14.86,-16.705082,2.45,2.00%,-0.0098,0.89
2025-04-03T11:23:00Z,2025-04-03T12:27:00Z,Long,14.87,14.76,-18.491163,2.28,2.00%,-0.0083,0.96
2025-04-03T12:31:00Z,2025-04-03T12:44:00Z,Long,14.79,14.62,-36.484259,6.33,2.00%,-0.0117,0.81
2025-04-03T12:45:00Z,2025-04-03T12:47:00Z,Short,14.73,14.61,-2.657909,-0.30,1.00%,0.0000,0.51
2025-04-03T12:48:00Z,2025-04-03T13:33:00Z,Short,14.56,14.66,-23.836086,2.51,1.00%,-0.0072,0.51
2025-04-03T13:35:00Z,2025-04-03T21:58:00Z,Long,14.68,15.01,-3.376837,-1.11,2.00%,0.0000,0.62
2025-04-03T22:01:00Z,2025-04-04T05:07:00Z,Long,14.99,14.80,-4.002414,0.79,2.00%,-0.0132,0.77
2025-04-04T05:31:00Z,2025-04-04T08:02:00Z,Long,14.92,15.21,-3.638581,-1.03,2.00%,0.0000,0.69
2025-04-04T08:14:00Z,2025-04-04T08:39:00Z,Long,15.21,15.33,-2.630334,-0.30,1.00%,0.0000,0.52
2025-04-04T10:15:00Z,2025-04-04T10:22:00Z,Long,15.21,14.96,-3.473778,0.87,2.00%,-0.0165,0.67
2025-04-04T10:25:00Z,2025-04-04T11:27:00Z,Short,14.99,14.65,-3.236907,-1.08,2.00%,0.0000,0.64
2025-04-04T11:33:00Z,2025-04-04T12:30:00Z,Long,14.64,14.85,-4.315882,-0.86,2.00%,0.0000,0.81
2025-04-04T12:31:00Z,2025-04-04T13:03:00Z,Long,14.80,14.96,-4.744611,-0.74,2.00%,0.0000,0.91
2025-04-04T13:08:00Z,2025-04-04T15:15:00Z,Long,14.97,15.23,-3.649679,-0.97,2.00%,0.0000,0.71
2025-04-04T15:17:00Z,2025-04-04T15:35:00Z,Long,15.09,14.98,-19.356893,2.37,2.00%,-0.0081,0.97
2025-04-04T15:39:00Z,2025-04-04T17:49:00Z,Long,15.06,15.32,-3.771705,-0.96,2.00%,0.0000,0.73
2025-04-04T17:50:00Z,2025-04-04T18:57:00Z,Long,15.24,15.14,-10.371541,1.07,1.00%,-0.0068,0.52
2025-04-04T19:03:00Z,2025-04-05T10:04:00Z,Long,15.16,15.33,-4.599450,-0.76,2.00%,0.0000,0.90
2025-04-05T12:50:00Z,2025-04-05T13:20:00Z,Long,15.13,15.02,-10.202847,1.12,1.00%,-0.0073,0.50
2025-04-05T13:24:00Z,2025-04-05T15:42:00Z,Short,14.99,14.88,-2.667852,-0.29,1.00%,0.0000,0.53
2025-04-05T15:47:00Z,2025-04-05T23:54:00Z,Long,14.88,15.00,-2.656146,-0.30,1.00%,0.0000,0.51
2025-04-06T05:55:00Z,2025-04-06T07:33:00Z,Long,15.03,14.94,-2.610614,0.28,1.00%,-0.0070,0.51
2025-04-06T08:17:00Z,2025-04-06T10:24:00Z,Long,14.93,14.83,-2.608464,0.28,1.00%,-0.0072,0.51
2025-04-06T12:41:00Z,2025-04-06T12:53:00Z,Long,14.86,14.75,-20.419961,2.36,2.00%,-0.0078,0.98
2025-04-06T13:50:00Z,2025-04-06T13:54:00Z,Long,14.64,14.52,-5.094982,0.63,2.00%,-0.0085,0.95
2025-04-06T13:57:00Z,2025-04-06T14:44:00Z,Short,14.55,14.67,-5.082707,0.63,2.00%,-0.0085,0.95
2025-04-06T14:45:00Z,2025-04-06T14:47:00Z,Long,14.59,14.72,-5.377800,-0.68,2.00%,0.0000,0.99
2025-04-06T14:49:00Z,2025-04-06T14:51:00Z,Short,14.57,14.67,-47.675277,5.34,2.00%,-0.0077,0.99
2025-04-06T14:53:00Z,2025-04-06T16:34:00Z,Long,14.67,14.42,-3.738806,0.94,2.00%,-0.0172,0.66
2025-04-06T16:35:00Z,2025-04-06T16:42:00Z,Long,14.48,14.39,-11.834019,1.17,1.00%,-0.0068,0.52
2025-04-06T17:04:00Z,2025-04-06T17:27:00Z,Short,14.27,14.04,-4.435049,-0.99,2.00%,0.0000,0.77
2025-04-06T17:33:00Z,2025-04-06T18:04:00Z,Short,14.01,13.77,-4.316220,-1.01,2.00%,0.0000,0.75
2025-04-06T18:15:00Z,2025-04-06T18:18:00Z,Long,13.78,13.69,-12.082882,1.20,1.00%,-0.0072,0.51
2025-04-06T18:20:00Z,2025-04-06T18:21:00Z,Long,13.78,13.69,-27.432544,2.72,1.00%,-0.0072,0.51
2025-04-06T18:23:00Z,2025-04-06T18:24:00Z,Long,13.78,13.69,-27.991189,2.78,1.00%,-0.0072,0.51
2025-04-06T18:25:00Z,2025-04-06T20:33:00Z,Long,13.69,13.32,-12.373769,4.68,2.00%,-0.0277,0.48
2025-04-06T20:34:00Z,2025-04-06T20:36:00Z,Long,13.39,13.27,-54.001888,6.98,2.00%,-0.0096,0.90
2025-04-06T20:38:00Z,2025-04-06T20:39:00Z,Short,13.37,13.22,-6.229730,-0.92,2.00%,0.0000,0.90
2025-04-06T20:40:00Z,2025-04-07T03:44:00Z,Short,13.20,12.68,-3.021113,-1.57,2.00%,0.0000,0.45
2025-04-07T03:45:00Z,2025-04-07T03:46:00Z,Long,12.85,12.75,-62.419694,6.51,2.00%,-0.0081,0.97
2025-04-07T03:47:00Z,2025-04-07T04:20:00Z,Short,12.73,13.00,-4.308040,1.18,2.00%,-0.0215,0.59
2025-04-07T04:24:00Z,2025-04-07T06:18:00Z,Long,12.99,12.76,-19.412472,4.52,2.00%,-0.0179,0.64
2025-04-07T06:19:00Z,2025-04-07T06:20:00Z,Long,12.90,12.75,-54.566029,9.05,2.00%,-0.0128,0.78
2025-04-07T06:21:00Z,2025-04-07T06:26:00Z,Long,12.84,12.48,-3.956899,1.45,2.00%,-0.0285,0.47
2025-04-07T06:29:00Z,2025-04-07T06:44:00Z,Long,12.56,12.26,-18.118237,5.57,2.00%,-0.0245,0.52
2025-04-07T06:45:00Z,2025-04-07T06:46:00Z,Short,12.31,12.19,-8.360872,-1.01,2.00%,0.0000,0.95
2025-04-07T06:47:00Z,2025-04-07T06:50:00Z,Short,12.31,12.19,-8.308563,-1.00,2.00%,0.0000,0.95
2025-04-07T06:52:00Z,2025-04-07T07:19:00Z,Short,12.08,12.35,-19.577056,5.49,2.00%,-0.0232,0.56
2025-04-07T07:20:00Z,2025-04-07T08:24:00Z,Long,12.22,12.49,-5.794605,-1.60,2.00%,0.0000,0.62
2025-04-07T08:26:00Z,2025-04-07T13:51:00Z,Long,12.38,12.88,-3.888976,-1.93,2.00%,0.0000,0.42
2025-04-07T13:52:00Z,2025-04-07T13:53:00Z,Long,12.44,12.58,-7.936629,-1.10,2.00%,0.0000,0.89
2025-04-07T13:54:00Z,2025-04-09T01:27:00Z,Long,12.80,12.04,-2.329555,1.77,2.00%,-0.0594,0.26
2025-04-09T01:29:00Z,2025-04-09T01:36:00Z,Long,12.08,12.21,-8.533249,-1.04,2.00%,0.0000,0.93
2025-04-09T01:37:00Z,2025-04-09T01:38:00Z,Short,12.06,12.16,-75.533740,8.10,2.00%,-0.0089,0.94
2025-04-09T01:39:00Z,2025-04-09T01:40:00Z,Short,12.06,12.16,-79.040276,8.48,2.00%,-0.0089,0.94
2025-04-09T01:41:00Z,2025-04-09T06:01:00Z,Long,12.25,12.75,-4.210149,-2.08,2.00%,0.0000,0.42
