lookback_period,initial_level,limit1_level,limit2_level,sl_level,tp_level,threshold_factor,actual_threshold,Total Trades,Win Rate,Profit Factor,Total Profit,Max Drawdown,Sharpe Ratio,Sortino Ratio
2,0.618,0.000,0.618,3.236,1.618,1.00,13.96,4,0.5000,3.3162,0.02,0.0001,0.0000,0.0000
2,0.618,0.000,1.618,3.236,1.618,1.00,13.96,4,0.5000,3.3162,0.02,0.0001,0.0000,0.0000
2,0.618,0.000,2.618,3.236,1.618,1.00,13.96,4,0.5000,3.3162,0.02,0.0001,0.0000,0.0000
2,0.618,0.618,0.618,3.236,1.618,1.00,13.96,4,0.5000,3.3162,0.02,0.0001,0.0000,0.0000
2,0.618,0.618,1.618,3.236,1.618,1.00,13.96,4,0.5000,3.3162,0.02,0.0001,0.0000,0.0000
2,0.618,0.618,2.618,3.236,1.618,1.00,13.96,4,0.5000,3.3162,0.02,0.0001,0.0000,0.0000
2,0.618,1.618,0.618,3.236,1.618,1.00,13.96,4,0.5000,3.3162,0.02,0.0001,0.0000,0.0000
2,0.618,1.618,1.618,3.236,1.618,1.00,13.96,4,0.5000,3.3162,0.02,0.0001,0.0000,0.0000
2,0.618,1.618,2.618,3.236,1.618,1.00,13.96,4,0.5000,3.3162,0.02,0.0001,0.0000,0.0000
2,0.618,0.000,0.618,3.236,1.618,0.75,10.47,4,0.5000,3.1802,0.02,0.0001,0.0000,0.0000
2,0.618,0.000,1.618,3.236,1.618,0.75,10.47,4,0.5000,3.1802,0.02,0.0001,0.0000,0.0000
2,0.618,0.000,2.618,3.236,1.618,0.75,10.47,4,0.5000,3.1802,0.02,0.0001,0.0000,0.0000
2,0.618,0.618,0.618,3.236,1.618,0.75,10.47,4,0.5000,3.1802,0.02,0.0001,0.0000,0.0000
2,0.618,0.618,1.618,3.236,1.618,0.75,10.47,4,0.5000,3.1802,0.02,0.0001,0.0000,0.0000
2,0.618,0.618,2.618,3.236,1.618,0.75,10.47,4,0.5000,3.1802,0.02,0.0001,0.0000,0.0000
2,0.618,1.618,0.618,3.236,1.618,0.75,10.47,4,0.5000,3.1802,0.02,0.0001,0.0000,0.0000
2,0.618,1.618,1.618,3.236,1.618,0.75,10.47,4,0.5000,3.1802,0.02,0.0001,0.0000,0.0000
2,0.618,1.618,2.618,3.236,1.618,0.75,10.47,4,0.5000,3.1802,0.02,0.0001,0.0000,0.0000
13,0.500,0.000,0.618,2.618,1.414,1.25,22.51,3,0.6667,5.1082,0.02,0.0001,0.0000,0.0000
13,0.500,0.000,1.618,2.618,1.414,1.25,22.51,3,0.6667,5.1082,0.02,0.0001,0.0000,0.0000
