lookback_period,initial_level,limit1_level,limit2_level,sl_level,tp_level,threshold_factor,actual_threshold,Total Trades,Win Rate,Profit Factor,Total Profit,Max Drawdown,Sharpe Ratio,Sortino Ratio
2,0.618,0.786,1.000,0.618,1.414,0.75,0.01,24,0.5833,5.0470,118.94,0.0861,8.8093,-3.5697
3,0.618,0.786,1.000,0.618,1.414,0.75,0.01,23,0.6087,4.9438,100.79,0.0711,8.8840,-2.7913
2,0.500,0.786,1.000,0.618,1.414,0.75,0.01,24,0.5833,4.2986,90.23,0.0855,8.3428,-4.2345
3,0.618,0.786,1.000,0.618,1.414,1.00,0.01,21,0.6667,5.1417,88.19,0.0688,9.0540,-3.9404
3,0.618,0.786,1.000,0.618,1.414,1.25,0.01,20,0.6500,5.0723,85.86,0.0689,9.1582,-3.9978
2,0.618,0.786,1.000,0.618,1.618,0.75,0.01,22,0.5455,3.5803,84.35,0.0955,7.6620,-4.5733
3,0.500,0.786,1.000,0.618,1.414,0.75,0.01,23,0.6087,4.2204,76.86,0.0715,8.3752,-3.2277
13,0.618,0.786,1.000,0.618,1.618,0.75,0.01,15,0.8667,8.1610,74.36,0.0562,13.6413,-37.3452
13,0.618,0.618,1.000,0.500,1.618,0.75,0.01,19,0.8947,10.9679,71.70,0.0402,16.2565,-52.4992
3,0.500,0.786,1.000,0.618,1.414,1.00,0.01,21,0.6667,4.4221,68.09,0.0681,8.5754,-4.6087
2,0.382,0.786,1.000,0.618,1.414,0.75,0.01,24,0.5833,3.6351,67.70,0.0849,7.7350,-5.0521
13,0.618,0.786,1.000,0.618,1.414,0.75,0.01,17,0.7647,4.6842,66.65,0.0979,10.1878,-26.2330
3,0.500,0.786,1.000,0.618,1.414,1.25,0.01,20,0.6500,4.3601,66.30,0.0681,8.6553,-4.6792
13,0.618,0.618,1.000,0.500,1.414,0.75,0.01,21,0.8095,6.2414,66.25,0.0707,12.5646,-36.9147
2,0.618,0.786,1.000,0.618,1.414,1.00,0.01,21,0.5714,3.8435,65.54,0.0864,7.8017,-5.4588
2,0.500,0.786,1.000,0.618,1.618,0.75,0.01,22,0.5455,3.1165,64.04,0.0941,7.0547,-5.2859
3,0.618,0.618,1.000,0.500,1.618,0.75,0.01,22,0.6818,5.6287,62.63,0.0680,10.5524,-5.0917
13,0.500,0.786,1.000,0.618,1.618,0.75,0.01,15,0.8667,7.4095,59.30,0.0549,13.1983,-39.2680
3,0.382,0.786,1.000,0.618,1.414,0.75,0.01,23,0.6087,3.5728,57.90,0.0718,7.7281,-3.7500
13,0.500,0.618,1.000,0.500,1.618,0.75,0.01,19,0.8947,9.7502,57.74,0.0402,15.7496,-53.9506
