Entry Time,Exit Time,Type,Entry Price,Exit Price,Size,P&L,Risk %,Profit Factor,Margin Used
2025-01-08T16:56:00Z,2025-01-08T17:21:00Z,Long,0.66,0.64,-79.203884,1.51,2.00%,-0.0290,0.38
2025-01-08T17:22:00Z,2025-01-08T21:37:00Z,Long,0.65,0.67,-90.580759,-2.08,2.00%,0.0000,0.42
2025-01-08T21:39:00Z,2025-01-08T22:40:00Z,Long,0.67,0.69,-96.721016,-1.90,2.00%,0.0000,0.48
2025-01-08T22:42:00Z,2025-01-09T04:28:00Z,Long,0.69,0.67,-70.581081,1.50,2.00%,-0.0310,0.36
2025-01-09T04:30:00Z,2025-01-09T07:00:00Z,Long,0.67,0.66,-1040.522107,10.73,2.00%,-0.0154,0.58
2025-01-09T07:02:00Z,2025-01-09T08:00:00Z,Long,0.66,0.65,-930.433644,13.70,2.00%,-0.0223,0.46
2025-01-09T08:04:00Z,2025-01-09T13:41:00Z,Long,0.65,0.63,-104.341181,1.82,2.00%,-0.0269,0.40
2025-01-09T13:43:00Z,2025-01-10T07:16:00Z,Long,0.64,0.68,-81.076406,-2.91,2.00%,0.0000,0.30
2025-01-10T07:19:00Z,2025-01-10T10:28:00Z,Long,0.69,0.73,-64.682900,-2.95,2.00%,0.0000,0.26
2025-01-10T10:29:00Z,2025-01-10T10:48:00Z,Long,0.72,0.76,-67.698074,-2.79,2.00%,0.0000,0.29
2025-01-10T10:49:00Z,2025-01-10T10:50:00Z,Long,0.74,0.76,-108.027178,-2.14,2.00%,0.0000,0.50
2025-01-10T10:51:00Z,2025-01-10T10:52:00Z,Short,0.73,0.75,-939.757239,13.30,2.00%,-0.0193,0.52
2025-01-10T10:53:00Z,2025-01-10T12:24:00Z,Long,0.75,0.70,-43.988337,2.30,2.00%,-0.0694,0.18
2025-01-10T12:25:00Z,2025-01-10T12:46:00Z,Long,0.71,0.70,-128.680613,1.67,2.00%,-0.0183,0.52
2025-01-10T13:09:00Z,2025-01-10T13:17:00Z,Long,0.70,0.68,-1292.117186,14.40,2.00%,-0.0160,0.56
2025-01-10T13:18:00Z,2025-01-10T13:36:00Z,Short,0.69,0.67,-162.107840,-2.37,2.00%,0.0000,0.59
2025-01-10T13:37:00Z,2025-01-10T13:38:00Z,Long,0.68,0.67,-1063.310973,18.61,2.00%,-0.0256,0.42
2025-01-10T13:39:00Z,2025-01-10T13:40:00Z,Long,0.68,0.67,-1199.757719,21.00,2.00%,-0.0256,0.42
2025-01-10T13:41:00Z,2025-01-10T15:11:00Z,Long,0.68,0.67,-601.650514,10.53,2.00%,-0.0256,0.42
2025-01-10T15:13:00Z,2025-01-10T19:58:00Z,Long,0.67,0.70,-134.817787,-4.26,2.00%,0.0000,0.34
2025-01-10T20:02:00Z,2025-01-11T01:15:00Z,Long,0.71,0.74,-141.383766,-3.96,2.00%,0.0000,0.39
2025-01-11T01:16:00Z,2025-01-11T03:58:00Z,Long,0.72,0.70,-1032.233180,26.22,2.00%,-0.0352,0.33
2025-01-11T04:00:00Z,2025-01-11T04:10:00Z,Long,0.69,0.71,-192.859932,-4.03,2.00%,0.0000,0.47
2025-01-11T04:11:00Z,2025-01-11T04:12:00Z,Short,0.69,0.71,-744.580885,11.06,2.00%,-0.0215,0.48
