lookback_period,initial_level,limit1_level,limit2_level,sl_level,tp_level,threshold_factor,actual_threshold,Total Trades,Win Rate,Profit Factor,Total Profit,Max Drawdown,Sharpe Ratio,Sortino Ratio
13,0.500,0.000,0.618,2.618,0.618,1.25,0.30,7,0.0000,0.0000,-0.02,0.0002,0.0000,0.0000
13,0.500,0.000,1.618,2.618,0.618,1.25,0.30,7,0.0000,0.0000,-0.02,0.0002,0.0000,0.0000
13,0.500,0.000,2.618,2.618,0.618,1.25,0.30,7,0.0000,0.0000,-0.02,0.0002,0.0000,0.0000
13,0.500,0.618,0.618,2.618,0.618,1.25,0.30,7,0.0000,0.0000,-0.02,0.0002,0.0000,0.0000
13,0.500,0.618,1.618,2.618,0.618,1.25,0.30,7,0.0000,0.0000,-0.02,0.0002,0.0000,0.0000
13,0.500,0.618,2.618,2.618,0.618,1.25,0.30,7,0.0000,0.0000,-0.02,0.0002,0.0000,0.0000
13,0.500,1.618,0.618,2.618,0.618,1.25,0.30,7,0.0000,0.0000,-0.02,0.0002,0.0000,0.0000
13,0.500,1.618,1.618,2.618,0.618,1.25,0.30,7,0.0000,0.0000,-0.02,0.0002,0.0000,0.0000
13,0.500,1.618,2.618,2.618,0.618,1.25,0.30,7,0.0000,0.0000,-0.02,0.0002,0.0000,0.0000
13,0.500,0.000,0.618,3.236,0.618,1.25,0.30,7,0.0000,0.0000,-0.02,0.0002,0.0000,0.0000
13,0.500,0.000,1.618,3.236,0.618,1.25,0.30,7,0.0000,0.0000,-0.02,0.0002,0.0000,0.0000
13,0.500,0.000,2.618,3.236,0.618,1.25,0.30,7,0.0000,0.0000,-0.02,0.0002,0.0000,0.0000
13,0.500,0.618,0.618,3.236,0.618,1.25,0.30,7,0.0000,0.0000,-0.02,0.0002,0.0000,0.0000
13,0.500,0.618,1.618,3.236,0.618,1.25,0.30,7,0.0000,0.0000,-0.02,0.0002,0.0000,0.0000
13,0.500,0.618,2.618,3.236,0.618,1.25,0.30,7,0.0000,0.0000,-0.02,0.0002,0.0000,0.0000
13,0.500,1.618,0.618,3.236,0.618,1.25,0.30,7,0.0000,0.0000,-0.02,0.0002,0.0000,0.0000
13,0.500,1.618,1.618,3.236,0.618,1.25,0.30,7,0.0000,0.0000,-0.02,0.0002,0.0000,0.0000
13,0.500,1.618,2.618,3.236,0.618,1.25,0.30,7,0.0000,0.0000,-0.02,0.0002,0.0000,0.0000
13,0.500,0.000,0.618,2.618,1.000,1.25,0.30,4,0.0000,0.0000,-0.03,0.0003,0.0000,0.0000
13,0.500,0.000,1.618,2.618,1.000,1.25,0.30,4,0.0000,0.0000,-0.03,0.0003,0.0000,0.0000
