Entry Time,Exit Time,Type,Entry Price,Exit Price,Size,P&L,Risk %,Profit Factor,Margin Used
2025-04-06T18:50:00Z,2025-04-06T20:36:00Z,Short,7.29,7.19,22.619338,2.20,10.00%,0.1335,16.48
2025-04-06T20:39:00Z,2025-04-06T22:11:00Z,Long,7.09,7.19,22.929025,2.17,10.00%,0.1333,16.26
2025-04-06T23:52:00Z,2025-04-07T01:00:00Z,Long,6.97,7.05,25.669929,2.22,10.00%,0.1241,17.88
2025-04-07T01:49:00Z,2025-04-07T13:51:00Z,Long,7.04,7.08,80.403625,3.36,10.00%,0.0595,56.57
2025-04-07T13:51:00Z,2025-04-07T14:29:00Z,Short,7.21,7.16,77.241819,3.63,10.00%,0.0653,55.67
2025-04-07T14:30:00Z,2025-04-07T14:34:00Z,Short,7.26,7.23,85.466383,2.63,7.00%,0.0605,62.07
2025-04-07T14:35:00Z,2025-04-07T15:05:00Z,Short,7.22,7.17,38.864105,1.81,7.00%,0.0923,28.05
2025-04-07T15:19:00Z,2025-04-07T16:10:00Z,Short,7.19,7.12,37.214601,2.61,10.00%,0.0973,26.77
2025-04-07T16:20:00Z,2025-04-07T18:05:00Z,Short,7.23,7.19,93.075095,3.59,9.00%,0.0592,67.27
2025-04-07T18:28:00Z,2025-04-07T22:12:00Z,Long,7.14,7.37,11.288953,2.55,9.00%,0.3516,8.06
2025-04-08T01:43:00Z,2025-04-08T11:46:00Z,Long,7.32,7.35,94.356942,2.83,7.00%,0.0586,69.03
2025-04-08T11:58:00Z,2025-04-08T16:47:00Z,Short,7.39,7.12,10.935753,2.94,10.00%,0.3642,8.08
2025-04-08T18:08:00Z,2025-04-08T20:15:00Z,Long,7.02,7.05,111.535692,3.38,8.00%,0.0540,78.25
2025-04-09T00:45:00Z,2025-04-09T01:38:00Z,Long,6.86,6.90,111.814409,4.30,10.00%,0.0560,76.71
2025-04-09T01:45:00Z,2025-04-09T08:25:00Z,Long,6.98,7.26,10.996857,3.14,10.00%,0.4099,7.67
2025-04-09T13:37:00Z,2025-04-09T17:21:00Z,Long,7.18,7.40,12.969001,2.94,9.00%,0.3515,9.31
2025-04-09T17:40:00Z,2025-04-09T17:59:00Z,Long,7.78,8.00,12.213050,2.70,8.00%,0.3544,9.51
2025-04-09T18:05:00Z,2025-04-10T02:41:00Z,Long,7.91,7.97,50.444550,2.91,9.00%,0.0809,39.90
2025-04-10T07:00:00Z,2025-04-10T12:29:00Z,Long,7.86,7.96,31.184217,3.22,10.00%,0.1316,24.50
2025-04-10T12:30:00Z,2025-04-10T21:41:00Z,Long,7.76,7.83,71.653877,4.84,10.00%,0.0870,55.59
2025-04-11T03:26:00Z,2025-04-11T06:46:00Z,Long,7.98,8.18,13.093192,2.61,7.00%,0.3568,10.45
2025-04-11T14:00:00Z,2025-04-11T16:37:00Z,Long,8.14,8.19,52.688553,2.49,7.00%,0.0830,42.89
2025-04-11T18:34:00Z,2025-04-13T03:34:00Z,Long,8.22,8.28,53.152441,3.22,9.00%,0.0818,43.69
2025-04-13T04:15:00Z,2025-04-13T07:07:00Z,Long,8.25,8.28,106.619429,3.24,6.00%,0.0613,87.95
2025-04-13T14:10:00Z,2025-04-13T19:31:00Z,Short,8.26,8.22,114.699545,3.97,7.00%,0.0599,94.70
2025-04-13T19:50:00Z,2025-04-14T00:20:00Z,Long,8.00,8.12,31.880395,3.71,10.00%,0.1456,25.51
2025-04-14T00:51:00Z,2025-04-15T03:33:00Z,Long,8.01,8.09,47.154948,3.84,10.00%,0.1016,37.75
2025-04-16T05:38:00Z,2025-04-16T08:33:00Z,Long,7.68,7.71,131.127860,4.09,7.00%,0.0580,100.72
2025-04-16T18:17:00Z,2025-04-16T20:19:00Z,Long,7.60,7.81,16.555007,3.46,8.00%,0.3433,12.59
2025-04-17T14:43:00Z,2025-04-17T16:20:00Z,Long,7.54,7.73,16.310882,3.11,7.00%,0.3606,12.30
2025-04-19T08:00:00Z,2025-04-19T09:16:00Z,Long,8.20,8.23,136.525170,4.34,7.00%,0.0553,111.95
2025-04-20T04:28:00Z,2025-04-20T10:23:00Z,Long,8.39,8.42,140.108235,5.05,8.00%,0.0537,117.53
2025-04-20T11:14:00Z,2025-04-20T22:08:00Z,Short,8.50,8.45,133.823196,6.71,10.00%,0.0590,113.75
2025-04-21T00:36:00Z,2025-04-21T08:04:00Z,Long,8.67,9.02,13.278636,4.71,10.00%,0.4088,11.51
2025-04-21T08:27:00Z,2025-04-21T13:23:00Z,Long,8.91,8.94,129.926666,4.79,7.00%,0.0592,115.72
2025-04-21T14:04:00Z,2025-04-22T14:44:00Z,Long,8.82,8.86,145.112305,4.91,7.00%,0.0548,128.06
2025-04-22T16:03:00Z,2025-04-22T16:12:00Z,Short,8.92,8.88,56.540805,2.52,5.00%,0.1001,50.43
2025-04-22T16:19:00Z,2025-04-22T21:22:00Z,Long,8.91,9.11,16.017725,3.21,6.00%,0.3745,14.27
2025-04-22T21:56:00Z,2025-04-24T14:06:00Z,Long,9.21,9.73,9.737997,5.07,10.00%,0.5656,8.97
2025-04-24T14:24:00Z,2025-04-24T15:06:00Z,Long,9.74,10.01,15.570944,4.33,8.00%,0.3567,15.16
2025-04-24T15:25:00Z,2025-04-24T17:59:00Z,Long,9.98,10.02,127.631013,5.34,7.00%,0.0599,127.39
2025-04-24T18:06:00Z,2025-04-24T20:05:00Z,Long,10.04,10.11,57.991697,3.73,7.00%,0.0915,58.25
2025-04-25T01:23:00Z,2025-04-25T06:23:00Z,Long,10.05,10.13,62.448143,5.35,10.00%,0.0853,62.75
2025-04-25T06:24:00Z,2025-04-25T22:32:00Z,Long,10.05,10.13,63.793090,5.47,10.00%,0.0853,64.10
2025-04-25T22:38:00Z,2025-04-26T00:07:00Z,Long,10.04,10.08,151.102145,5.81,7.00%,0.0547,151.76
2025-04-26T01:46:00Z,2025-04-26T06:12:00Z,Long,10.20,10.27,64.760200,4.60,8.00%,0.0871,66.08
2025-04-26T07:24:00Z,2025-04-26T08:24:00Z,Long,10.36,10.41,68.425001,3.00,5.00%,0.0847,70.91
2025-04-26T10:05:00Z,2025-04-26T11:02:00Z,Short,10.28,10.24,62.319481,3.07,5.00%,0.0959,64.09
2025-04-26T11:34:00Z,2025-04-26T14:40:00Z,Long,10.16,10.22,70.815115,4.22,7.00%,0.0838,71.96
2025-04-26T16:51:00Z,2025-04-26T20:07:00Z,Long,10.15,10.34,17.696944,3.37,5.00%,0.3756,17.96
