lookback_period,initial_level,limit1_level,limit2_level,sl_level,tp_level,threshold_factor,actual_threshold,Total Trades,Win Rate,Profit Factor,Total Profit,Max Drawdown,Sharpe Ratio,Sortino Ratio
5,0.382,0.618,1.000,0.500,1.000,0.75,0.01,7674,0.4980,1.0562,16.30,0.0000,0.0000,0.0000
5,0.382,0.786,1.000,0.618,1.000,0.75,0.01,7674,0.4980,1.0562,14.61,0.0000,0.0000,0.0000
5,0.382,0.786,1.000,0.500,1.000,0.75,0.01,7674,0.4980,1.0562,14.34,0.0000,0.0000,0.0000
5,0.382,0.618,1.000,0.500,1.414,0.75,0.01,7674,0.4980,1.0562,12.46,0.0000,0.0000,0.0000
5,0.382,0.618,1.272,0.500,1.000,0.75,0.01,7674,0.4980,1.0562,11.90,0.0000,0.0000,0.0000
5,0.382,0.786,1.000,0.618,1.414,0.75,0.01,7674,0.4980,1.0562,11.27,0.0000,0.0000,0.0000
5,0.382,0.618,1.000,0.500,1.618,0.75,0.01,7674,0.4980,1.0562,11.16,0.0000,0.0000,0.0000
5,0.500,0.618,1.000,0.500,1.000,0.75,0.01,7674,0.4974,1.0355,11.12,0.0000,0.0000,0.0000
5,0.382,0.786,1.000,0.500,1.414,0.75,0.01,7674,0.4980,1.0562,11.10,0.0000,0.0000,0.0000
5,0.382,0.786,1.272,0.618,1.000,0.75,0.01,7674,0.4980,1.0562,10.85,0.0000,0.0000,0.0000
5,0.382,0.786,1.272,0.500,1.000,0.75,0.01,7674,0.4980,1.0562,10.82,0.0000,0.0000,0.0000
5,0.382,0.618,1.414,0.500,1.000,0.75,0.01,7674,0.4980,1.0562,10.43,0.0000,0.0000,0.0000
5,0.382,0.786,1.000,0.618,1.618,0.75,0.01,7674,0.4980,1.0562,10.12,0.0000,0.0000,0.0000
5,0.382,0.786,1.000,0.500,1.618,0.75,0.01,7674,0.4980,1.0562,9.99,0.0000,0.0000,0.0000
5,0.500,0.786,1.000,0.618,1.000,0.75,0.01,7674,0.4974,1.0355,9.83,0.0000,0.0000,0.0000
5,0.500,0.786,1.000,0.500,1.000,0.75,0.01,7674,0.4974,1.0355,9.63,0.0000,0.0000,0.0000
5,0.382,0.786,1.414,0.500,1.000,0.75,0.01,7674,0.4980,1.0562,9.59,0.0000,0.0000,0.0000
5,0.382,0.786,1.414,0.618,1.000,0.75,0.01,7674,0.4980,1.0562,9.56,0.0000,0.0000,0.0000
5,0.382,0.618,1.272,0.500,1.414,0.75,0.01,7674,0.4980,1.0562,9.37,0.0000,0.0000,0.0000
5,0.382,0.786,1.272,0.618,1.414,0.75,0.01,7674,0.4980,1.0562,8.60,0.0000,0.0000,0.0000
