Entry Time,Exit Time,Type,Entry Price,Exit Price,Size,P&L,Risk %,Profit Factor,Margin Used
2025-05-02 17:37:50.416022400 UTC,2025-04-06T19:53:00Z,Short,0.71,0.71,-17.579807,0.07,2.00%,1.0000,-1.26
2025-05-02 17:37:50.416033700 UTC,2025-04-06T19:54:00Z,Short,0.71,0.71,-17.579807,0.01,2.00%,1.0000,-1.26
2025-05-02 17:37:50.416038400 UTC,2025-04-06T19:55:00Z,Short,0.71,0.72,-17.579807,-0.02,2.00%,1.0000,-1.26
2025-05-02 17:37:50.416042900 UTC,2025-04-06T19:56:00Z,Short,0.71,0.72,-17.579807,-0.03,2.00%,1.0000,-1.26
2025-05-02 17:37:50.416048800 UTC,2025-04-06T19:58:00Z,Short,0.71,0.72,-17.579807,-0.06,2.00%,1.0000,-1.26
2025-05-02 17:37:50.416056600 UTC,2025-04-06T19:59:00Z,Short,0.71,0.72,-17.579807,-0.04,2.00%,1.0000,-1.26
2025-05-02 17:37:50.416061300 UTC,2025-04-06T20:00:00Z,Short,0.71,0.72,-17.579807,-0.03,2.00%,1.0000,-1.26
2025-05-02 17:37:50.416066300 UTC,2025-04-06T20:01:00Z,Short,0.71,0.72,-17.579807,-0.06,2.00%,1.0000,-1.26
2025-05-02 17:37:50.416073400 UTC,2025-04-06T20:03:00Z,Short,0.71,0.72,-17.579807,-0.07,2.00%,1.0000,-1.26
2025-05-02 17:37:50.416141400 UTC,2025-04-06T20:04:00Z,Short,0.71,0.72,-17.579807,-0.06,2.00%,1.0000,-1.26
2025-05-02 17:37:50.416145600 UTC,2025-04-06T20:05:00Z,Short,0.71,0.72,-17.579807,-0.09,2.00%,1.0000,-1.26
2025-05-02 17:37:50.416150100 UTC,2025-04-06T20:07:00Z,Short,0.71,0.72,-17.579807,-0.06,2.00%,1.0000,-1.26
2025-05-02 17:37:50.416154500 UTC,2025-04-06T20:08:00Z,Short,0.71,0.72,-17.579807,-0.02,2.00%,1.0000,-1.26
2025-05-02 17:37:50.416159100 UTC,2025-04-06T20:09:00Z,Short,0.71,0.72,-17.579807,-0.02,2.00%,1.0000,-1.26
