lookback_period,initial_level,limit1_level,limit2_level,sl_level,tp_level,threshold_factor,actual_threshold,Total Trades,Win Rate,Profit Factor,Total Profit,Max Drawdown,Sharpe Ratio,Sortino Ratio
3,0.382,0.000,0.618,1.618,1.618,0.75,0.10,77,1.0000,inf,243.54,0.0000,0.0000,0.0000
3,0.382,0.000,1.618,1.618,1.618,0.75,0.10,77,1.0000,inf,243.54,0.0000,0.0000,0.0000
3,0.382,0.000,2.618,1.618,1.618,0.75,0.10,77,1.0000,inf,243.54,0.0000,0.0000,0.0000
3,0.382,0.618,0.618,1.618,1.618,0.75,0.10,77,1.0000,inf,243.54,0.0000,0.0000,0.0000
3,0.382,0.618,1.618,1.618,1.618,0.75,0.10,77,1.0000,inf,243.54,0.0000,0.0000,0.0000
3,0.382,0.618,2.618,1.618,1.618,0.75,0.10,77,1.0000,inf,243.54,0.0000,0.0000,0.0000
3,0.382,1.618,0.618,1.618,1.618,0.75,0.10,77,1.0000,inf,243.54,0.0000,0.0000,0.0000
3,0.382,1.618,1.618,1.618,1.618,0.75,0.10,77,1.0000,inf,243.54,0.0000,0.0000,0.0000
3,0.382,1.618,2.618,1.618,1.618,0.75,0.10,77,1.0000,inf,243.54,0.0000,0.0000,0.0000
3,0.500,0.000,0.618,1.618,1.000,0.75,0.10,112,1.0000,inf,234.47,0.0000,0.0000,0.0000
3,0.500,0.000,1.618,1.618,1.000,0.75,0.10,112,1.0000,inf,234.47,0.0000,0.0000,0.0000
3,0.500,0.000,2.618,1.618,1.000,0.75,0.10,112,1.0000,inf,234.47,0.0000,0.0000,0.0000
3,0.500,0.618,0.618,1.618,1.000,0.75,0.10,112,1.0000,inf,234.47,0.0000,0.0000,0.0000
3,0.500,0.618,1.618,1.618,1.000,0.75,0.10,112,1.0000,inf,234.47,0.0000,0.0000,0.0000
3,0.500,0.618,2.618,1.618,1.000,0.75,0.10,112,1.0000,inf,234.47,0.0000,0.0000,0.0000
3,0.500,1.618,0.618,1.618,1.000,0.75,0.10,112,1.0000,inf,234.47,0.0000,0.0000,0.0000
3,0.500,1.618,1.618,1.618,1.000,0.75,0.10,112,1.0000,inf,234.47,0.0000,0.0000,0.0000
3,0.500,1.618,2.618,1.618,1.000,0.75,0.10,112,1.0000,inf,234.47,0.0000,0.0000,0.0000
3,0.382,0.000,0.618,1.618,1.000,0.75,0.10,99,1.0000,inf,234.22,0.0000,0.0000,0.0000
3,0.382,0.000,1.618,1.618,1.000,0.75,0.10,99,1.0000,inf,234.22,0.0000,0.0000,0.0000
