Entry Time,Exit Time,Type,Entry Price,Exit Price,Size,P&L,Risk %,Profit Factor,Margin Used
2025-04-03T11:55:00Z,2025-04-03T12:29:00Z,Long,12.79,12.67,-27.606504,3.68,2.00%,-0.0104,0.65
2025-04-03T12:34:00Z,2025-04-03T12:43:00Z,Long,12.75,12.56,-21.439304,4.20,2.00%,-0.0154,0.49
2025-04-03T12:53:00Z,2025-04-03T21:58:00Z,Short,12.52,12.86,-3.412895,1.20,2.00%,-0.0281,0.31
2025-04-03T22:03:00Z,2025-04-04T01:58:00Z,Long,12.84,12.68,-25.695912,4.23,2.00%,-0.0128,0.56
2025-04-04T02:03:00Z,2025-04-04T07:46:00Z,Long,12.75,13.05,-6.351371,-1.90,2.00%,0.0000,0.53
2025-04-04T08:30:00Z,2025-04-04T10:11:00Z,Long,13.12,12.97,-26.302846,4.28,2.00%,-0.0124,0.58
2025-04-04T10:28:00Z,2025-04-04T11:06:00Z,Long,13.00,12.56,-2.953737,1.32,2.00%,-0.0345,0.24
2025-04-04T11:20:00Z,2025-04-04T11:28:00Z,Long,12.57,12.40,-26.812164,4.59,2.00%,-0.0136,0.54
2025-04-04T11:35:00Z,2025-04-04T12:30:00Z,Short,12.42,12.63,-5.744698,1.25,2.00%,-0.0175,0.45
2025-04-04T12:31:00Z,2025-04-04T13:03:00Z,Long,12.50,12.72,-8.735168,-1.86,2.00%,0.0000,0.66
2025-04-04T13:10:00Z,2025-04-06T13:24:00Z,Long,12.65,12.39,-4.706521,1.30,2.00%,-0.0218,0.36
2025-04-06T13:32:00Z,2025-04-06T13:38:00Z,Long,12.45,12.30,-7.743538,1.16,2.00%,-0.0120,0.59
2025-04-06T14:07:00Z,2025-04-06T18:47:00Z,Short,12.20,11.53,-3.625259,-2.42,2.00%,0.0000,0.28
2025-04-06T18:48:00Z,2025-04-06T18:50:00Z,Long,11.62,11.49,-75.388380,10.25,2.00%,-0.0117,0.60
2025-04-06T18:55:00Z,2025-04-06T23:03:00Z,Short,11.50,11.14,-6.612727,-2.31,2.00%,0.0000,0.45
2025-04-06T23:15:00Z,2025-04-06T23:21:00Z,Long,11.18,11.03,-31.399091,5.11,2.00%,-0.0145,0.51
2025-04-06T23:26:00Z,2025-04-07T01:23:00Z,Long,11.12,11.49,-6.585676,-2.42,2.00%,0.0000,0.41
2025-04-07T01:29:00Z,2025-04-07T03:35:00Z,Long,11.38,11.01,-3.949493,1.49,2.00%,-0.0331,0.25
2025-04-07T03:50:00Z,2025-04-07T06:19:00Z,Long,10.92,10.71,-6.706446,1.39,2.00%,-0.0190,0.41
2025-04-07T06:20:00Z,2025-04-07T06:21:00Z,Long,10.98,10.83,-78.554479,11.80,2.00%,-0.0137,0.53
2025-04-07T06:22:00Z,2025-04-07T06:23:00Z,Long,10.98,10.83,-85.263343,12.81,2.00%,-0.0137,0.53
2025-04-07T06:24:00Z,2025-04-07T06:25:00Z,Long,10.98,10.83,-92.545169,13.90,2.00%,-0.0137,0.53
2025-04-07T06:26:00Z,2025-04-07T06:27:00Z,Long,10.98,10.83,-100.448892,15.09,2.00%,-0.0137,0.53
2025-04-07T06:28:00Z,2025-04-07T06:29:00Z,Long,10.98,10.83,-109.027625,16.38,2.00%,-0.0137,0.53
2025-04-07T06:30:00Z,2025-04-07T06:31:00Z,Long,10.98,10.83,-118.339015,17.77,2.00%,-0.0137,0.53
2025-04-07T06:32:00Z,2025-04-07T06:46:00Z,Long,10.85,10.33,-19.763392,10.32,2.00%,-0.0481,0.18
2025-04-07T06:47:00Z,2025-04-07T06:50:00Z,Long,10.85,10.33,-5.173375,2.70,2.00%,-0.0481,0.18
2025-04-07T06:51:00Z,2025-04-09T17:35:00Z,Long,10.73,12.28,-3.249856,-5.02,2.00%,0.0000,0.10
2025-04-09T17:36:00Z,2025-04-09T17:37:00Z,Long,11.53,11.94,-10.075076,-4.19,2.00%,0.0000,0.38
2025-04-09T17:38:00Z,2025-04-09T17:39:00Z,Long,11.53,11.94,-9.886300,-4.11,2.00%,0.0000,0.38
2025-04-09T17:40:00Z,2025-04-09T17:41:00Z,Long,11.53,11.94,-9.701060,-4.03,2.00%,0.0000,0.38
