lookback_period,initial_level,limit1_level,limit2_level,sl_level,tp_level,threshold_factor,actual_threshold,Total Trades,Win Rate,Profit Factor,Total Profit,Max Drawdown,Sharpe Ratio,Sortino Ratio
13,0.618,0.618,1.000,0.500,1.000,0.75,19.68,7365,0.4937,1.1479,48.41,0.0000,0.0000,0.0000
13,0.618,0.786,1.000,0.618,1.000,0.75,19.68,7365,0.4937,1.1479,42.07,0.0000,0.0000,0.0000
13,0.618,0.786,1.000,0.500,1.000,0.75,19.68,7365,0.4937,1.1479,41.09,0.0000,0.0000,0.0000
13,0.618,0.618,1.000,0.500,1.414,0.75,19.68,7365,0.4937,1.1479,34.55,0.0000,0.0000,0.0000
13,0.618,0.618,1.272,0.500,1.000,0.75,19.68,7365,0.4937,1.1479,32.70,0.0000,0.0000,0.0000
13,0.500,0.618,1.000,0.500,1.000,0.75,19.68,7365,0.4775,1.1122,31.91,0.0000,0.0000,0.0000
13,0.618,0.786,1.000,0.618,1.414,0.75,19.68,7365,0.4937,1.1479,30.61,0.0000,0.0000,0.0000
13,0.618,0.618,1.000,0.500,1.618,0.75,19.68,7365,0.4937,1.1479,30.28,0.0000,0.0000,0.0000
13,0.618,0.786,1.000,0.500,1.414,0.75,19.68,7365,0.4937,1.1479,30.09,0.0000,0.0000,0.0000
13,0.618,0.786,1.272,0.618,1.000,0.75,19.68,7365,0.4937,1.1479,29.27,0.0000,0.0000,0.0000
13,0.618,0.786,1.272,0.500,1.000,0.75,19.68,7365,0.4937,1.1479,29.19,0.0000,0.0000,0.0000
13,0.500,0.786,1.000,0.618,1.000,0.75,19.68,7365,0.4775,1.1122,28.21,0.0000,0.0000,0.0000
13,0.618,0.618,1.414,0.500,1.000,0.75,19.68,7365,0.4937,1.1479,27.96,0.0000,0.0000,0.0000
13,0.500,0.786,1.000,0.500,1.000,0.75,19.68,7365,0.4775,1.1122,27.63,0.0000,0.0000,0.0000
13,0.618,0.786,1.000,0.618,1.618,0.75,19.68,7365,0.4937,1.1479,26.99,0.0000,0.0000,0.0000
13,0.618,0.786,1.000,0.500,1.618,0.75,19.68,7365,0.4937,1.1479,26.59,0.0000,0.0000,0.0000
13,0.618,0.786,1.414,0.500,1.000,0.75,19.68,7365,0.4937,1.1479,25.35,0.0000,0.0000,0.0000
13,0.618,0.786,1.414,0.618,1.000,0.75,19.68,7365,0.4937,1.1479,25.26,0.0000,0.0000,0.0000
13,0.618,0.618,1.272,0.500,1.414,0.75,19.68,7365,0.4937,1.1479,24.68,0.0000,0.0000,0.0000
13,0.500,0.618,1.000,0.500,1.414,0.75,19.68,7365,0.4775,1.1122,23.66,0.0000,0.0000,0.0000
