Entry Time,Exit Time,Type,Entry Price,Exit Price,Size,P&L,Risk %,Profit Factor,Margin Used
2025-04-03T13:03:00Z,2025-04-03T21:57:00Z,Short,1243.38,1277.62,-0.177561,6.20,2.00%,-0.0281,0.43
2025-04-03T21:58:00Z,2025-04-03T22:24:00Z,Long,1254.87,1290.80,-0.049990,-1.78,2.00%,0.0000,0.43
2025-04-03T22:25:00Z,2025-04-04T09:34:00Z,Long,1268.77,1335.80,-0.030325,-2.02,2.00%,0.0000,0.26
2025-04-04T10:07:00Z,2025-04-06T16:33:00Z,Long,1340.24,1300.56,-0.040599,1.64,2.00%,-0.0301,0.39
2025-04-06T17:55:00Z,2025-04-06T20:36:00Z,Long,1275.28,1173.32,-0.019157,1.97,2.00%,-0.0805,0.16
2025-04-06T20:50:00Z,2025-04-07T03:43:00Z,Short,1187.32,1113.80,-0.028257,-2.07,2.00%,0.0000,0.25
2025-04-07T03:58:00Z,2025-04-07T06:36:00Z,Long,1132.35,1074.25,-0.031575,1.85,2.00%,-0.0518,0.24
2025-04-07T07:07:00Z,2025-04-07T14:06:00Z,Long,1090.57,1186.20,-0.023163,-2.21,2.00%,0.0000,0.16
2025-04-07T14:30:00Z,2025-04-09T21:10:00Z,Long,1206.05,1415.70,-0.010975,-2.30,2.00%,0.0000,0.08
2025-04-09T21:30:00Z,2025-04-10T03:17:00Z,Long,1419.76,1334.84,-0.021555,1.85,2.00%,-0.0603,0.21
2025-04-10T03:40:00Z,2025-04-10T15:26:00Z,Long,1358.72,1294.08,-0.027779,1.82,2.00%,-0.0481,0.26
2025-04-10T15:27:00Z,2025-04-10T15:28:00Z,Long,1329.02,1297.38,-0.049039,1.59,2.00%,-0.0243,0.45
2025-04-10T15:29:00Z,2025-04-10T15:30:00Z,Long,1329.02,1297.38,-0.199064,6.44,2.00%,-0.0243,0.45
2025-04-10T15:31:00Z,2025-04-10T15:32:00Z,Long,1329.02,1297.38,-0.474451,15.35,2.00%,-0.0243,0.45
2025-04-10T15:33:00Z,2025-04-10T15:34:00Z,Long,1329.02,1297.38,-0.537746,17.40,2.00%,-0.0243,0.45
2025-04-10T15:35:00Z,2025-04-10T15:36:00Z,Long,1329.02,1297.38,-0.609484,19.72,2.00%,-0.0243,0.45
2025-04-10T15:37:00Z,2025-04-10T15:38:00Z,Long,1329.02,1297.38,-0.690793,22.35,2.00%,-0.0243,0.45
2025-04-10T15:39:00Z,2025-04-10T15:40:00Z,Long,1329.02,1297.38,-0.782949,25.33,2.00%,-0.0243,0.45
2025-04-10T15:41:00Z,2025-04-10T15:42:00Z,Long,1329.02,1297.38,-0.887399,28.71,2.00%,-0.0243,0.45
2025-04-10T15:43:00Z,2025-04-10T15:44:00Z,Long,1329.02,1297.38,-1.005783,32.55,2.00%,-0.0243,0.45
2025-04-10T15:45:00Z,2025-04-10T15:46:00Z,Long,1329.02,1297.38,-1.139961,36.89,2.00%,-0.0243,0.45
2025-04-10T15:47:00Z,2025-04-10T15:48:00Z,Long,1329.02,1297.38,-1.292038,41.81,2.00%,-0.0243,0.45
2025-04-10T15:49:00Z,2025-04-10T15:50:00Z,Long,1329.02,1297.38,-1.464404,47.39,2.00%,-0.0243,0.45
2025-04-10T15:51:00Z,2025-04-10T15:52:00Z,Long,1329.02,1297.38,-1.659764,53.71,2.00%,-0.0243,0.45
2025-04-10T15:53:00Z,2025-04-10T15:54:00Z,Long,1329.02,1297.38,-1.881186,60.87,2.00%,-0.0243,0.45
2025-04-10T15:55:00Z,2025-04-10T15:56:00Z,Long,1329.02,1297.38,-2.132148,68.99,2.00%,-0.0243,0.45
2025-04-10T15:57:00Z,2025-04-10T15:58:00Z,Long,1329.02,1297.38,-2.416589,78.20,2.00%,-0.0243,0.45
2025-04-10T15:59:00Z,2025-04-10T16:00:00Z,Long,1329.02,1297.38,-2.738976,88.63,2.00%,-0.0243,0.45
2025-04-10T16:01:00Z,2025-04-10T16:02:00Z,Long,1329.02,1297.38,-3.104372,100.45,2.00%,-0.0243,0.45
2025-04-10T16:03:00Z,2025-04-10T16:04:00Z,Long,1329.02,1297.38,-3.518514,113.85,2.00%,-0.0243,0.45
2025-04-10T16:05:00Z,2025-04-10T16:06:00Z,Long,1329.02,1297.38,-3.987904,129.04,2.00%,-0.0243,0.45
2025-04-10T16:07:00Z,2025-04-10T16:08:00Z,Long,1329.02,1297.38,-4.519915,146.26,2.00%,-0.0243,0.45
2025-04-10T16:09:00Z,2025-04-10T16:10:00Z,Long,1329.02,1297.38,-5.122898,165.77,2.00%,-0.0243,0.45
2025-04-10T16:11:00Z,2025-04-10T16:12:00Z,Long,1329.02,1297.38,-5.806323,187.88,2.00%,-0.0243,0.45
2025-04-10T16:13:00Z,2025-04-10T16:14:00Z,Long,1329.02,1297.38,-6.580921,212.95,2.00%,-0.0243,0.45
2025-04-10T16:15:00Z,2025-04-10T16:16:00Z,Long,1329.02,1297.38,-7.458855,241.36,2.00%,-0.0243,0.45
2025-04-10T16:17:00Z,2025-04-10T16:18:00Z,Long,1329.02,1297.38,-8.453911,273.55,2.00%,-0.0243,0.45
