lookback_period,initial_level,limit1_level,limit2_level,sl_level,tp_level,threshold_factor,actual_threshold,Total Trades,Win Rate,Profit Factor,Total Profit,Max Drawdown,Sharpe Ratio,Sortino Ratio
8,0.500,0.000,0.618,2.618,1.618,1.00,0.02,6,0.3333,1.2533,0.01,0.0003,0.0000,0.0000
8,0.500,0.000,1.618,2.618,1.618,1.00,0.02,6,0.3333,1.2533,0.01,0.0003,0.0000,0.0000
8,0.500,0.000,2.618,2.618,1.618,1.00,0.02,6,0.3333,1.2533,0.01,0.0003,0.0000,0.0000
8,0.500,0.618,0.618,2.618,1.618,1.00,0.02,6,0.3333,1.2533,0.01,0.0003,0.0000,0.0000
8,0.500,0.618,1.618,2.618,1.618,1.00,0.02,6,0.3333,1.2533,0.01,0.0003,0.0000,0.0000
8,0.500,0.618,2.618,2.618,1.618,1.00,0.02,6,0.3333,1.2533,0.01,0.0003,0.0000,0.0000
8,0.500,1.618,0.618,2.618,1.618,1.00,0.02,6,0.3333,1.2533,0.01,0.0003,0.0000,0.0000
8,0.500,1.618,1.618,2.618,1.618,1.00,0.02,6,0.3333,1.2533,0.01,0.0003,0.0000,0.0000
8,0.500,1.618,2.618,2.618,1.618,1.00,0.02,6,0.3333,1.2533,0.01,0.0003,0.0000,0.0000
8,0.500,0.000,0.618,2.618,1.414,1.00,0.02,7,0.2857,1.1533,0.01,0.0003,0.0000,0.0000
8,0.500,0.000,1.618,2.618,1.414,1.00,0.02,7,0.2857,1.1533,0.01,0.0003,0.0000,0.0000
8,0.500,0.000,2.618,2.618,1.414,1.00,0.02,7,0.2857,1.1533,0.01,0.0003,0.0000,0.0000
8,0.500,0.618,0.618,2.618,1.414,1.00,0.02,7,0.2857,1.1533,0.01,0.0003,0.0000,0.0000
8,0.500,0.618,1.618,2.618,1.414,1.00,0.02,7,0.2857,1.1533,0.01,0.0003,0.0000,0.0000
8,0.500,0.618,2.618,2.618,1.414,1.00,0.02,7,0.2857,1.1533,0.01,0.0003,0.0000,0.0000
8,0.500,1.618,0.618,2.618,1.414,1.00,0.02,7,0.2857,1.1533,0.01,0.0003,0.0000,0.0000
8,0.500,1.618,1.618,2.618,1.414,1.00,0.02,7,0.2857,1.1533,0.01,0.0003,0.0000,0.0000
8,0.500,1.618,2.618,2.618,1.414,1.00,0.02,7,0.2857,1.1533,0.01,0.0003,0.0000,0.0000
8,0.500,0.000,0.618,3.236,1.618,1.00,0.02,6,0.1667,0.5129,-0.03,0.0005,0.0000,0.0000
8,0.500,0.000,1.618,3.236,1.618,1.00,0.02,6,0.1667,0.5129,-0.03,0.0005,0.0000,0.0000
