Entry Time,Exit Time,Type,Entry Price,Exit Price,Size,P&L,Risk %,Profit Factor,Margin Used
2025-04-06T19:00:00Z,2025-04-07T06:26:00Z,Short,0.61,0.58,60.749466,1.51,2.00%,2.0454,3.68
2025-04-07T07:18:00Z,2025-04-09T17:48:00Z,Long,0.57,0.66,18.332799,1.53,2.00%,7.2894,1.05
2025-04-13T14:44:00Z,2025-04-13T18:05:00Z,Long,0.68,0.71,58.208589,1.55,2.00%,1.9582,3.96
2025-04-14T02:51:00Z,2025-04-14T07:15:00Z,Short,0.69,0.66,54.069212,1.57,2.00%,2.0995,3.75
2025-04-16T18:38:00Z,2025-04-17T10:19:00Z,Short,0.65,0.64,204.596284,1.64,2.00%,0.6182,13.23
2025-04-22T16:01:00Z,2025-04-23T00:21:00Z,Long,0.72,0.75,56.206092,1.62,2.00%,2.0130,4.03
2025-04-23T02:22:00Z,2025-04-23T06:45:00Z,Short,0.76,0.76,321.723810,1.67,2.00%,0.3411,24.46
2025-04-23T16:18:00Z,2025-04-23T19:06:00Z,Short,0.77,0.76,247.248273,1.70,2.00%,0.4462,19.06
2025-04-24T14:25:00Z,2025-04-24T15:13:00Z,Long,0.77,0.79,80.858334,1.70,2.00%,1.3676,6.21
2025-04-25T16:45:00Z,2025-04-26T01:28:00Z,Long,0.81,0.83,89.503539,1.72,2.00%,1.1895,7.24
2025-04-26T08:04:00Z,2025-04-26T12:29:00Z,Long,0.82,0.83,370.538887,1.73,2.00%,0.2839,30.48
2025-04-26T18:56:00Z,2025-04-27T00:19:00Z,Long,0.83,0.85,49.569952,0.89,1.00%,2.1511,4.13
2025-04-28T02:31:00Z,2025-04-28T04:20:00Z,Short,0.78,0.78,731.806489,-2.38,2.00%,0.0000,57.12
2025-04-28T14:50:00Z,2025-04-28T15:35:00Z,Short,0.78,0.76,95.194872,1.75,2.00%,1.1789,7.44
2025-04-28T16:59:00Z,2025-04-28T19:19:00Z,Short,0.78,0.78,832.229710,-2.36,2.00%,0.0000,65.04
2025-04-29T22:02:00Z,2025-04-30T00:09:00Z,Long,0.76,0.76,372.040145,1.72,2.00%,0.3067,28.10
2025-05-01T15:45:00Z,2025-05-02T11:42:00Z,Short,0.74,0.71,72.835984,1.77,2.00%,1.6461,5.38
2025-05-03T12:34:00Z,2025-05-03T17:08:00Z,Short,0.68,0.66,90.787836,1.80,2.00%,1.4489,6.20
