lookback_period,initial_level,limit1_level,limit2_level,sl_level,tp_level,threshold_factor,actual_threshold,Total Trades,Win Rate,Profit Factor,Total Profit,Max Drawdown,Sharpe Ratio,Sortino Ratio
13,0.500,0.000,0.618,1.618,1.414,1.25,0.03,11,0.5455,1.8575,0.04,0.0002,0.0000,0.0000
13,0.500,0.000,1.618,1.618,1.414,1.25,0.03,11,0.5455,1.8575,0.04,0.0002,0.0000,0.0000
13,0.500,0.000,2.618,1.618,1.414,1.25,0.03,11,0.5455,1.8575,0.04,0.0002,0.0000,0.0000
13,0.500,0.618,0.618,1.618,1.414,1.25,0.03,11,0.5455,1.8575,0.04,0.0002,0.0000,0.0000
13,0.500,0.618,1.618,1.618,1.414,1.25,0.03,11,0.5455,1.8575,0.04,0.0002,0.0000,0.0000
13,0.500,0.618,2.618,1.618,1.414,1.25,0.03,11,0.5455,1.8575,0.04,0.0002,0.0000,0.0000
13,0.500,1.618,0.618,1.618,1.414,1.25,0.03,11,0.5455,1.8575,0.04,0.0002,0.0000,0.0000
13,0.500,1.618,1.618,1.618,1.414,1.25,0.03,11,0.5455,1.8575,0.04,0.0002,0.0000,0.0000
13,0.500,1.618,2.618,1.618,1.414,1.25,0.03,11,0.5455,1.8575,0.04,0.0002,0.0000,0.0000
13,0.500,0.000,0.618,1.618,1.000,1.25,0.03,12,0.3333,1.8250,0.03,0.0002,0.0000,0.0000
13,0.500,0.000,1.618,1.618,1.000,1.25,0.03,12,0.3333,1.8250,0.03,0.0002,0.0000,0.0000
13,0.500,0.000,2.618,1.618,1.000,1.25,0.03,12,0.3333,1.8250,0.03,0.0002,0.0000,0.0000
13,0.500,0.618,0.618,1.618,1.000,1.25,0.03,12,0.3333,1.8250,0.03,0.0002,0.0000,0.0000
13,0.500,0.618,1.618,1.618,1.000,1.25,0.03,12,0.3333,1.8250,0.03,0.0002,0.0000,0.0000
13,0.500,0.618,2.618,1.618,1.000,1.25,0.03,12,0.3333,1.8250,0.03,0.0002,0.0000,0.0000
13,0.500,1.618,0.618,1.618,1.000,1.25,0.03,12,0.3333,1.8250,0.03,0.0002,0.0000,0.0000
13,0.500,1.618,1.618,1.618,1.000,1.25,0.03,12,0.3333,1.8250,0.03,0.0002,0.0000,0.0000
13,0.500,1.618,2.618,1.618,1.000,1.25,0.03,12,0.3333,1.8250,0.03,0.0002,0.0000,0.0000
13,0.500,0.000,0.618,1.618,1.618,1.25,0.03,10,0.5000,1.1835,0.01,0.0005,0.0000,0.0000
13,0.500,0.000,1.618,1.618,1.618,1.25,0.03,10,0.5000,1.1835,0.01,0.0005,0.0000,0.0000
