Entry Time,Exit Time,Type,Entry Price,Exit Price,Size,P&L,Risk %,Profit Factor,Margin Used
2025-04-06T19:35:00Z,2025-04-06T22:53:00Z,Long,1.01,1.01,220.504185,1.23,2.00%,0.2780,44.42
2025-04-06T23:44:00Z,2025-04-07T03:35:00Z,Short,1.05,1.03,114.582105,2.08,5.00%,0.3455,24.04
2025-04-07T03:38:00Z,2025-04-07T13:52:00Z,Long,1.01,1.02,261.445204,3.04,5.00%,0.2303,52.73
2025-04-07T14:00:00Z,2025-04-07T14:24:00Z,Short,1.05,1.04,284.778960,3.28,5.00%,0.2190,59.93
2025-04-07T15:13:00Z,2025-04-07T15:42:00Z,Long,1.02,1.03,250.207272,1.36,2.00%,0.2662,51.04
2025-04-07T17:00:00Z,2025-04-08T01:41:00Z,Long,1.01,1.06,29.646366,1.41,3.00%,1.5688,6.01
2025-04-08T02:30:00Z,2025-04-08T04:43:00Z,Long,1.06,1.06,168.353046,0.72,1.00%,0.4026,35.61
2025-04-08T12:34:00Z,2025-04-09T17:24:00Z,Long,1.07,1.07,254.190293,1.41,2.00%,0.2591,54.23
2025-04-09T19:10:00Z,2025-04-09T23:52:00Z,Short,1.12,1.12,275.338531,1.47,2.00%,0.2387,61.73
2025-04-10T00:35:00Z,2025-04-10T01:13:00Z,Long,1.11,1.11,77.863904,0.51,1.00%,0.5889,17.23
2025-04-10T04:01:00Z,2025-04-10T07:34:00Z,Short,1.10,1.10,76.283980,0.52,1.00%,0.6139,16.81
2025-04-10T09:41:00Z,2025-04-10T12:50:00Z,Short,1.10,1.09,271.036070,1.50,2.00%,0.2514,59.63
2025-04-10T14:21:00Z,2025-04-10T14:57:00Z,Short,1.09,1.09,169.418952,0.77,1.00%,0.4168,37.06
2025-04-10T16:17:00Z,2025-04-11T02:26:00Z,Long,1.05,1.09,27.866086,1.05,2.00%,1.7840,5.86
2025-04-11T08:49:00Z,2025-04-13T03:34:00Z,Long,1.10,1.15,30.064626,1.54,3.00%,1.5432,6.63
2025-04-13T04:47:00Z,2025-04-13T10:00:00Z,Long,1.17,1.17,70.199142,0.53,1.00%,0.6438,16.36
2025-04-13T12:18:00Z,2025-04-13T19:09:00Z,Short,1.17,1.17,179.937662,0.81,1.00%,0.3816,42.20
2025-04-13T20:35:00Z,2025-04-14T05:44:00Z,Short,1.16,1.15,170.858779,0.80,1.00%,0.4076,39.48
2025-04-14T07:30:00Z,2025-04-14T13:47:00Z,Short,1.16,1.16,172.199273,0.81,1.00%,0.4047,40.06
2025-04-14T13:59:00Z,2025-04-14T15:05:00Z,Short,1.18,1.17,257.377088,2.34,3.00%,0.2574,60.52
2025-04-14T15:25:00Z,2025-04-14T17:23:00Z,Long,1.16,1.16,196.884509,0.82,1.00%,0.3610,45.54
2025-04-14T17:24:00Z,2025-04-15T22:46:00Z,Short,1.16,1.11,29.321179,1.64,3.00%,1.6020,6.81
2025-04-16T05:38:00Z,2025-04-16T08:33:00Z,Long,1.09,1.10,253.419319,1.60,2.00%,0.2881,55.37
2025-04-16T09:01:00Z,2025-04-16T15:24:00Z,Long,1.10,1.14,32.514314,1.17,2.00%,1.6289,7.16
2025-04-16T16:24:00Z,2025-04-16T17:05:00Z,Long,1.13,1.14,325.166609,1.67,2.00%,0.2266,73.52
2025-04-16T17:19:00Z,2025-04-16T17:57:00Z,Short,1.14,1.10,30.599369,1.19,2.00%,1.7038,6.99
