lookback_period,initial_level,limit1_level,limit2_level,sl_level,tp_level,threshold_factor,actual_threshold,Total Trades,Win Rate,Profit Factor,Total Profit,Max Drawdown,Sharpe Ratio,Sortino Ratio
13,0.618,0.000,0.618,2.618,1.414,0.75,1.86,16,0.1250,0.3581,-0.08,0.0009,0.0000,0.0000
13,0.618,0.000,1.618,2.618,1.414,0.75,1.86,16,0.1250,0.3581,-0.08,0.0009,0.0000,0.0000
13,0.618,0.000,2.618,2.618,1.414,0.75,1.86,16,0.1250,0.3581,-0.08,0.0009,0.0000,0.0000
13,0.618,0.618,0.618,2.618,1.414,0.75,1.86,16,0.1250,0.3581,-0.08,0.0009,0.0000,0.0000
13,0.618,0.618,1.618,2.618,1.414,0.75,1.86,16,0.1250,0.3581,-0.08,0.0009,0.0000,0.0000
13,0.618,0.618,2.618,2.618,1.414,0.75,1.86,16,0.1250,0.3581,-0.08,0.0009,0.0000,0.0000
13,0.618,1.618,0.618,2.618,1.414,0.75,1.86,16,0.1250,0.3581,-0.08,0.0009,0.0000,0.0000
13,0.618,1.618,1.618,2.618,1.414,0.75,1.86,16,0.1250,0.3581,-0.08,0.0009,0.0000,0.0000
13,0.618,1.618,2.618,2.618,1.414,0.75,1.86,16,0.1250,0.3581,-0.08,0.0009,0.0000,0.0000
13,0.618,0.000,0.618,3.236,1.414,0.75,1.86,14,0.0714,0.1912,-0.10,0.0012,0.0000,0.0000
13,0.618,0.000,1.618,3.236,1.414,0.75,1.86,14,0.0714,0.1912,-0.10,0.0012,0.0000,0.0000
13,0.618,0.000,2.618,3.236,1.414,0.75,1.86,14,0.0714,0.1912,-0.10,0.0012,0.0000,0.0000
13,0.618,0.618,0.618,3.236,1.414,0.75,1.86,14,0.0714,0.1912,-0.10,0.0012,0.0000,0.0000
13,0.618,0.618,1.618,3.236,1.414,0.75,1.86,14,0.0714,0.1912,-0.10,0.0012,0.0000,0.0000
13,0.618,0.618,2.618,3.236,1.414,0.75,1.86,14,0.0714,0.1912,-0.10,0.0012,0.0000,0.0000
13,0.618,1.618,0.618,3.236,1.414,0.75,1.86,14,0.0714,0.1912,-0.10,0.0012,0.0000,0.0000
13,0.618,1.618,1.618,3.236,1.414,0.75,1.86,14,0.0714,0.1912,-0.10,0.0012,0.0000,0.0000
13,0.618,1.618,2.618,3.236,1.414,0.75,1.86,14,0.0714,0.1912,-0.10,0.0012,0.0000,0.0000
2,0.382,0.000,0.618,3.236,1.000,1.00,1.65,2,0.5000,0.0084,-1.98,0.0200,0.0000,0.0000
2,0.382,0.000,1.618,3.236,1.000,1.00,1.65,2,0.5000,0.0084,-1.98,0.0200,0.0000,0.0000
