Entry Time,Exit Time,Type,Entry Price,Exit Price,Size,P&L,Risk %,Profit Factor,Margin Used
2025-04-06T18:50:00Z,2025-04-06T19:16:00Z,Long,106.86,107.85,6.924076,6.86,10.00%,0.0927,37.00
2025-04-06T19:19:00Z,2025-04-06T20:39:00Z,Long,106.39,107.59,6.075538,7.27,10.00%,0.1124,32.32
2025-04-06T20:42:00Z,2025-04-07T01:21:00Z,Long,106.39,107.59,6.488733,7.76,10.00%,0.1124,34.52
2025-04-07T01:23:00Z,2025-04-07T13:57:00Z,Long,105.12,106.86,4.673149,8.16,10.00%,0.1661,24.56
2025-04-07T14:10:00Z,2025-04-07T14:24:00Z,Short,108.57,106.95,5.659225,9.16,10.00%,0.1491,30.72
2025-04-07T14:26:00Z,2025-04-07T15:38:00Z,Long,105.12,106.86,5.337061,9.32,10.00%,0.1661,28.05
2025-04-07T15:46:00Z,2025-04-07T17:29:00Z,Long,105.60,106.44,12.227418,10.26,10.00%,0.0795,64.56
2025-04-07T17:35:00Z,2025-04-07T18:41:00Z,Long,106.16,107.43,5.809880,7.39,10.00%,0.1199,30.84
2025-04-07T18:45:00Z,2025-04-07T23:33:00Z,Short,108.37,107.25,10.402839,11.74,10.00%,0.1041,56.37
2025-04-08T02:52:00Z,2025-04-08T11:37:00Z,Long,109.78,110.88,11.051887,12.16,10.00%,0.1002,60.66
2025-04-08T11:43:00Z,2025-04-09T17:21:00Z,Long,109.44,110.66,10.567840,12.93,10.00%,0.1118,57.83
2025-04-09T17:21:00Z,2025-04-10T13:45:00Z,Short,113.27,112.01,11.324061,14.32,10.00%,0.1117,64.14
2025-04-10T16:15:00Z,2025-04-10T17:46:00Z,Long,108.90,110.17,7.964684,10.13,10.00%,0.1168,43.37
2025-04-11T02:42:00Z,2025-04-11T17:40:00Z,Long,114.41,121.82,1.440586,10.68,10.00%,0.6479,8.24
2025-04-12T00:22:00Z,2025-04-13T03:33:00Z,Long,120.00,120.96,17.223332,16.45,10.00%,0.0796,103.34
2025-04-13T12:00:00Z,2025-04-13T19:09:00Z,Short,131.36,130.22,15.786738,18.05,10.00%,0.0870,103.69
2025-04-13T19:36:00Z,2025-04-13T20:14:00Z,Long,128.66,129.57,20.919559,18.95,10.00%,0.0704,134.58
2025-04-13T21:14:00Z,2025-04-15T20:55:00Z,Short,127.82,126.68,18.053387,20.66,10.00%,0.0895,115.38
2025-04-15T22:56:00Z,2025-04-16T02:54:00Z,Long,125.55,126.92,10.627169,14.61,10.00%,0.1095,66.71
2025-04-16T03:28:00Z,2025-04-16T17:42:00Z,Short,127.79,126.86,25.114547,23.29,10.00%,0.0726,160.47
2025-04-16T17:47:00Z,2025-04-16T18:05:00Z,Long,125.55,126.92,11.916989,16.38,10.00%,0.1095,74.81
2025-04-16T18:07:00Z,2025-04-16T19:49:00Z,Long,126.68,131.81,3.452024,17.69,10.00%,0.4046,21.87
2025-04-16T20:00:00Z,2025-04-17T01:35:00Z,Long,131.59,132.52,28.606526,26.70,10.00%,0.0709,188.21
2025-04-17T06:34:00Z,2025-04-17T19:29:00Z,Short,135.27,132.65,7.341716,19.21,10.00%,0.1934,49.66
2025-04-17T19:54:00Z,2025-04-22T13:46:00Z,Long,133.46,143.93,1.914926,20.04,10.00%,0.7840,12.78
2025-04-22T14:00:00Z,2025-04-22T19:38:00Z,Short,144.89,143.75,28.078759,32.00,10.00%,0.0786,203.42
2025-04-22T21:27:00Z,2025-04-23T04:52:00Z,Long,144.99,151.93,3.311735,23.01,10.00%,0.4792,24.01
2025-04-23T05:10:00Z,2025-04-23T07:07:00Z,Short,151.87,150.47,17.342098,24.23,10.00%,0.0920,131.69
2025-04-23T07:31:00Z,2025-04-23T10:00:00Z,Short,152.49,151.56,40.891293,37.97,10.00%,0.0609,311.77
2025-04-23T13:26:00Z,2025-04-23T13:36:00Z,Short,153.65,152.01,16.552775,27.02,10.00%,0.1062,127.16
2025-04-23T13:37:00Z,2025-04-23T14:44:00Z,Long,150.97,152.09,36.863534,41.21,10.00%,0.0741,278.27
2025-04-23T16:23:00Z,2025-04-24T13:31:00Z,Long,147.12,148.96,23.320469,43.03,10.00%,0.1254,171.54
2025-04-24T14:01:00Z,2025-04-24T14:23:00Z,Short,149.91,149.03,49.930145,43.88,9.00%,0.0651,374.24
2025-04-24T14:26:00Z,2025-04-24T17:50:00Z,Short,150.02,149.09,55.733698,51.79,10.00%,0.0619,418.05
2025-04-24T17:51:00Z,2025-04-26T09:34:00Z,Short,150.02,149.09,59.728529,55.50,10.00%,0.0619,448.01
2025-04-27T00:23:00Z,2025-04-28T10:05:00Z,Short,151.09,150.16,63.534062,59.48,10.00%,0.0620,479.97
2025-04-28T10:05:00Z,2025-04-29T01:46:00Z,Long,148.20,149.12,67.855604,62.27,10.00%,0.0619,502.81
2025-04-29T14:11:00Z,2025-04-29T16:56:00Z,Short,149.05,148.15,75.807890,68.28,10.00%,0.0604,564.97
2025-04-29T17:02:00Z,2025-04-29T20:33:00Z,Short,149.05,148.15,81.247375,73.18,10.00%,0.0604,605.51
2025-04-30T04:02:00Z,2025-04-30T10:50:00Z,Long,146.56,147.49,82.017590,76.42,10.00%,0.0636,601.01
2025-04-30T11:17:00Z,2025-04-30T23:07:00Z,Long,146.56,147.49,87.752061,81.76,10.00%,0.0636,643.04
2025-05-01T09:57:00Z,2025-05-01T13:57:00Z,Short,151.98,150.70,42.428599,54.29,9.00%,0.0935,322.41
2025-05-01T14:00:00Z,2025-05-02T11:24:00Z,Long,149.91,150.74,99.263677,82.81,9.00%,0.0618,744.02
