lookback_period,initial_level,limit1_level,limit2_level,sl_level,tp_level,threshold_factor,actual_threshold,Total Trades,Win Rate,Profit Factor,Total Profit,Max Drawdown,Sharpe Ratio,Sortino Ratio
5,0.382,0.000,0.618,1.618,1.414,1.00,0.01,62,1.0000,inf,105.64,0.0000,0.0000,0.0000
5,0.382,0.000,1.618,1.618,1.414,1.00,0.01,62,1.0000,inf,105.64,0.0000,0.0000,0.0000
5,0.382,0.000,2.618,1.618,1.414,1.00,0.01,62,1.0000,inf,105.64,0.0000,0.0000,0.0000
5,0.382,0.618,0.618,1.618,1.414,1.00,0.01,62,1.0000,inf,105.64,0.0000,0.0000,0.0000
5,0.382,0.618,1.618,1.618,1.414,1.00,0.01,62,1.0000,inf,105.64,0.0000,0.0000,0.0000
5,0.382,0.618,2.618,1.618,1.414,1.00,0.01,62,1.0000,inf,105.64,0.0000,0.0000,0.0000
5,0.382,1.618,0.618,1.618,1.414,1.00,0.01,62,1.0000,inf,105.64,0.0000,0.0000,0.0000
5,0.382,1.618,1.618,1.618,1.414,1.00,0.01,62,1.0000,inf,105.64,0.0000,0.0000,0.0000
5,0.382,1.618,2.618,1.618,1.414,1.00,0.01,62,1.0000,inf,105.64,0.0000,0.0000,0.0000
5,0.382,0.000,0.618,1.618,1.000,1.00,0.01,62,1.0000,inf,79.77,0.0000,0.0000,0.0000
5,0.382,0.000,1.618,1.618,1.000,1.00,0.01,62,1.0000,inf,79.77,0.0000,0.0000,0.0000
5,0.382,0.000,2.618,1.618,1.000,1.00,0.01,62,1.0000,inf,79.77,0.0000,0.0000,0.0000
5,0.382,0.618,0.618,1.618,1.000,1.00,0.01,62,1.0000,inf,79.77,0.0000,0.0000,0.0000
5,0.382,0.618,1.618,1.618,1.000,1.00,0.01,62,1.0000,inf,79.77,0.0000,0.0000,0.0000
5,0.382,0.618,2.618,1.618,1.000,1.00,0.01,62,1.0000,inf,79.77,0.0000,0.0000,0.0000
5,0.382,1.618,0.618,1.618,1.000,1.00,0.01,62,1.0000,inf,79.77,0.0000,0.0000,0.0000
5,0.382,1.618,1.618,1.618,1.000,1.00,0.01,62,1.0000,inf,79.77,0.0000,0.0000,0.0000
5,0.382,1.618,2.618,1.618,1.000,1.00,0.01,62,1.0000,inf,79.77,0.0000,0.0000,0.0000
3,0.500,0.000,0.618,1.618,1.414,0.75,0.01,55,1.0000,inf,77.13,0.0000,0.0000,0.0000
3,0.500,0.000,1.618,1.618,1.414,0.75,0.01,55,1.0000,inf,77.13,0.0000,0.0000,0.0000
