Entry Time,Exit Time,Type,Entry Price,Exit Price,Size,P&L,Risk %,Profit Factor,Margin Used
2025-04-06T19:51:00Z,2025-04-07T03:44:00Z,Short,0.54,0.51,38.913004,0.85,2.00%,2.0391,4.18
2025-04-07T04:22:00Z,2025-04-07T06:34:00Z,Short,0.53,0.50,30.154158,0.86,2.00%,2.6951,3.19
2025-04-07T08:11:00Z,2025-04-07T08:35:00Z,Short,0.50,0.50,463.400455,-2.03,2.00%,0.0000,46.39
2025-04-07T12:45:00Z,2025-04-07T13:47:00Z,Long,0.51,0.51,229.229648,0.84,2.00%,0.3592,23.29
2025-04-07T13:49:00Z,2025-04-07T13:52:00Z,Long,0.52,0.53,57.788453,0.86,2.00%,1.4367,5.96
2025-04-07T14:28:00Z,2025-04-09T17:31:00Z,Long,0.54,0.58,18.830581,0.86,2.00%,4.2700,2.02
2025-04-09T18:56:00Z,2025-04-09T21:11:00Z,Long,0.60,0.61,31.177278,0.44,1.00%,2.3380,3.72
2025-04-13T20:14:00Z,2025-04-14T15:52:00Z,Short,0.62,0.60,37.715237,0.87,2.00%,1.8655,4.69
2025-04-15T14:51:00Z,2025-04-15T19:47:00Z,Short,0.60,0.58,35.713770,0.44,1.00%,2.0712,4.26
2025-04-16T18:56:00Z,2025-04-18T12:31:00Z,Long,0.58,0.60,45.412185,0.89,2.00%,1.6883,5.25
2025-04-21T01:20:00Z,2025-04-21T04:07:00Z,Long,0.70,0.70,142.678971,0.88,2.00%,0.4420,19.85
2025-04-21T11:41:00Z,2025-04-21T12:27:00Z,Long,0.70,0.71,39.077197,0.45,1.00%,1.6501,5.46
2025-04-21T12:56:00Z,2025-04-22T00:49:00Z,Long,0.71,0.73,33.629778,0.90,2.00%,1.9027,4.75
2025-04-22T02:31:00Z,2025-04-22T04:04:00Z,Long,0.75,0.76,155.961719,0.90,2.00%,0.3820,23.51
2025-04-22T05:37:00Z,2025-04-22T06:37:00Z,Short,0.75,0.74,34.659975,0.46,1.00%,1.7715,5.19
2025-04-22T08:28:00Z,2025-04-22T09:29:00Z,Long,0.74,0.75,39.239618,0.46,1.00%,1.5926,5.80
2025-04-22T09:44:00Z,2025-04-22T12:16:00Z,Long,0.75,0.76,33.837257,0.46,1.00%,1.8402,5.04
2025-04-22T13:02:00Z,2025-04-22T18:19:00Z,Long,0.76,0.78,38.835854,0.93,2.00%,1.5828,5.89
2025-04-22T21:49:00Z,2025-04-22T22:17:00Z,Long,0.81,0.81,126.616374,0.47,1.00%,0.4537,20.52
2025-04-23T00:20:00Z,2025-04-23T01:04:00Z,Long,0.80,0.81,99.851405,0.47,1.00%,0.5826,16.01
2025-04-23T01:47:00Z,2025-04-23T03:00:00Z,Short,0.81,0.81,153.487626,0.48,1.00%,0.3823,24.98
2025-04-23T04:18:00Z,2025-04-23T06:15:00Z,Long,0.80,0.81,102.891207,0.47,1.00%,0.5698,16.51
2025-04-23T07:03:00Z,2025-04-23T13:37:00Z,Long,0.80,0.80,304.556088,-1.12,1.00%,0.0000,48.70
2025-04-23T15:33:00Z,2025-04-24T04:34:00Z,Short,0.77,0.75,35.246379,0.95,2.00%,1.7331,5.46
2025-04-24T11:14:00Z,2025-04-24T12:20:00Z,Long,0.76,0.78,31.257606,0.48,1.00%,1.9976,4.78
2025-04-24T13:14:00Z,2025-04-24T14:49:00Z,Long,0.81,0.85,22.412367,0.96,2.00%,2.6351,3.64
2025-04-24T15:31:00Z,2025-04-24T16:44:00Z,Long,0.83,0.83,228.102417,-1.13,1.00%,0.0000,37.91
2025-04-24T17:37:00Z,2025-04-24T19:10:00Z,Short,0.83,0.83,141.174324,0.48,1.00%,0.4113,23.46
2025-04-24T23:13:00Z,2025-04-24T23:28:00Z,Long,0.85,0.86,39.110984,0.48,1.00%,1.4529,6.61
2025-04-25T00:10:00Z,2025-04-25T04:13:00Z,Long,0.86,0.91,20.935571,0.96,2.00%,2.6755,3.61
2025-04-25T07:34:00Z,2025-04-25T10:42:00Z,Long,0.89,0.88,212.765708,-1.14,1.00%,0.0000,37.68
2025-04-25T16:28:00Z,2025-04-25T20:23:00Z,Short,0.88,0.87,37.674283,0.48,1.00%,1.4542,6.63
2025-04-25T22:13:00Z,2025-04-26T01:51:00Z,Long,0.87,0.88,29.904408,0.48,1.00%,1.8662,5.18
2025-04-26T02:19:00Z,2025-04-26T10:45:00Z,Long,0.86,0.87,158.557014,0.96,2.00%,0.3516,27.24
2025-04-27T02:50:00Z,2025-04-27T03:43:00Z,Long,0.90,0.93,31.420032,0.98,2.00%,1.7385,5.64
2025-04-27T04:21:00Z,2025-04-27T04:40:00Z,Long,0.91,0.91,276.438937,-1.16,1.00%,0.0000,50.27
2025-04-27T06:48:00Z,2025-04-27T09:26:00Z,Long,0.89,0.88,353.646993,-1.15,1.00%,0.0000,62.82
2025-04-27T13:49:00Z,2025-04-27T14:45:00Z,Long,0.86,0.89,36.870837,0.97,2.00%,1.5293,6.33
2025-04-27T17:09:00Z,2025-04-27T22:51:00Z,Short,0.87,0.85,30.412472,0.49,1.00%,1.8547,5.27
