Entry Time,Exit Time,Type,Entry Price,Exit Price,Size,P&L,Risk %,Profit Factor,Margin Used
2025-04-03T12:53:00Z,2025-04-04T08:47:00Z,Long,2.21,2.29,-24.938745,-1.81,2.00%,0.0000,0.40
2025-04-04T09:10:00Z,2025-04-04T10:17:00Z,Long,2.27,2.23,-29.901789,1.52,2.00%,-0.0223,0.51
2025-04-04T10:28:00Z,2025-04-04T11:21:00Z,Long,2.24,2.15,-18.087536,1.77,2.00%,-0.0437,0.29
2025-04-04T11:22:00Z,2025-04-04T13:00:00Z,Short,2.16,2.20,-35.083986,1.49,2.00%,-0.0196,0.57
2025-04-04T13:10:00Z,2025-04-04T15:16:00Z,Long,2.21,2.27,-30.766807,-1.75,2.00%,0.0000,0.48
2025-04-04T15:21:00Z,2025-04-05T13:35:00Z,Long,2.26,2.21,-31.944377,1.54,2.00%,-0.0214,0.52
2025-04-05T13:36:00Z,2025-04-05T13:46:00Z,Long,2.23,2.19,-35.545841,1.51,2.00%,-0.0191,0.57
2025-04-05T13:51:00Z,2025-04-06T08:01:00Z,Short,2.20,2.15,-32.836027,-1.70,2.00%,0.0000,0.53
2025-04-06T18:26:00Z,2025-04-06T18:50:00Z,Long,2.00,1.94,-26.859043,1.72,2.00%,-0.0320,0.38
2025-04-06T18:56:00Z,2025-04-06T20:36:00Z,Short,1.95,1.89,-31.751084,-1.80,2.00%,0.0000,0.46
2025-04-06T20:42:00Z,2025-04-07T03:34:00Z,Long,1.92,1.86,-28.577156,1.71,2.00%,-0.0312,0.39
2025-04-07T04:10:00Z,2025-04-07T06:38:00Z,Long,1.85,1.79,-26.845791,1.79,2.00%,-0.0360,0.34
2025-04-07T06:52:00Z,2025-04-07T13:50:00Z,Long,1.79,1.88,-21.570726,-2.11,2.00%,0.0000,0.26
2025-04-07T13:51:00Z,2025-04-07T13:52:00Z,Long,1.85,1.93,-26.268768,-1.96,2.00%,0.0000,0.34
2025-04-07T13:53:00Z,2025-04-07T13:54:00Z,Short,1.84,1.91,-228.569445,15.58,2.00%,-0.0370,0.36
2025-04-07T13:55:00Z,2025-04-07T13:56:00Z,Short,1.84,1.91,-263.088088,17.93,2.00%,-0.0370,0.36
2025-04-07T13:57:00Z,2025-04-07T13:58:00Z,Short,1.84,1.91,-302.819749,20.64,2.00%,-0.0370,0.36
2025-04-07T13:59:00Z,2025-04-07T14:00:00Z,Short,1.84,1.91,-348.551700,23.76,2.00%,-0.0370,0.36
2025-04-07T14:01:00Z,2025-04-07T14:02:00Z,Short,1.84,1.91,-401.190107,27.34,2.00%,-0.0370,0.36
2025-04-07T14:03:00Z,2025-04-07T14:04:00Z,Short,1.84,1.91,-461.777986,31.47,2.00%,-0.0370,0.36
2025-04-07T14:05:00Z,2025-04-09T17:31:00Z,Long,1.92,2.14,-23.527377,-5.14,2.00%,0.0000,0.13
2025-04-09T17:32:00Z,2025-04-09T17:33:00Z,Long,1.99,2.05,-65.001177,-4.17,2.00%,0.0000,0.41
2025-04-09T17:34:00Z,2025-04-09T17:35:00Z,Long,1.99,2.05,-63.821013,-4.09,2.00%,0.0000,0.41
2025-04-09T17:36:00Z,2025-04-09T17:37:00Z,Long,1.99,2.05,-62.662275,-4.02,2.00%,0.0000,0.41
2025-04-09T17:38:00Z,2025-04-09T17:39:00Z,Long,1.99,2.05,-61.524576,-3.95,2.00%,0.0000,0.41
