lookback_period,initial_level,limit1_level,limit2_level,sl_level,tp_level,threshold_factor,actual_threshold,Total Trades,Win Rate,Profit Factor,Total Profit,Max Drawdown,Sharpe Ratio,Sortino Ratio
8,0.382,0.618,1.000,0.500,1.000,1.00,0.05,3399,0.5590,1.3879,38.30,0.0000,0.0000,0.0000
8,0.382,0.786,1.000,0.618,1.000,1.00,0.05,3399,0.5590,1.3879,34.32,0.0000,0.0000,0.0000
8,0.382,0.786,1.000,0.500,1.000,1.00,0.05,3399,0.5590,1.3879,33.68,0.0000,0.0000,0.0000
8,0.500,0.618,1.000,0.500,1.000,1.00,0.05,3399,0.5719,1.3126,33.40,0.0000,0.0000,0.0000
13,0.382,0.618,1.000,0.500,1.000,1.25,0.07,2853,0.5489,1.4214,32.29,0.0000,0.0000,0.0000
8,0.500,0.786,1.000,0.618,1.000,1.00,0.05,3399,0.5719,1.3126,29.53,0.0000,0.0000,0.0000
8,0.382,0.618,1.000,0.500,1.414,1.00,0.05,3399,0.5590,1.3879,29.27,0.0000,0.0000,0.0000
13,0.382,0.786,1.000,0.618,1.000,1.25,0.07,2853,0.5489,1.4214,28.93,0.0000,0.0000,0.0000
8,0.500,0.786,1.000,0.500,1.000,1.00,0.05,3399,0.5719,1.3126,28.92,0.0000,0.0000,0.0000
13,0.382,0.786,1.000,0.500,1.000,1.25,0.07,2853,0.5489,1.4214,28.40,0.0000,0.0000,0.0000
8,0.382,0.618,1.272,0.500,1.000,1.00,0.05,3399,0.5590,1.3879,27.96,0.0000,0.0000,0.0000
8,0.618,0.618,1.000,0.500,1.000,1.00,0.05,3399,0.5496,1.2086,27.04,0.0000,0.0000,0.0000
8,0.382,0.786,1.000,0.618,1.414,1.00,0.05,3399,0.5590,1.3879,26.46,0.0000,0.0000,0.0000
8,0.382,0.618,1.000,0.500,1.618,1.00,0.05,3399,0.5590,1.3879,26.22,0.0000,0.0000,0.0000
8,0.618,0.618,1.000,0.500,1.000,0.75,0.04,7245,0.5361,1.0817,26.14,0.0000,0.0000,0.0000
8,0.382,0.786,1.000,0.500,1.414,1.00,0.05,3399,0.5590,1.3879,26.08,0.0000,0.0000,0.0000
8,0.382,0.786,1.272,0.618,1.000,1.00,0.05,3399,0.5590,1.3879,25.48,0.0000,0.0000,0.0000
8,0.382,0.786,1.272,0.500,1.000,1.00,0.05,3399,0.5590,1.3879,25.42,0.0000,0.0000,0.0000
8,0.500,0.618,1.000,0.500,1.414,1.00,0.05,3399,0.5719,1.3126,24.77,0.0000,0.0000,0.0000
13,0.382,0.618,1.000,0.500,1.414,1.25,0.07,2853,0.5489,1.4214,24.67,0.0000,0.0000,0.0000
