Entry Time,Exit Time,Type,Entry Price,Exit Price,Size,P&L,Risk %,Profit Factor,Margin Used
2025-04-06T18:44:00Z,2025-04-06T23:21:00Z,Short,2.39,2.30,26.293071,2.32,6.00%,0.6161,6.28
2025-04-06T23:39:00Z,2025-04-07T03:12:00Z,Short,2.38,2.32,62.466595,3.68,10.00%,0.2479,14.86
2025-04-07T03:13:00Z,2025-04-07T03:55:00Z,Long,2.30,2.32,107.279491,2.32,6.00%,0.1566,24.68
2025-04-07T04:12:00Z,2025-04-07T08:42:00Z,Long,2.30,2.32,275.359294,4.60,8.00%,0.0908,63.32
2025-04-07T08:43:00Z,2025-04-07T09:48:00Z,Long,2.31,2.34,127.579686,3.26,8.00%,0.1378,29.53
2025-04-07T09:52:00Z,2025-04-07T13:42:00Z,Short,2.38,2.35,287.921483,6.36,10.00%,0.0930,68.38
2025-04-07T14:08:00Z,2025-04-07T15:38:00Z,Long,2.44,2.47,129.972354,4.35,10.00%,0.1374,31.69
2025-04-07T16:01:00Z,2025-04-07T17:16:00Z,Long,2.44,2.47,129.407471,4.50,10.00%,0.1426,31.55
2025-04-07T17:55:00Z,2025-04-07T22:17:00Z,Long,2.48,2.51,141.669966,4.68,10.00%,0.1332,35.11
2025-04-08T01:09:00Z,2025-04-08T01:40:00Z,Long,2.48,2.55,33.314563,2.20,4.00%,0.6650,8.27
2025-04-08T02:16:00Z,2025-04-08T11:51:00Z,Long,2.53,2.54,292.644485,3.77,5.00%,0.1018,73.95
2025-04-08T13:46:00Z,2025-04-09T17:35:00Z,Long,2.47,2.50,304.440236,7.41,10.00%,0.0984,75.26
2025-04-09T17:46:00Z,2025-04-09T18:58:00Z,Short,2.55,2.52,283.760181,8.15,10.00%,0.1129,72.23
2025-04-09T18:58:00Z,2025-04-10T05:08:00Z,Long,2.49,2.53,150.132573,5.58,10.00%,0.1489,37.44
2025-04-10T07:59:00Z,2025-04-10T12:19:00Z,Long,2.52,2.55,157.832673,4.68,8.00%,0.1471,39.79
2025-04-10T12:28:00Z,2025-04-10T14:29:00Z,Long,2.53,2.54,388.717630,6.29,7.00%,0.0915,98.26
2025-04-10T14:49:00Z,2025-04-10T15:49:00Z,Short,2.57,2.45,43.788218,5.26,8.00%,0.5849,11.24
2025-04-10T15:59:00Z,2025-04-10T16:22:00Z,Short,2.47,2.45,161.109161,3.37,5.00%,0.1696,39.78
2025-04-10T16:23:00Z,2025-04-10T17:07:00Z,Short,2.47,2.45,164.138061,3.44,5.00%,0.1696,40.53
2025-04-10T17:19:00Z,2025-04-10T19:09:00Z,Short,2.47,2.44,184.947625,4.83,7.00%,0.1510,45.68
2025-04-10T20:20:00Z,2025-04-11T17:40:00Z,Long,2.45,2.56,52.461931,5.76,8.00%,0.5606,12.83
2025-04-11T18:18:00Z,2025-04-11T21:32:00Z,Short,2.56,2.55,419.011763,4.49,4.00%,0.1045,107.41
2025-04-11T22:08:00Z,2025-04-13T04:16:00Z,Short,2.57,2.56,457.056653,5.67,5.00%,0.0967,117.39
2025-04-13T04:46:00Z,2025-04-13T13:43:00Z,Short,2.56,2.52,182.446367,7.52,10.00%,0.1608,46.79
2025-04-13T14:09:00Z,2025-04-13T19:20:00Z,Short,2.52,2.51,487.905482,4.91,4.00%,0.0997,123.18
2025-04-13T19:31:00Z,2025-04-13T19:41:00Z,Short,2.51,2.44,55.452995,3.59,4.00%,0.6458,13.89
2025-04-13T19:51:00Z,2025-04-14T02:24:00Z,Long,2.41,2.49,96.916397,7.62,10.00%,0.3262,23.34
2025-04-14T02:45:00Z,2025-04-14T10:51:00Z,Long,2.52,2.53,450.068350,5.08,4.00%,0.1121,113.22
2025-04-14T11:39:00Z,2025-04-14T13:32:00Z,Short,2.54,2.52,216.768836,3.63,4.00%,0.1648,55.04
2025-04-14T14:01:00Z,2025-04-14T15:26:00Z,Short,2.52,2.51,557.665449,6.75,5.00%,0.0960,140.55
2025-04-14T15:37:00Z,2025-04-14T19:26:00Z,Short,2.51,2.49,254.840622,4.68,5.00%,0.1465,63.95
2025-04-14T19:31:00Z,2025-04-14T20:14:00Z,Long,2.49,2.51,245.871123,3.81,4.00%,0.1554,61.21
2025-04-14T20:16:00Z,2025-04-15T00:38:00Z,Long,2.48,2.49,508.568993,5.61,4.00%,0.1113,126.00
2025-04-15T00:46:00Z,2025-04-15T01:28:00Z,Long,2.48,2.49,519.776948,5.73,4.00%,0.1113,128.78
2025-04-15T02:09:00Z,2025-04-15T03:08:00Z,Long,2.48,2.49,233.498198,3.99,4.00%,0.1724,57.85
2025-04-15T03:13:00Z,2025-04-15T10:54:00Z,Long,2.48,2.49,237.001618,4.05,4.00%,0.1724,58.71
2025-04-15T12:52:00Z,2025-04-15T13:55:00Z,Short,2.53,2.51,567.267282,9.12,6.00%,0.1061,143.25
2025-04-15T14:02:00Z,2025-04-15T20:18:00Z,Long,2.45,2.47,652.701091,13.41,9.00%,0.0931,160.07
2025-04-15T22:16:00Z,2025-04-16T01:23:00Z,Long,2.44,2.45,584.737028,6.52,4.00%,0.1142,142.68
2025-04-16T01:53:00Z,2025-04-16T05:24:00Z,Short,2.45,2.38,79.780195,6.02,5.00%,0.6148,19.57
2025-04-16T06:02:00Z,2025-04-16T07:39:00Z,Short,2.37,2.28,73.346375,6.03,5.00%,0.6949,17.35
2025-04-16T07:48:00Z,2025-04-16T09:47:00Z,Short,2.30,2.27,333.237548,10.37,9.00%,0.1503,76.68
2025-04-16T10:19:00Z,2025-04-16T16:37:00Z,Short,2.30,2.27,344.209091,10.71,9.00%,0.1503,79.21
2025-04-16T17:30:00Z,2025-04-16T18:27:00Z,Long,2.27,2.29,859.144280,14.27,8.00%,0.0913,195.32
2025-04-16T19:11:00Z,2025-04-16T20:05:00Z,Long,2.27,2.33,85.931753,5.59,4.00%,0.7175,19.48
2025-04-16T20:46:00Z,2025-04-20T01:08:00Z,Long,2.29,2.50,60.842595,12.76,10.00%,0.9149,13.94
2025-04-20T06:57:00Z,2025-04-20T10:04:00Z,Long,2.47,2.49,864.714675,11.96,6.00%,0.0932,213.75
2025-04-20T10:31:00Z,2025-04-20T22:21:00Z,Short,2.50,2.48,401.864783,7.26,5.00%,0.1444,100.48
2025-04-21T00:03:00Z,2025-04-21T03:22:00Z,Short,2.54,2.53,848.376657,8.86,4.00%,0.1026,215.80
2025-04-21T06:03:00Z,2025-04-21T17:44:00Z,Long,2.55,2.56,895.481683,8.86,4.00%,0.0970,228.32
2025-04-21T18:55:00Z,2025-04-21T21:20:00Z,Short,2.56,2.55,858.832128,9.25,4.00%,0.1050,220.05
2025-04-21T22:52:00Z,2025-04-22T02:43:00Z,Short,2.59,2.58,873.036063,11.65,5.00%,0.1028,226.52
2025-04-22T04:00:00Z,2025-04-22T05:04:00Z,Short,2.58,2.51,95.861296,6.89,4.00%,0.6948,24.78
2025-04-22T07:10:00Z,2025-04-22T09:05:00Z,Short,2.54,2.52,898.619338,16.73,7.00%,0.1048,228.08
2025-04-22T09:32:00Z,2025-04-22T10:47:00Z,Long,2.50,2.52,406.556782,6.78,4.00%,0.1665,101.79
2025-04-22T10:55:00Z,2025-04-22T14:00:00Z,Long,2.51,2.59,103.169981,7.31,4.00%,0.7046,25.94
2025-04-22T15:32:00Z,2025-04-23T13:09:00Z,Long,2.64,2.86,76.192366,16.72,10.00%,0.8323,20.09
