lookback_period,initial_level,limit1_level,limit2_level,sl_level,tp_level,threshold_factor,actual_threshold,Total Trades,Win Rate,Profit Factor,Total Profit,Max Drawdown,Sharpe Ratio,Sortino Ratio
8,0.618,0.618,1.000,0.500,1.000,1.25,0.02,5692,0.5631,1.5749,118.72,0.0000,0.0000,0.0000
8,0.618,0.618,1.000,0.500,1.000,1.00,0.01,7825,0.5408,1.3280,108.00,0.0000,0.0000,0.0000
8,0.618,0.786,1.000,0.618,1.000,1.25,0.02,5692,0.5631,1.5749,103.17,0.0000,0.0000,0.0000
8,0.618,0.786,1.000,0.500,1.000,1.25,0.02,5692,0.5631,1.5749,100.77,0.0000,0.0000,0.0000
8,0.618,0.786,1.000,0.618,1.000,1.00,0.01,7825,0.5408,1.3280,93.85,0.0000,0.0000,0.0000
8,0.618,0.786,1.000,0.500,1.000,1.00,0.01,7825,0.5408,1.3280,91.67,0.0000,0.0000,0.0000
8,0.500,0.618,1.000,0.500,1.000,1.25,0.02,5692,0.5639,1.4945,88.37,0.0000,0.0000,0.0000
8,0.618,0.618,1.000,0.500,1.414,1.25,0.02,5692,0.5631,1.5749,84.73,0.0000,0.0000,0.0000
8,0.618,0.618,1.000,0.500,1.000,0.75,0.01,11839,0.5271,1.1410,84.36,0.0000,0.0000,0.0000
8,0.618,0.618,1.272,0.500,1.000,1.25,0.02,5692,0.5631,1.5749,80.18,0.0000,0.0000,0.0000
8,0.500,0.786,1.000,0.618,1.000,1.25,0.02,5692,0.5639,1.4945,78.13,0.0000,0.0000,0.0000
8,0.618,0.618,1.000,0.500,1.414,1.00,0.01,7825,0.5408,1.3280,77.08,0.0000,0.0000,0.0000
8,0.500,0.618,1.000,0.500,1.000,1.00,0.01,7825,0.5398,1.2698,77.05,0.0000,0.0000,0.0000
8,0.500,0.786,1.000,0.500,1.000,1.25,0.02,5692,0.5639,1.4945,76.52,0.0000,0.0000,0.0000
8,0.618,0.786,1.000,0.618,1.414,1.25,0.02,5692,0.5631,1.5749,75.07,0.0000,0.0000,0.0000
8,0.618,0.618,1.000,0.500,1.618,1.25,0.02,5692,0.5631,1.5749,74.25,0.0000,0.0000,0.0000
8,0.618,0.786,1.000,0.500,1.414,1.25,0.02,5692,0.5631,1.5749,73.79,0.0000,0.0000,0.0000
8,0.618,0.786,1.000,0.618,1.000,0.75,0.01,11839,0.5271,1.1410,73.31,0.0000,0.0000,0.0000
8,0.618,0.618,1.272,0.500,1.000,1.00,0.01,7825,0.5408,1.3280,72.94,0.0000,0.0000,0.0000
8,0.618,0.786,1.272,0.618,1.000,1.25,0.02,5692,0.5631,1.5749,71.77,0.0000,0.0000,0.0000
