Entry Time,Exit Time,Type,Entry Price,Exit Price,Size,P&L,Risk %,Profit Factor,Margin Used
2025-04-06T19:02:00Z,2025-04-06T19:16:00Z,Long,0.64,0.64,357.801096,1.50,10.00%,0.0655,22.86
2025-04-06T19:17:00Z,2025-04-06T22:13:00Z,Long,0.63,0.64,817.111922,2.22,10.00%,0.0429,51.73
2025-04-06T22:16:00Z,2025-04-07T06:46:00Z,Short,0.63,0.58,29.854367,1.59,10.00%,0.8436,1.89
2025-04-07T06:53:00Z,2025-04-07T07:32:00Z,Short,0.60,0.59,831.871401,2.42,10.00%,0.0489,49.55
2025-04-07T07:59:00Z,2025-04-07T09:42:00Z,Long,0.59,0.62,46.877462,1.66,10.00%,0.6014,2.76
2025-04-07T12:45:00Z,2025-04-07T13:52:00Z,Long,0.63,0.66,58.346413,1.70,10.00%,0.4642,3.66
2025-04-07T14:20:00Z,2025-04-07T20:42:00Z,Long,0.65,0.66,155.231600,1.63,10.00%,0.1610,10.13
2025-04-08T17:47:00Z,2025-04-09T01:38:00Z,Long,0.61,0.61,735.855615,2.46,10.00%,0.0552,44.53
2025-04-09T01:49:00Z,2025-04-09T16:57:00Z,Long,0.62,0.65,62.837956,1.79,10.00%,0.4615,3.88
2025-04-09T18:58:00Z,2025-04-09T21:34:00Z,Short,0.71,0.70,402.499743,1.80,10.00%,0.0634,28.44
2025-04-09T22:47:00Z,2025-04-10T05:02:00Z,Long,0.70,0.70,964.994716,2.34,9.00%,0.0387,67.31
2025-04-10T12:33:00Z,2025-04-10T13:10:00Z,Long,0.71,0.71,408.122400,1.82,10.00%,0.0626,28.99
2025-04-10T13:17:00Z,2025-04-10T14:32:00Z,Long,0.71,0.71,414.241403,1.84,10.00%,0.0626,29.42
2025-04-10T16:13:00Z,2025-04-11T00:47:00Z,Long,0.68,0.70,105.498268,1.99,10.00%,0.2760,7.21
2025-04-13T14:04:00Z,2025-04-13T19:04:00Z,Short,0.78,0.78,956.587739,2.31,8.00%,0.0388,74.41
2025-04-13T20:06:00Z,2025-04-14T02:56:00Z,Short,0.77,0.76,184.398577,2.00,10.00%,0.1404,14.24
2025-04-14T03:12:00Z,2025-04-14T08:35:00Z,Long,0.75,0.75,461.598441,1.97,10.00%,0.0569,34.60
2025-04-15T12:51:00Z,2025-04-15T13:55:00Z,Short,0.74,0.74,439.993164,1.64,8.00%,0.0630,32.59
2025-04-15T14:38:00Z,2025-04-15T15:57:00Z,Short,0.74,0.73,388.664851,2.08,10.00%,0.0725,28.64
2025-04-15T16:21:00Z,2025-04-18T08:22:00Z,Long,0.72,0.72,1115.995862,2.70,9.00%,0.0374,80.26
2025-04-19T19:12:00Z,2025-04-19T20:47:00Z,Long,0.75,0.76,435.396066,2.09,10.00%,0.0636,32.85
2025-04-19T21:11:00Z,2025-04-20T12:27:00Z,Long,0.75,0.75,994.324442,3.10,10.00%,0.0417,74.37
2025-04-20T16:27:00Z,2025-04-21T06:18:00Z,Long,0.77,0.80,109.933110,2.31,10.00%,0.2710,8.52
2025-04-21T07:11:00Z,2025-04-22T01:16:00Z,Long,0.76,0.77,639.060964,3.19,10.00%,0.0653,48.88
2025-04-22T13:50:00Z,2025-04-22T15:12:00Z,Long,0.79,0.81,116.537617,2.18,9.00%,0.2612,9.26
2025-04-22T21:25:00Z,2025-04-22T21:49:00Z,Long,0.81,0.83,116.818185,2.44,10.00%,0.2578,9.46
2025-04-23T01:26:00Z,2025-04-23T02:24:00Z,Long,0.86,0.86,458.858013,1.87,8.00%,0.0595,39.25
2025-04-23T02:51:00Z,2025-04-23T13:16:00Z,Long,0.86,0.88,116.098181,2.04,8.00%,0.2553,10.00
2025-04-23T13:35:00Z,2025-04-23T16:52:00Z,Long,0.86,0.87,255.665708,2.35,10.00%,0.1074,21.90
2025-04-23T17:00:00Z,2025-04-24T00:46:00Z,Short,0.89,0.88,781.006605,3.71,10.00%,0.0536,69.27
2025-04-24T00:46:00Z,2025-04-24T00:56:00Z,Long,0.87,0.89,115.661785,2.64,10.00%,0.2616,10.07
2025-04-24T01:08:00Z,2025-04-24T08:17:00Z,Long,0.85,0.86,526.611693,3.62,10.00%,0.0808,44.77
2025-04-24T11:39:00Z,2025-04-24T13:30:00Z,Long,0.86,0.88,119.861334,1.96,7.00%,0.2725,10.29
2025-04-24T14:17:00Z,2025-04-24T14:31:00Z,Long,0.88,0.89,451.594952,1.57,6.00%,0.0655,39.96
2025-04-24T14:33:00Z,2025-04-24T14:50:00Z,Long,0.89,0.91,113.924370,1.74,6.00%,0.2854,10.14
2025-04-24T15:02:00Z,2025-04-24T22:41:00Z,Long,0.88,0.89,290.560617,2.62,10.00%,0.1018,25.70
2025-04-24T22:45:00Z,2025-04-25T01:28:00Z,Short,0.91,0.90,326.524367,2.76,10.00%,0.0927,29.78
2025-04-25T01:31:00Z,2025-04-25T06:41:00Z,Long,0.90,0.94,79.275812,2.84,10.00%,0.3980,7.14
2025-04-25T07:04:00Z,2025-04-25T07:16:00Z,Long,0.94,0.94,477.846967,1.68,6.00%,0.0625,44.74
2025-04-25T07:27:00Z,2025-04-25T07:53:00Z,Long,0.94,0.96,124.030962,1.87,6.00%,0.2662,11.68
2025-04-25T08:06:00Z,2025-04-25T08:54:00Z,Long,0.96,0.98,116.519693,2.16,7.00%,0.2754,11.19
2025-04-25T09:14:00Z,2025-04-25T10:02:00Z,Short,0.98,0.98,1015.822803,2.59,6.00%,0.0434,99.39
2025-04-25T10:02:00Z,2025-04-25T16:29:00Z,Long,0.97,0.97,442.652811,2.89,10.00%,0.0675,42.77
2025-04-25T16:52:00Z,2025-04-25T17:40:00Z,Short,0.98,0.98,1181.841591,3.56,8.00%,0.0384,115.96
2025-04-25T17:54:00Z,2025-04-25T20:10:00Z,Long,0.97,0.99,128.929943,2.60,8.00%,0.2584,12.55
2025-04-25T20:26:00Z,2025-04-25T20:43:00Z,Long,1.00,1.02,126.976271,2.63,8.00%,0.2593,12.67
2025-04-25T21:14:00Z,2025-04-25T22:29:00Z,Long,1.04,1.04,1137.779609,4.03,9.00%,0.0380,118.09
2025-04-25T22:31:00Z,2025-04-25T23:45:00Z,Short,1.06,1.05,246.094081,3.22,10.00%,0.1233,26.14
2025-04-26T00:06:00Z,2025-04-26T00:09:00Z,Long,1.05,1.08,130.906968,3.08,9.00%,0.2483,13.79
2025-04-26T00:45:00Z,2025-04-26T01:25:00Z,Long,1.15,1.17,125.073164,3.13,9.00%,0.2431,14.32
2025-04-26T01:56:00Z,2025-04-26T06:46:00Z,Long,1.16,1.17,229.245860,3.22,10.00%,0.1215,26.53
2025-04-26T06:58:00Z,2025-04-26T18:45:00Z,Long,1.14,1.15,507.484544,4.78,10.00%,0.0824,57.95
2025-04-26T19:38:00Z,2025-04-26T20:19:00Z,Long,1.17,1.17,1035.236203,2.48,5.00%,0.0410,120.64
2025-04-26T20:49:00Z,2025-04-26T21:12:00Z,Long,1.17,1.18,126.446133,1.95,5.00%,0.2649,14.75
2025-04-26T21:33:00Z,2025-04-26T22:58:00Z,Long,1.17,1.20,116.177323,3.68,10.00%,0.2701,13.61
2025-04-26T23:25:00Z,2025-04-27T03:34:00Z,Long,1.21,1.22,698.592380,5.09,10.00%,0.0601,84.74
2025-04-27T03:34:00Z,2025-04-28T06:37:00Z,Long,1.13,1.15,254.416818,4.98,10.00%,0.1730,28.77
2025-04-28T07:08:00Z,2025-04-28T08:03:00Z,Long,1.16,1.18,120.361943,2.06,5.00%,0.2952,13.94
2025-04-28T08:14:00Z,2025-04-28T09:58:00Z,Long,1.15,1.16,341.494456,3.66,10.00%,0.0930,39.35
2025-04-28T09:58:00Z,2025-04-28T10:05:00Z,Short,1.16,1.16,519.457276,2.70,7.00%,0.0638,60.49
2025-04-28T10:30:00Z,2025-04-28T13:14:00Z,Long,1.13,1.14,1205.954372,5.53,10.00%,0.0404,136.83
2025-04-28T13:23:00Z,2025-04-28T17:36:00Z,Long,1.12,1.13,587.287062,5.57,10.00%,0.0848,65.62
2025-04-28T17:53:00Z,2025-04-28T18:48:00Z,Long,1.12,1.12,1230.668765,3.47,6.00%,0.0419,137.96
2025-04-28T19:02:00Z,2025-04-28T20:44:00Z,Short,1.14,1.13,597.948429,3.71,9.00%,0.0604,68.21
2025-04-28T20:49:00Z,2025-04-28T21:52:00Z,Long,1.13,1.13,571.643792,2.46,6.00%,0.0638,64.34
2025-04-28T21:54:00Z,2025-04-29T00:31:00Z,Long,1.12,1.12,1297.890509,3.60,6.00%,0.0412,145.28
2025-04-29T00:38:00Z,2025-04-29T04:13:00Z,Short,1.15,1.14,1205.852309,6.36,10.00%,0.0459,138.47
2025-04-29T04:42:00Z,2025-04-29T05:17:00Z,Long,1.15,1.16,461.619620,4.23,10.00%,0.0798,52.95
2025-04-29T05:23:00Z,2025-04-29T06:00:00Z,Short,1.17,1.16,630.489059,3.11,7.00%,0.0603,73.65
2025-04-29T06:38:00Z,2025-04-29T10:38:00Z,Short,1.16,1.13,155.217937,4.24,9.00%,0.2618,17.99
2025-04-29T12:36:00Z,2025-04-29T13:38:00Z,Short,1.10,1.09,662.136854,4.09,9.00%,0.0625,72.70
2025-04-29T14:14:00Z,2025-04-29T17:15:00Z,Long,1.09,1.09,1505.884097,4.59,7.00%,0.0401,163.65
2025-04-29T21:00:00Z,2025-04-29T23:43:00Z,Long,1.08,1.09,1625.216137,6.65,10.00%,0.0378,175.84
2025-04-30T00:15:00Z,2025-04-30T12:23:00Z,Short,1.10,1.06,135.515187,4.92,10.00%,0.3309,14.87
2025-04-30T12:45:00Z,2025-04-30T13:59:00Z,Short,1.05,1.01,121.067191,4.96,10.00%,0.3905,12.69
2025-04-30T15:49:00Z,2025-04-30T16:09:00Z,Long,1.06,1.06,1558.298955,3.51,5.00%,0.0426,164.51
2025-04-30T16:14:00Z,2025-05-01T01:54:00Z,Short,1.13,1.11,624.960313,7.64,10.00%,0.1086,70.35
2025-05-01T02:09:00Z,2025-05-01T02:20:00Z,Short,1.08,1.01,71.079871,5.12,10.00%,0.6684,7.66
2025-05-01T02:20:00Z,2025-05-01T02:26:00Z,Long,1.06,1.06,1637.503437,3.69,5.00%,0.0426,172.87
2025-05-01T02:43:00Z,2025-05-01T02:45:00Z,Long,1.07,1.07,792.144754,4.10,8.00%,0.0606,84.49
2025-05-01T02:48:00Z,2025-05-01T03:52:00Z,Short,1.07,1.04,156.255729,5.46,10.00%,0.3266,16.72
2025-05-01T04:54:00Z,2025-05-01T05:45:00Z,Long,1.03,1.05,211.218614,4.02,7.00%,0.2648,21.71
2025-05-01T06:18:00Z,2025-05-01T06:54:00Z,Long,1.04,1.04,807.130593,3.74,7.00%,0.0637,83.79
2025-05-01T07:47:00Z,2025-05-01T08:46:00Z,Long,1.05,1.06,201.057582,3.56,6.00%,0.2817,21.06
2025-05-01T10:10:00Z,2025-05-01T11:01:00Z,Long,1.08,1.08,1762.632535,3.95,5.00%,0.0415,190.75
2025-05-01T11:26:00Z,2025-05-01T12:19:00Z,Short,1.09,1.09,834.592346,5.06,9.00%,0.0617,91.20
2025-05-01T12:33:00Z,2025-05-01T13:35:00Z,Short,1.08,1.07,197.426909,3.14,5.00%,0.2934,21.40
2025-05-01T14:00:00Z,2025-05-02T08:52:00Z,Long,1.04,1.05,533.663507,5.54,10.00%,0.0998,55.51
