lookback_period,initial_level,limit1_level,limit2_level,sl_level,tp_level,threshold_factor,actual_threshold,Total Trades,Win Rate,Profit Factor,Total Profit,Max Drawdown,Sharpe Ratio,Sortino Ratio
13,0.618,0.618,1.000,0.500,1.000,0.75,0.03,7456,0.5193,1.1490,52.36,0.0000,0.0000,0.0000
13,0.500,0.618,1.000,0.500,1.000,0.75,0.03,7456,0.5196,1.1748,50.68,0.0000,0.0000,0.0000
13,0.382,0.618,1.000,0.500,1.000,0.75,0.03,7456,0.5236,1.1818,49.40,0.0000,0.0000,0.0000
13,0.618,0.786,1.000,0.618,1.000,0.75,0.03,7456,0.5193,1.1490,45.50,0.0000,0.0000,0.0000
13,0.500,0.786,1.000,0.618,1.000,0.75,0.03,7456,0.5196,1.1748,44.81,0.0000,0.0000,0.0000
13,0.618,0.786,1.000,0.500,1.000,0.75,0.03,7456,0.5193,1.1490,44.44,0.0000,0.0000,0.0000
13,0.382,0.786,1.000,0.618,1.000,0.75,0.03,7456,0.5236,1.1818,44.27,0.0000,0.0000,0.0000
13,0.500,0.786,1.000,0.500,1.000,0.75,0.03,7456,0.5196,1.1748,43.89,0.0000,0.0000,0.0000
13,0.382,0.786,1.000,0.500,1.000,0.75,0.03,7456,0.5236,1.1818,43.45,0.0000,0.0000,0.0000
13,0.382,0.618,1.000,0.500,1.414,0.75,0.03,7456,0.5236,1.1818,37.75,0.0000,0.0000,0.0000
13,0.500,0.618,1.000,0.500,1.414,0.75,0.03,7456,0.5196,1.1748,37.58,0.0000,0.0000,0.0000
13,0.618,0.618,1.000,0.500,1.414,0.75,0.03,7456,0.5193,1.1490,37.37,0.0000,0.0000,0.0000
13,0.382,0.618,1.272,0.500,1.000,0.75,0.03,7456,0.5236,1.1818,36.07,0.0000,0.0000,0.0000
13,0.500,0.618,1.272,0.500,1.000,0.75,0.03,7456,0.5196,1.1748,35.75,0.0000,0.0000,0.0000
13,0.618,0.618,1.272,0.500,1.000,0.75,0.03,7456,0.5193,1.1490,35.36,0.0000,0.0000,0.0000
13,0.382,0.786,1.000,0.618,1.414,0.75,0.03,7456,0.5236,1.1818,34.14,0.0000,0.0000,0.0000
13,0.382,0.618,1.000,0.500,1.618,0.75,0.03,7456,0.5236,1.1818,33.82,0.0000,0.0000,0.0000
13,0.500,0.786,1.000,0.618,1.414,0.75,0.03,7456,0.5196,1.1748,33.67,0.0000,0.0000,0.0000
13,0.382,0.786,1.000,0.500,1.414,0.75,0.03,7456,0.5236,1.1818,33.65,0.0000,0.0000,0.0000
13,0.500,0.618,1.000,0.500,1.618,0.75,0.03,7456,0.5196,1.1748,33.33,0.0000,0.0000,0.0000
