Entry Time,Exit Time,Type,Entry Price,Exit Price,Size,P&L,Risk %,Profit Factor,Margin Used
2025-04-06T18:44:00Z,2025-04-06T19:09:00Z,Short,2.00,1.98,246.842792,4.87,9.00%,0.1094,24.73
2025-04-06T19:13:00Z,2025-04-06T19:24:00Z,Short,2.00,1.99,581.373646,6.03,7.00%,0.0741,58.13
2025-04-06T19:25:00Z,2025-04-06T20:33:00Z,Short,1.99,1.98,273.237619,4.27,7.00%,0.1121,27.24
2025-04-06T20:45:00Z,2025-04-06T22:00:00Z,Short,1.99,1.94,138.510990,6.03,10.00%,0.2192,13.75
2025-04-06T22:00:00Z,2025-04-07T01:21:00Z,Long,1.90,1.94,240.431645,9.05,10.00%,0.1978,22.87
2025-04-07T01:23:00Z,2025-04-07T14:11:00Z,Long,1.91,1.94,294.096382,9.78,10.00%,0.1744,28.03
2025-04-07T14:13:00Z,2025-04-07T20:34:00Z,Long,1.91,1.94,316.176207,10.51,10.00%,0.1744,30.14
2025-04-07T20:35:00Z,2025-04-08T14:53:00Z,Short,1.96,1.91,157.797762,7.86,10.00%,0.2540,15.47
2025-04-08T15:20:00Z,2025-04-08T16:14:00Z,Short,1.91,1.89,421.225143,6.92,8.00%,0.1077,40.18
2025-04-08T16:31:00Z,2025-04-08T17:23:00Z,Short,1.89,1.83,106.073701,6.51,7.00%,0.4646,10.00
2025-04-08T17:32:00Z,2025-04-08T17:35:00Z,Short,1.82,1.81,1036.123083,8.56,6.00%,0.0755,94.45
2025-04-08T17:35:00Z,2025-04-09T17:19:00Z,Long,1.78,1.88,89.215774,8.91,10.00%,0.5604,7.95
2025-04-09T17:19:00Z,2025-04-09T17:24:00Z,Long,1.88,1.98,104.942469,10.16,10.00%,0.5149,9.87
2025-04-09T17:46:00Z,2025-04-11T08:05:00Z,Long,1.97,2.02,293.599102,14.72,10.00%,0.2548,28.89
2025-04-11T08:29:00Z,2025-04-11T08:43:00Z,Short,2.01,2.00,1101.137663,5.72,3.00%,0.0862,110.53
2025-04-11T08:46:00Z,2025-04-11T10:05:00Z,Short,2.01,2.00,1053.136203,7.49,4.00%,0.0883,105.94
2025-04-11T10:14:00Z,2025-04-11T12:52:00Z,Short,2.02,2.00,563.456371,12.24,10.00%,0.1075,56.90
2025-04-11T13:06:00Z,2025-04-11T13:35:00Z,Long,1.99,2.01,627.072718,11.55,9.00%,0.1027,62.52
2025-04-11T13:35:00Z,2025-04-11T14:00:00Z,Short,2.02,2.00,622.404374,13.52,10.00%,0.1075,62.85
2025-04-11T14:11:00Z,2025-04-11T15:15:00Z,Short,2.01,1.99,606.022697,8.81,6.00%,0.1207,60.81
2025-04-11T15:16:00Z,2025-04-13T03:34:00Z,Long,2.00,2.09,161.739077,14.81,10.00%,0.4590,16.14
2025-04-13T04:23:00Z,2025-04-13T07:23:00Z,Long,2.15,2.15,1288.092762,7.52,3.00%,0.0907,138.20
2025-04-13T07:25:00Z,2025-04-13T13:42:00Z,Short,2.16,2.15,1453.299925,10.18,4.00%,0.0811,156.94
2025-04-13T13:45:00Z,2025-04-13T15:01:00Z,Short,2.16,2.14,668.139949,7.11,4.00%,0.1234,72.01
2025-04-13T15:13:00Z,2025-04-13T16:01:00Z,Long,2.14,2.15,687.370850,8.76,5.00%,0.1192,73.51
2025-04-13T16:01:00Z,2025-04-13T16:49:00Z,Short,2.16,2.15,1596.692112,13.54,5.00%,0.0785,172.56
2025-04-13T17:31:00Z,2025-04-14T02:30:00Z,Long,2.15,2.16,1745.095745,23.90,9.00%,0.0709,187.38
2025-04-14T02:37:00Z,2025-04-14T12:01:00Z,Long,2.15,2.16,1998.490786,28.38,10.00%,0.0662,214.42
2025-04-14T12:21:00Z,2025-04-14T14:36:00Z,Long,2.15,2.15,1875.630126,13.13,4.00%,0.0815,201.28
2025-04-14T14:45:00Z,2025-04-14T15:01:00Z,Short,2.17,2.15,974.679973,17.57,8.00%,0.1038,105.84
2025-04-14T15:01:00Z,2025-04-14T17:27:00Z,Long,2.15,2.15,2024.138227,14.17,4.00%,0.0815,217.22
2025-04-14T18:02:00Z,2025-04-15T03:24:00Z,Long,2.14,2.15,2356.960829,27.72,8.00%,0.0687,252.24
2025-04-15T03:24:00Z,2025-04-15T06:10:00Z,Short,2.15,2.14,1034.548739,13.06,5.00%,0.1172,111.47
2025-04-15T06:18:00Z,2025-04-15T07:31:00Z,Long,2.14,2.15,949.794641,10.76,4.00%,0.1324,101.59
2025-04-15T07:31:00Z,2025-04-15T10:34:00Z,Short,2.16,2.15,2195.208826,16.51,4.00%,0.0871,237.03
2025-04-15T10:36:00Z,2025-04-15T12:29:00Z,Short,2.16,2.15,2270.084568,17.08,4.00%,0.0871,245.11
2025-04-15T13:34:00Z,2025-04-15T13:53:00Z,Short,2.18,2.17,2431.758842,17.74,4.00%,0.0837,264.93
2025-04-15T13:54:00Z,2025-04-22T15:02:00Z,Long,2.16,2.16,2592.456075,18.14,4.00%,0.0812,279.38
2025-04-22T15:04:00Z,2025-04-22T18:01:00Z,Long,2.15,2.16,2889.411448,31.27,7.00%,0.0718,310.88
2025-04-22T18:02:00Z,2025-04-22T18:53:00Z,Long,2.15,2.16,3052.612068,33.03,7.00%,0.0718,328.44
2025-04-22T18:55:00Z,2025-04-22T21:38:00Z,Long,2.15,2.17,1535.501545,32.91,10.00%,0.0996,165.28
2025-04-22T21:38:00Z,2025-04-24T03:57:00Z,Short,2.19,2.18,3288.254147,47.36,9.00%,0.0731,360.13
2025-04-24T04:09:00Z,2025-04-24T04:20:00Z,Long,2.17,2.18,1439.220665,19.43,5.00%,0.1244,156.12
2025-04-24T04:37:00Z,2025-04-24T06:24:00Z,Long,2.17,2.18,3263.062600,18.81,3.00%,0.0884,354.48
2025-04-24T06:31:00Z,2025-04-24T13:30:00Z,Long,2.17,2.18,3076.403091,19.07,3.00%,0.0951,334.01
2025-04-24T13:30:00Z,2025-04-24T13:40:00Z,Short,2.19,2.19,3170.461456,19.85,3.00%,0.0952,347.53
2025-04-24T13:44:00Z,2025-04-24T14:23:00Z,Short,2.19,2.17,1737.564492,33.81,8.00%,0.1109,190.61
2025-04-24T14:23:00Z,2025-04-25T04:13:00Z,Long,2.17,2.19,1805.957851,34.78,8.00%,0.1111,195.75
2025-04-25T04:18:00Z,2025-04-25T10:37:00Z,Short,2.20,2.19,4154.435426,48.42,7.00%,0.0757,456.76
2025-04-25T10:50:00Z,2025-04-25T13:35:00Z,Long,2.18,2.19,4248.722865,23.56,3.00%,0.0848,463.04
2025-04-25T13:36:00Z,2025-04-25T14:06:00Z,Long,2.18,2.19,1938.172558,16.45,3.00%,0.1296,211.57
2025-04-25T14:21:00Z,2025-04-25T14:44:00Z,Long,2.19,2.20,2060.872988,21.53,4.00%,0.1192,225.87
2025-04-25T14:59:00Z,2025-04-25T17:01:00Z,Long,2.20,2.21,4827.662591,39.67,5.00%,0.0747,530.82
2025-04-25T17:07:00Z,2025-04-26T06:32:00Z,Long,2.20,2.21,4920.238510,48.60,6.00%,0.0750,540.07
2025-04-26T06:35:00Z,2025-04-26T06:38:00Z,Short,2.23,2.22,5182.701531,51.93,6.00%,0.0750,577.33
2025-04-26T06:58:00Z,2025-04-26T10:40:00Z,Long,2.21,2.22,5596.085849,45.57,5.00%,0.0738,617.80
2025-04-26T10:41:00Z,2025-04-27T12:41:00Z,Long,2.21,2.22,5829.189187,47.47,5.00%,0.0738,643.53
2025-04-27T12:42:00Z,2025-04-27T12:46:00Z,Long,2.22,2.27,674.666931,34.89,5.00%,0.4662,74.83
2025-04-27T12:56:00Z,2025-05-01T10:19:00Z,Long,2.20,2.23,2887.769172,92.48,10.00%,0.1457,317.43
2025-05-01T10:32:00Z,2025-05-01T13:39:00Z,Short,2.24,2.23,2756.850151,37.18,5.00%,0.1203,309.10
2025-05-01T13:48:00Z,2025-05-01T17:42:00Z,Short,2.24,2.23,5859.756086,35.78,3.00%,0.0910,655.58
2025-05-01T17:43:00Z,2025-05-01T18:29:00Z,Short,2.23,2.22,2673.268253,24.87,3.00%,0.1388,298.58
2025-05-01T18:38:00Z,2025-05-02T15:20:00Z,Short,2.23,2.22,3304.365471,33.28,4.00%,0.1127,369.07
2025-05-02T16:04:00Z,2025-05-02T17:01:00Z,Short,2.23,2.22,2392.077077,18.04,2.00%,0.1690,266.84
