Entry Time,Exit Time,Type,Entry Price,Exit Price,Size,P&L,Risk %,Profit Factor,Margin Used
2025-04-03T09:43:00Z,2025-04-03T10:21:00Z,Long,0.01,0.01,-4379.221992,0.44,1.00%,-0.0091,0.72
2025-04-03T10:24:00Z,2025-04-03T10:39:00Z,Long,0.01,0.01,-4007.647420,0.50,1.00%,-0.0114,0.65
2025-04-03T10:44:00Z,2025-04-03T18:50:00Z,Short,0.01,0.01,-15010.554694,2.15,1.00%,-0.0132,0.61
2025-04-03T18:52:00Z,2025-04-06T13:21:00Z,Long,0.01,0.01,-4380.251375,1.58,2.00%,-0.0330,0.67
2025-04-06T13:28:00Z,2025-04-06T13:57:00Z,Long,0.01,0.01,-4633.944907,0.48,1.00%,-0.0099,0.70
2025-04-06T13:58:00Z,2025-04-06T17:13:00Z,Long,0.01,0.01,-3912.975996,0.59,1.00%,-0.0142,0.58
2025-04-06T17:17:00Z,2025-04-06T17:28:00Z,Long,0.01,0.01,-6707.997156,1.35,2.00%,-0.0192,0.98
2025-04-06T17:29:00Z,2025-04-06T17:30:00Z,Long,0.01,0.01,-43745.069306,4.41,1.00%,-0.0097,0.70
2025-04-06T17:31:00Z,2025-04-06T17:32:00Z,Long,0.01,0.01,-20199.840204,2.04,1.00%,-0.0097,0.70
2025-04-06T17:33:00Z,2025-04-06T17:42:00Z,Long,0.01,0.01,-26390.987498,6.12,2.00%,-0.0224,0.89
2025-04-06T17:44:00Z,2025-04-06T18:19:00Z,Long,0.01,0.01,-6457.349067,1.69,2.00%,-0.0256,0.81
2025-04-06T18:20:00Z,2025-04-07T13:52:00Z,Short,0.01,0.01,-19446.350965,2.56,1.00%,-0.0131,0.62
2025-04-07T13:54:00Z,2025-04-08T17:23:00Z,Long,0.01,0.01,-4649.957836,2.02,2.00%,-0.0431,0.54
2025-04-08T17:30:00Z,2025-04-08T22:37:00Z,Long,0.01,0.01,-4863.422328,0.73,1.00%,-0.0155,0.55
2025-04-08T22:40:00Z,2025-04-09T01:09:00Z,Long,0.01,0.01,-35417.951948,6.36,2.00%,-0.0187,0.99
2025-04-09T01:19:00Z,2025-04-11T12:29:00Z,Long,0.01,0.01,-5493.232245,-2.36,2.00%,0.0000,0.56
2025-04-11T12:32:00Z,2025-04-11T21:08:00Z,Long,0.01,0.01,-4713.962734,-0.73,1.00%,0.0000,0.62
2025-04-11T21:10:00Z,2025-04-11T23:05:00Z,Long,0.01,0.01,-3422.455209,2.17,2.00%,-0.0489,0.49
