lookback_period,initial_level,limit1_level,limit2_level,sl_level,tp_level,threshold_factor,actual_threshold,Total Trades,Win Rate,Profit Factor,Total Profit,Max Drawdown,Sharpe Ratio,Sortino Ratio
8,0.618,0.786,1.000,0.618,1.000,0.75,0.00,22,1.0000,inf,290.94,0.0000,23.6483,0.0000
8,0.618,0.786,1.000,0.618,1.414,0.75,0.00,22,1.0000,inf,290.94,0.0000,23.6483,0.0000
8,0.618,0.786,1.000,0.618,1.618,0.75,0.00,22,1.0000,inf,290.94,0.0000,23.6483,0.0000
8,0.500,0.786,1.000,0.618,1.000,0.75,0.00,22,1.0000,inf,225.16,0.0000,23.9218,0.0000
8,0.500,0.786,1.000,0.618,1.414,0.75,0.00,22,1.0000,inf,225.16,0.0000,23.9218,0.0000
8,0.500,0.786,1.000,0.618,1.618,0.75,0.00,22,1.0000,inf,225.16,0.0000,23.9218,0.0000
8,0.618,0.618,1.000,0.500,1.000,0.75,0.00,23,1.0000,inf,185.96,0.0000,25.7097,0.0000
8,0.618,0.618,1.000,0.500,1.414,0.75,0.00,23,1.0000,inf,185.96,0.0000,25.7097,0.0000
8,0.618,0.618,1.000,0.500,1.618,0.75,0.00,23,1.0000,inf,185.96,0.0000,25.7097,0.0000
8,0.382,0.786,1.000,0.618,1.000,0.75,0.00,22,1.0000,inf,175.00,0.0000,24.0896,0.0000
8,0.382,0.786,1.000,0.618,1.414,0.75,0.00,22,1.0000,inf,175.00,0.0000,24.0896,0.0000
8,0.382,0.786,1.000,0.618,1.618,0.75,0.00,22,1.0000,inf,175.00,0.0000,24.0896,0.0000
8,0.500,0.618,1.000,0.500,1.000,0.75,0.00,23,1.0000,inf,147.92,0.0000,25.7815,0.0000
8,0.500,0.618,1.000,0.500,1.414,0.75,0.00,23,1.0000,inf,147.92,0.0000,25.7815,0.0000
8,0.500,0.618,1.000,0.500,1.618,0.75,0.00,23,1.0000,inf,147.92,0.0000,25.7815,0.0000
8,0.618,0.786,1.000,0.500,1.000,0.75,0.00,23,1.0000,inf,133.82,0.0000,23.1002,0.0000
8,0.618,0.786,1.000,0.500,1.414,0.75,0.00,23,1.0000,inf,133.82,0.0000,23.1002,0.0000
8,0.618,0.786,1.000,0.500,1.618,0.75,0.00,23,1.0000,inf,133.82,0.0000,23.1002,0.0000
8,0.618,0.786,1.272,0.618,1.000,0.75,0.00,22,1.0000,inf,118.49,0.0000,22.1038,0.0000
8,0.618,0.786,1.272,0.618,1.414,0.75,0.00,22,1.0000,inf,118.49,0.0000,22.1038,0.0000
