Entry Time,Exit Time,Type,Entry Price,Exit Price,Size,P&L,Risk %,Profit Factor,Margin Used
2025-04-03T11:29:00Z,2025-04-04T07:46:00Z,Short,0.01,0.01,-8189.538356,1.36,2.00%,-0.0241,0.43
2025-04-04T08:11:00Z,2025-04-04T10:16:00Z,Long,0.01,0.01,-11145.612621,1.13,2.00%,-0.0143,0.58
2025-04-04T10:17:00Z,2025-04-04T10:18:00Z,Long,0.01,0.01,-96354.513388,10.73,2.00%,-0.0157,0.55
2025-04-04T10:19:00Z,2025-04-04T10:20:00Z,Long,0.01,0.01,-106102.640076,11.82,2.00%,-0.0157,0.55
2025-04-04T10:21:00Z,2025-04-04T10:22:00Z,Long,0.01,0.01,-116836.978728,13.01,2.00%,-0.0157,0.55
2025-04-04T10:23:00Z,2025-04-04T10:24:00Z,Long,0.01,0.01,-128657.303801,14.33,2.00%,-0.0157,0.55
2025-04-04T10:25:00Z,2025-04-04T10:26:00Z,Long,0.01,0.01,-141673.483871,15.78,2.00%,-0.0157,0.55
2025-04-04T10:27:00Z,2025-04-04T10:28:00Z,Long,0.01,0.01,-156006.502849,17.38,2.00%,-0.0157,0.55
2025-04-04T10:30:00Z,2025-04-04T10:31:00Z,Long,0.01,0.01,-171789.584518,19.14,2.00%,-0.0157,0.55
2025-04-04T10:32:00Z,2025-04-04T10:33:00Z,Long,0.01,0.01,-189169.430823,21.07,2.00%,-0.0157,0.55
2025-04-04T10:34:00Z,2025-04-04T10:35:00Z,Long,0.01,0.01,-208307.585460,23.20,2.00%,-0.0157,0.55
2025-04-04T10:36:00Z,2025-04-04T10:37:00Z,Long,0.01,0.01,-229381.935396,25.55,2.00%,-0.0157,0.55
2025-04-04T10:38:00Z,2025-04-04T10:39:00Z,Long,0.01,0.01,-252588.364317,28.14,2.00%,-0.0157,0.55
2025-04-04T10:40:00Z,2025-04-04T10:41:00Z,Long,0.01,0.01,-278142.573338,30.98,2.00%,-0.0157,0.55
2025-04-04T10:42:00Z,2025-04-04T11:29:00Z,Long,0.01,0.01,-16496.736018,5.42,2.00%,-0.0468,0.25
2025-04-04T11:38:00Z,2025-04-06T17:30:00Z,Long,0.01,0.01,-23434.263327,4.98,2.00%,-0.0313,0.35
2025-04-06T17:39:00Z,2025-04-06T18:18:00Z,Long,0.01,0.01,-21571.806689,5.28,2.00%,-0.0366,0.31
2025-04-06T18:29:00Z,2025-04-07T14:17:00Z,Short,0.01,0.01,-83069.532531,21.45,2.00%,-0.0401,0.31
2025-04-07T14:18:00Z,2025-04-08T07:00:00Z,Long,0.01,0.01,-28650.658158,5.31,2.00%,-0.0287,0.37
2025-04-08T08:33:00Z,2025-04-08T14:50:00Z,Long,0.01,0.01,-41152.835818,4.46,2.00%,-0.0173,0.52
2025-04-08T14:51:00Z,2025-04-08T14:57:00Z,Long,0.01,0.01,-33037.530423,5.22,2.00%,-0.0251,0.41
2025-04-08T14:58:00Z,2025-04-09T09:14:00Z,Short,0.01,0.01,-32899.141887,5.20,2.00%,-0.0253,0.42
