Entry Time,Exit Time,Type,Entry Price,Exit Price,Size,P&L,Risk %,Profit Factor,Margin Used
2024-08-06T08:53:00Z,2024-08-06T08:56:00Z,Short,54908.43,55190.85,0.039342,11.11,1.00%,0.0051,0.04
2024-08-06T08:57:00Z,2024-08-06T09:30:00Z,Short,54908.43,55190.85,0.039298,11.10,1.00%,0.0051,0.04
2024-08-06T09:31:00Z,2024-08-06T09:32:00Z,Long,54760.87,55113.13,0.062945,22.17,1.00%,0.0064,0.06
2024-08-06T09:33:00Z,2024-08-06T09:37:00Z,Long,54760.87,55113.13,0.063084,22.22,1.00%,0.0064,0.06
2024-08-06T09:38:00Z,2024-08-06T13:23:00Z,Long,54912.91,54490.81,0.026382,11.14,1.00%,0.0077,0.02
2024-08-06T13:24:00Z,2024-08-06T13:25:00Z,Long,54844.44,54694.89,0.669385,100.11,1.00%,0.0027,0.07
2024-08-06T13:26:00Z,2024-08-06T13:27:00Z,Long,54844.44,55143.56,0.073632,22.02,1.00%,0.0055,0.07
2024-08-06T13:28:00Z,2024-08-06T13:31:00Z,Long,54634.94,55353.06,0.030738,22.07,1.00%,0.0131,0.03
2024-08-06T13:32:00Z,2024-08-06T14:00:00Z,Long,54634.94,55353.06,0.030806,22.12,1.00%,0.0131,0.03
2024-08-06T14:01:00Z,2024-08-06T14:05:00Z,Long,54755.83,55852.17,0.020223,22.17,1.00%,0.0200,0.02
2024-08-06T14:06:00Z,2024-08-06T14:07:00Z,Short,54965.17,55513.33,0.182414,99.99,1.00%,0.0100,0.02
2024-08-06T14:15:00Z,2024-08-07T09:03:00Z,Long,55161.90,57572.10,0.009127,22.00,1.00%,0.0437,0.01
2024-08-07T09:04:00Z,2024-08-07T11:41:00Z,Long,57212.19,56930.38,0.039118,11.02,1.00%,0.0049,0.04
2024-08-07T11:42:00Z,2024-08-07T11:43:00Z,Long,57151.56,56992.11,0.276246,44.05,1.00%,0.0028,0.07
2024-08-07T11:44:00Z,2024-08-07T11:48:00Z,Short,57212.44,56893.56,0.068755,21.93,1.00%,0.0056,0.07
2024-08-07T11:49:00Z,2024-08-07T13:01:00Z,Short,57139.10,57417.20,0.039507,10.99,1.00%,0.0049,0.04
2024-08-07T13:02:00Z,2024-08-07T13:32:00Z,Long,57081.52,57416.48,0.065529,21.95,1.00%,0.0059,0.06
2024-08-07T13:33:00Z,2024-08-07T13:47:00Z,Long,57169.46,56896.92,0.040358,11.00,1.00%,0.0048,0.04
